declaration_id,state,governor,eo_number,action_type,event_description,date_signed,end_date,weather_related,document_format,archive_record_url
NJ-SHERRILL-EO-22,NJ,Sherrill,22,extension,"Executive Order No. 22 formally continues the Judicial Advisory Panel, which assists the Governor in evaluating candidates for appointment to the Superior Court of New Jersey and Supreme Court of New Jersey.",2026-08-31,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-22.pdf
NJ-SHERRILL-EO-21,NJ,Sherrill,21,declaration,,2026-07-17,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-21.pdf
NJ-SHERRILL-EO-20,NJ,Sherrill,20,declaration,,2026-06-30,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-20.pdf
NJ-SHERRILL-EO-19,NJ,Sherrill,19,declaration,Directs Executive Branch agencies to report on Junk Fees,2026-06-15,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-19.pdf
NJ-SHERRILL-EO-18,NJ,Sherrill,18,declaration,"Declares that the State of New Jersey will enter a State of Emergency, effective immediately related to Crop Freeze Event",2026-05-20,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-18.pdf
NJ-SHERRILL-EO-17,NJ,Sherrill,17,declaration,Establishing an interagency Housing Governing Council to lead government efforts to address housing affordability in New Jersey,2026-04-27,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-17.pdf
NJ-SHERRILL-EO-16,NJ,Sherrill,16,declaration,Directs New Jersey Transit to develop a plan to improve the rider experience and customer service delivery,2026-03-24,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-16.pdf
NJ-SHERRILL-EO-15,NJ,Sherrill,15,declaration,,2026-02-25,,True,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-15.pdf
NJ-SHERRILL-EO-14,NJ,Sherrill,14,declaration,,2026-02-22,,True,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-14.pdf
NJ-SHERRILL-EO-13,NJ,Sherrill,13,extension,Extending the State of Emergency for the practices of advanced practice nurses and physician assistants for 45 days.,2026-02-13,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-13.pdf
NJ-SHERRILL-EO-12,NJ,Sherrill,12,declaration,"Prohibits federal immigration officers from entering or using  State property for the purpose of civil immigration enforcement, except under certain circumstances.",2026-02-11,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-12.pdf
NJ-SHERRILL-EO-11,NJ,Sherrill,11,declaration,,2026-02-11,,False,pdf,https://www.nj.gov/infobank/eo/057sherrill/pdf/EO-11.pdf
