declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
AL-EO-745,AL,Kay Ivey,745,executive_order,administrative,Executive Order 745 — Executive Order 745,2026-07-22,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/wp-content/uploads/2026/07/EO-745-Governors-Commission-on-Screen-Based-Instruction.pdf,https://governor.alabama.gov/newsroom/2026/07/executive-order-745/
AL-EO-744,AL,Kay Ivey,744,emergency_declaration,termination,Executive Order 744 — EO 744 - Rescinding EO 695,2026-07-22,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/wp-content/uploads/2026/07/EO-744-Rescinding-EO-695.pdf,https://governor.alabama.gov/newsroom/2026/07/executive-order-744/
AL-EO-743,AL,Kay Ivey,743,executive_order,administrative,Executive Order 743 — EO 743 - Fair and Lawful Access to Financial Services,2026-03-26,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/wp-content/uploads/2026/03/EO-743-Fair-and-Lawful-Access-to-Financial-Services.pdf,https://governor.alabama.gov/newsroom/2026/03/executive-order-743/
AL-SOE-2026-02-02-termination-of-state-of-emergency-winter-weather,AL,Kay Ivey,,emergency_declaration,termination,Termination of State of Emergency: Winter Weather,2026-02-02,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2026/02/Termination-of-SOE.pdf,https://governor.alabama.gov/newsroom/2026/02/termination-of-state-of-emergency-winter-weather-6/
AL-SOE-2026-01-26-supplemental-state-of-emergency-winter-weather,AL,Kay Ivey,,emergency_declaration,amendment,Supplemental State of Emergency: Winter Weather,2026-01-26,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2026/01/2026-01-26-Supplemental-SOE-Winter-Weather.pdf,https://governor.alabama.gov/newsroom/2026/01/supplemental-state-of-emergency-winter-weather/
AL-SOE-2026-01-22-state-of-emergency-winter-weather,AL,Kay Ivey,,emergency_declaration,declaration,State of Emergency: Winter Weather,2026-01-22,,true,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2026/01/2026-01-22-SOE-Winter-Weather.pdf,https://governor.alabama.gov/newsroom/2026/01/state-of-emergency-winter-weather-6/
AL-EO-742,AL,Kay Ivey,742,executive_order,administrative,Executive Order 742 — EO 742 Federal Scholarship Tax Credit,2026-01-16,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2026/01/EO-742-Federal-Scholarship-Tax-Credit.pdf,https://governor.alabama.gov/newsroom/2026/01/executive-order-742/
AL-EO-741,AL,Kay Ivey,741,executive_order,administrative,Executive Order 741 — EO 741 - RHTAG,2025-12-18,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2025/12/EO-741-RHTAG.pdf,https://governor.alabama.gov/newsroom/2025/12/executive-order-741/
AL-EO-740,AL,Kay Ivey,740,executive_order,administrative,Executive Order 740 — EO 740 - JEEP,2025-12-12,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2025/12/EO-740-JEEP.pdf,https://governor.alabama.gov/newsroom/2025/12/executive-order-740/
AL-EO-739,AL,Kay Ivey,739,executive_order,administrative,Executive Order 739 — EO 739 - GOOD,2025-05-30,,false,alabama_governor_2017_present,pdf,https://governor.alabama.gov/assets/2025/05/EO-739-GOOD-.pdf,https://governor.alabama.gov/newsroom/2025/05/executive-order-739/
