declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
AL-SOE-2026-01-22-state-of-emergency-winter-weather,Kay Ivey,,State of Emergency: Winter Weather,2026-01-22,https://governor.alabama.gov/newsroom/2026/01/state-of-emergency-winter-weather-6/
AL-SOE-2025-03-14-state-of-emergency-severe-weather,Kay Ivey,,State of Emergency: Severe Weather,2025-03-14,https://governor.alabama.gov/newsroom/2025/03/state-of-emergency-severe-weather-6/
AL-SOE-2025-01-20-state-of-emergency-winter-weather,Kay Ivey,,State of Emergency: Winter Weather,2025-01-20,https://governor.alabama.gov/newsroom/2025/01/state-of-emergency-winter-weather-5/
AL-SOE-2025-01-09-state-of-emergency-winter-weather,Kay Ivey,,State of Emergency: Winter Weather,2025-01-09,https://governor.alabama.gov/newsroom/2025/01/state-of-emergency-winter-weather-4/
AL-SOE-2024-01-14-state-of-emergency-winter-weather,Kay Ivey,,State of Emergency: Winter Weather,2024-01-14,https://governor.alabama.gov/newsroom/2024/01/state-of-emergency-winter-weather-3/
AL-SOE-2023-06-10-state-of-emergency-june-10-2023-severe-weather,Kay Ivey,,"State of Emergency: June 10, 2023 Severe Weather",2023-06-10,https://governor.alabama.gov/newsroom/2023/07/state-of-emergency-june-10-2023-severe-weather/
AL-SOE-2023-03-24-state-of-emergency-march-24-2023-severe-weather,Kay Ivey,,"State of Emergency: March 24, 2023 Severe Weather",2023-03-24,https://governor.alabama.gov/newsroom/2023/04/state-of-emergency-severe-weather-5/
AL-SOE-2023-01-18-state-of-emergency-st-clair-county,Kay Ivey,,State of Emergency: St. Clair County — smoldering underground landfill fire in St. Clair County,2023-01-18,https://governor.alabama.gov/newsroom/2023/01/state-of-emergency-st-clair-county/
AL-SOE-2023-01-12-state-of-emergency-severe-weather,Kay Ivey,,State of Emergency: Severe Weather,2023-01-12,https://governor.alabama.gov/newsroom/2023/01/state-of-emergency-severe-weather-4/
AL-SOE-2021-08-28-state-of-emergency-hurricane-ida,Kay Ivey,,State of Emergency: Hurricane Ida,2021-08-28,https://governor.alabama.gov/newsroom/2021/08/state-of-emergency-hurricane-ida/
