declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,73,JEFFERSON,0,4,0.0,0.0,"Thunderstorm Wind, Tornado",2,0.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,129,WASHINGTON,0,0,500000.0,0.0,Flash Flood,3,500000.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,25,CLARKE,0,0,75000.0,0.0,"Flash Flood, Tornado",4,75000.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,39,COVINGTON,0,0,50000.0,0.0,Tornado,1,50000.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,Z,NWS forecast zone,64,LOWER BALDWIN,0,0,20000.0,0.0,Storm Surge/Tide,2,20000.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,97,MOBILE,0,0,10000.0,0.0,"Flash Flood, Thunderstorm Wind",3,10000.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,89,MADISON,0,0,2800.0,0.0,"Flash Flood, Thunderstorm Wind",10,2800.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,61,GENEVA,0,0,1000.0,0.0,Thunderstorm Wind,1,1000.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,77,LAUDERDALE,0,0,800.0,0.0,"Flash Flood, Thunderstorm Wind",5,800.0
AL-SOE-2017-06-20-state-of-emergency-tropical-storm-cindy,,Kay Ivey,State of Emergency: Tropical Storm Cindy,2017-06-20,https://governor.alabama.gov/newsroom/2017/06/state-of-emergency-tropical-storm-cindy/,C,county/county-equivalent,33,COLBERT,0,0,200.0,0.0,"Flash Flood, Thunderstorm Wind",4,200.0
