declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
AZ-2026-02,AZ,Katie Hobbs,2026-02,executive_order,administrative,Protecting the Public Trust by Prohibiting State Government Workers from Using Nonpublic Information for Personal Profit,2026-07-08,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2026-02,https://azgovernor.gov/office-arizona-governor/executive-order/2026-02
AZ-2026-01,AZ,Katie Hobbs,2026-01,executive_order,administrative,Protecting Paychecks for Hard-Working Arizonans,2026-05-20,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2026-01,https://azgovernor.gov/office-arizona-governor/executive-order/2026-01
AZ-2025-15,AZ,Katie Hobbs,2025-15,executive_order,administrative,Cutting Taxes for Hard-Working Arizonans,2025-11-25,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-15,https://azgovernor.gov/office-arizona-governor/executive-order/2025-15
AZ-2025-14,AZ,Katie Hobbs,2025-14,executive_order,administrative,Granting Authority to the Arizona Department of Homeland Security to Receive Criminal History Record Information,2025-11-05,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-14,https://azgovernor.gov/office-arizona-governor/executive-order/2025-14
AZ-2025-13,AZ,Katie Hobbs,2025-13,executive_order,administrative,Removing Barriers to Delivering Affordable Energy for Arizona,2025-09-15,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-13,https://azgovernor.gov/office-arizona-governor/executive-order/2025-13
AZ-2025-12,AZ,Katie Hobbs,2025-12,executive_order,administrative,Protecting Arizonans’ Healthcare Freedom,2025-09-11,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-12,https://azgovernor.gov/office-arizona-governor/executive-order/2025-12
AZ-2025-11,AZ,Katie Hobbs,2025-11,executive_order,termination,Rescinding Outdated Executive Orders,2025-08-13,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-11,https://azgovernor.gov/office-arizona-governor/executive-order/2025-11
AZ-2025-10,AZ,Katie Hobbs,2025-10,executive_order,administrative,Lowering the Cost of Prescription Drugs for Arizonans,2025-08-06,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-10,https://azgovernor.gov/office-arizona-governor/executive-order/2025-10
AZ-2025-09,AZ,Katie Hobbs,2025-09,executive_order,administrative,Protecting Arizonans from Heat Risk in the Workplace,2025-05-22,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-09,https://azgovernor.gov/office-arizona-governor/executive-order/2025-09
AZ-2025-08,AZ,Katie Hobbs,2025-08,executive_order,administrative,Arizona Launching Reentry 2030 Initiative to Create Pathways to Work and Strengthen Public Safety,2025-04-22,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-08,https://azgovernor.gov/office-arizona-governor/executive-order/2025-08
AZ-2025-07,AZ,Katie Hobbs,2025-07,executive_order,administrative,Continuing the Governor’s Commission to Prevent Intimate Partner and Gender-Based Violence,2025-04-02,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-07,https://azgovernor.gov/office-arizona-governor/executive-order/2025-07
AZ-2025-06,AZ,Katie Hobbs,2025-06,executive_order,administrative,Continuing the Governor’s Council on Child Safety and Family Empowerment,2025-04-02,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-06,https://azgovernor.gov/office-arizona-governor/executive-order/2025-06
AZ-2025-05,AZ,Katie Hobbs,2025-05,executive_order,administrative,Continuing the Arizona Substance Abuse Partnership,2025-04-02,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-05,https://azgovernor.gov/office-arizona-governor/executive-order/2025-05
AZ-2025-04,AZ,Katie Hobbs,2025-04,executive_order,administrative,Continuing the Governor’s Council to Combat Human Trafficking in Arizona,2025-04-02,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-04,https://azgovernor.gov/office-arizona-governor/executive-order/2025-04
AZ-2025-03,AZ,Katie Hobbs,2025-03,executive_order,administrative,Continuing the Governor’s Commission on Service and Volunteerism,2025-04-02,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-03,https://azgovernor.gov/office-arizona-governor/executive-order/2025-03
AZ-2025-02,AZ,Katie Hobbs,2025-02,executive_order,administrative,Continuing the Arizona Juvenile Justice Commission,2025-04-02,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-02,https://azgovernor.gov/office-arizona-governor/executive-order/2025-02
AZ-2025-01,AZ,Katie Hobbs,2025-01,executive_order,administrative,Establishing Operation Desert Guardian,2025-03-31,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2025-01,https://azgovernor.gov/office-arizona-governor/executive-order/2025-01
AZ-2024-05,AZ,Katie Hobbs,2024-05,executive_order,administrative,Continuity of Operations and Continuity of Government Planning,2024-12-30,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2024-05,https://azgovernor.gov/office-arizona-governor/executive-order/2024-05
AZ-2024-04,AZ,Katie Hobbs,2024-04,executive_order,administrative,Creating the Governor’s Talent Ready AZ Workforce Cabinet,2024-09-11,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2024-04,https://azgovernor.gov/office-arizona-governor/executive-order/2024-04
AZ-2024-03,AZ,Katie Hobbs,2024-03,executive_order,administrative,Protecting Reproductive Freedom Through Increased Access to Contraception,2024-05-17,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2024-03,https://azgovernor.gov/office-arizona-governor/executive-order/2024-03
AZ-2024-02,AZ,Katie Hobbs,2024-02,executive_order,termination,Adoption of 2024 Arizona Emergency Response and Recovery Plan (Rescinding and Replacing Executive Order 2017-06),2024-03-25,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2024-02,https://azgovernor.gov/office-arizona-governor/executive-order/2024-02
AZ-2024-01,AZ,Katie Hobbs,2024-01,executive_order,administrative,"Prohibiting Release of Information from Unclaimed Property Holder Reports for Commercial Purpose, Arizona Department of RevenueProhibiting Release",2024-03-06,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2024-01,https://azgovernor.gov/office-arizona-governor/executive-order/2024-01
AZ-2023-27,AZ,Katie Hobbs,2023-27,executive_order,administrative,"Ordering the Arizona National Guard to Arizona's Southern Border, as Part of Operation SECURE",2023-12-15,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2023-27,https://azgovernor.gov/office-arizona-governor/executive-order/2023-27
AZ-2023-26,AZ,Katie Hobbs,2023-26,executive_order,administrative,Continuing the Governor's Council to Combat Human Trafficking in Arizona,2023-11-13,,false,arizona_governor_executive_orders_2023_present,html,https://azgovernor.gov/office-arizona-governor/executive-order/2023-26,https://azgovernor.gov/office-arizona-governor/executive-order/2023-26
