declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
AR-POST-5085,AR,Sarah Huckabee Sanders,POST-5085,emergency_declaration,declaration,Sanders Declares State of Emergency in Response to Wildfires,2026-08-21,,true,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-declares-state-of-emergency-in-response-to-wildfires/,https://governor.arkansas.gov/executive_orders/sanders-declares-state-of-emergency-in-response-to-wildfires/
AR-POST-4872,AR,Sarah Huckabee Sanders,POST-4872,executive_order,administrative,"Sanders Signs Executive Order Authorizing Additional Funds for Severe Storms and Tornadoes On or About March 14, 2025",2026-06-19,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-and-tornadoes-on-or-about-march-14-2025-2/,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-and-tornadoes-on-or-about-march-14-2025-2/
AR-POST-4833,AR,Sarah Huckabee Sanders,POST-4833,executive_order,administrative,"Sanders Provides Additional Funding for Severe Storms and Flooding on January 22, 2024",2026-05-29,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-provides-additional-funding-for-severe-storms-and-flooding-on-january-22-2024/,https://governor.arkansas.gov/executive_orders/sanders-provides-additional-funding-for-severe-storms-and-flooding-on-january-22-2024/
AR-POST-4808,AR,Sarah Huckabee Sanders,POST-4808,executive_order,administrative,"Sanders Signs Executive Order Authorizing Additional Funds for Severe Storms and Tornadoes On or About May 8, 2024",2026-04-10,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-and-tornadoes-on-or-about-may-8-2024/,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-and-tornadoes-on-or-about-may-8-2024/
AR-POST-4792,AR,Sarah Huckabee Sanders,POST-4792,executive_order,administrative,"Sanders Signs Executive Order Authorizing Additional Funds for Severe Storms, Flooding, and Tornadoes On or About April 2, 2025",2026-03-13,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-flooding-and-tornadoes-on-or-about-april-2-2025-2/,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-flooding-and-tornadoes-on-or-about-april-2-2025-2/
AR-POST-4782,AR,Sarah Huckabee Sanders,POST-4782,executive_order,administrative,Sanders Signs Proclamation Encouraging Arkansas Students to Initiate a Turning Point USA Chapter in Their Schools,2026-03-11,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-signs-proclamation-encouraging-arkansas-students-to-initiate-a-turning-point-usa-chapter-in-their-schools/,https://governor.arkansas.gov/executive_orders/sanders-signs-proclamation-encouraging-arkansas-students-to-initiate-a-turning-point-usa-chapter-in-their-schools/
AR-POST-4765,AR,Sarah Huckabee Sanders,POST-4765,executive_order,administrative,"Sanders Signs Executive Order Authorizing Additional Funds for Severe Storms, Flooding, and Tornadoes On or About April 2, 2025",2026-02-18,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-flooding-and-tornadoes-on-or-about-april-2-2025/,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-authorizing-additional-funds-for-severe-storms-flooding-and-tornadoes-on-or-about-april-2-2025/
AR-POST-4763,AR,Sarah Huckabee Sanders,POST-4763,executive_order,administrative,Sanders Signs Executive Order To Speed Permitting for Economic Development Projects,2026-02-16,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-to-speed-permitting-for-economic-development-projects/,https://governor.arkansas.gov/executive_orders/sanders-signs-executive-order-to-speed-permitting-for-economic-development-projects/
AR-POST-4705,AR,Sarah Huckabee Sanders,POST-4705,emergency_declaration,declaration,"Sanders Declares Emergency for Severe Winter Weather Expected On or About January 23, 2026",2026-01-22,,true,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-declares-emergency-for-severe-winter-weather-expected-on-or-about-january-23-2026/,https://governor.arkansas.gov/executive_orders/sanders-declares-emergency-for-severe-winter-weather-expected-on-or-about-january-23-2026/
AR-POST-4692,AR,Sarah Huckabee Sanders,POST-4692,emergency_declaration,amendment,"Sanders Amends Executive Order to Provide Additional Funding for Severe Storms, Flooding, and Tornadoes On or About May 24, 2024",2026-01-15,,false,arkansas_governor_2023_present,html,https://governor.arkansas.gov/executive_orders/sanders-amends-executive-order-to-provide-additional-funding-for-severe-storms-flooding-and-tornadoes-on-or-about-may-24-2024/,https://governor.arkansas.gov/executive_orders/sanders-amends-executive-order-to-provide-additional-funding-for-severe-storms-flooding-and-tornadoes-on-or-about-may-24-2024/
