source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
AR-POST-4692,AR-EO-26-02,amends,EO 26-02,https://governor.arkansas.gov/executive_orders/sanders-amends-executive-order-to-provide-additional-funding-for-severe-storms-flooding-and-tornadoes-on-or-about-may-24-2024/,high
AR-POST-4692,AR-EO-24-07,amends,EO 24-07,https://governor.arkansas.gov/executive_orders/sanders-amends-executive-order-to-provide-additional-funding-for-severe-storms-flooding-and-tornadoes-on-or-about-may-24-2024/,high
AR-EO-25-12,AR-EO-25-07,amends,EO 25-07,https://governor.arkansas.gov/executive_orders/eo-25-12-amending-eo-25-07-to-provide-funding-for-severe-storms-tornadoes-and-flooding-on-or-about-april-2nd-2025/,high
AR-EO-25-11,AR-EO-25-05,amends,EO 25-05,https://governor.arkansas.gov/executive_orders/eo-25-11-amending-eo-25-05-to-provide-funding-for-severe-storms-and-tornadoes-on-or-about-march-14th-2025/,high
AR-EO-25-04,AR-DR-24-03,amends,DR 24-03,https://governor.arkansas.gov/executive_orders/eo-25-04-executive-order-amending-dr-24-03-to-provide-funding-as-authorized-by-ark-code-ann-%c2%a7-12-75-114-from-the-governors-disaster-response-and-recovery-fund/,high
AR-EO-25-03,AR-DR-24-05,amends,DR 24-05,https://governor.arkansas.gov/executive_orders/eo-25-03-executive-order-amending-dr-24-05-to-provide-funding-as-authorized-by-ark-code-ann-%c2%a7-12-75-114/,high
AR-EO-25-02,AR-DR-23-08,amends,DR 23-08,https://governor.arkansas.gov/executive_orders/eo-25-02-executive-order-amending-dr-23-08-to-provide-funding-as-authorized-by-ark-code-ann-%c2%a7-12-75-114/,high
AR-EO-24-19,AR-EO-24-15,amends,EO 24-15,https://governor.arkansas.gov/executive_orders/eo-24-19-executive-order-amending-eo-24-15-to-provide-funding-as-authorized-by-ark-code-ann-%c2%a7%c2%a7-12-75-114-et-seq-and-the-emergency-management-assistance-compact-emac/,high
AR-POST-3858,AR-DR-21-17,amends,DR 21-17,https://governor.arkansas.gov/executive_orders/sanders-amends-dr-21-17-to-provide-funding-for-severe-storms-and-tornadoes-on-or-about-december-10th-and-11th-2021/,high
AR-POST-3858,AR-EO-21-18,amends,EO 21-18,https://governor.arkansas.gov/executive_orders/sanders-amends-dr-21-17-to-provide-funding-for-severe-storms-and-tornadoes-on-or-about-december-10th-and-11th-2021/,high
AR-EO-24-16,AR-DR-23-04,amends,DR 23-04,https://governor.arkansas.gov/executive_orders/eo-24-16-executive-order-amending-dr-23-04-to-provide-funding-as-authorized-by-ark-code-ann-%c2%a7-12-75-114-from-the-governors-disaster-response-and-recovery-fund/,high
AR-EO-24-11,AR-EO-24-09,amends,E.O. 24-09,https://governor.arkansas.gov/executive_orders/sanders-signs-an-executive-order-to-provide-additional-relief-in-regards-to-tax-filing-and-payment-deadlines-in-response-to-the-may-24th-storms/,high
AR-EO-24-05,AR-EO-24-02,amends,E.O. 24-02,https://governor.arkansas.gov/executive_orders/e-o-24-05-executive-order-to-amend-e-o-24-02-renewing-waiver-for-oversized-vehicles-transporting-fema-housing-units-in-response-to-emergency/,high
AR-POST-2775,AR-EO-23-20,amends,EO 23-20,https://governor.arkansas.gov/executive_orders/executive-order-amending-eo-23-20-to-provide-funding-as-authorized-by-ark-code-ann-%c2%a7%c2%a7-12-75-114-from-the-governors-disaster-response-and-recovery-fund/,high
