declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
CA-PROC-112342,CA,Gavin Newsom,Proclamation 112342,news_release,administrative,"Six years after Creek Fire, Governor Newsom recognizes historic nighttime CalGuard rescue that saved 242 lives",2026-09-04,,false,california_governor_search,html,https://www.gov.ca.gov/2026/09/04/six-years-after-creek-fire-governor-newsom-recognizes-historic-nighttime-calguard-rescue-that-saved-242-lives/,https://www.gov.ca.gov/2026/09/04/six-years-after-creek-fire-governor-newsom-recognizes-historic-nighttime-calguard-rescue-that-saved-242-lives/
CA-PROC-112337,CA,Gavin Newsom,Proclamation 112337,news_release,administrative,"California and the Australian state of Queensland ink new partnership to accelerate climate resilience, agricultural technology, and innovation",2026-09-03,,false,california_governor_search,html,https://www.gov.ca.gov/2026/09/03/california-and-the-australian-state-of-queensland-ink-new-partnership-to-accelerate-climate-resilience-agricultural-technology-and-innovation/,https://www.gov.ca.gov/2026/09/03/california-and-the-australian-state-of-queensland-ink-new-partnership-to-accelerate-climate-resilience-agricultural-technology-and-innovation/
CA-PROC-112286,CA,Gavin Newsom,Proclamation 112286,news_release,administrative,Governor Newsom signs legislation 8.31.2026,2026-08-31,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/31/governor-newsom-signs-legislation-8-31-2026/,https://www.gov.ca.gov/2026/08/31/governor-newsom-signs-legislation-8-31-2026/
CA-PROC-112276,CA,Gavin Newsom,Proclamation 112276,news_release,administrative,Governor Newsom announces appointments 8.31.2026,2026-08-31,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/31/governor-newsom-announces-appointments-8-31-2026/,https://www.gov.ca.gov/2026/08/31/governor-newsom-announces-appointments-8-31-2026/
CA-PROC-112263,CA,Gavin Newsom,Proclamation 112263,news_release,administrative,Governor Newsom signs legislation cracking down on cannabis ads and labels that appeal to kids,2026-08-31,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/31/governor-newsom-signs-legislation-cracking-down-on-cannabis-ads-and-labels-that-appeal-to-kids/,https://www.gov.ca.gov/2026/08/31/governor-newsom-signs-legislation-cracking-down-on-cannabis-ads-and-labels-that-appeal-to-kids/
CA-PROC-112102,CA,Gavin Newsom,Proclamation 112102,news_release,administrative,Governor Newsom announces $2.7 billion for 150+ projects to expand and make California’s transportation system more resilient,2026-08-28,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/28/governor-newsom-announces-2-7-billion-for-150-projects-to-expand-and-make-californias-transportation-system-more-resilient/,https://www.gov.ca.gov/2026/08/28/governor-newsom-announces-2-7-billion-for-150-projects-to-expand-and-make-californias-transportation-system-more-resilient/
CA-PROC-112088,CA,Gavin Newsom,Proclamation 112088,news_release,administrative,Governor Newsom signs legislation 8.27.2026,2026-08-27,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/27/governor-newsom-signs-legislation-8-27-2026/,https://www.gov.ca.gov/2026/08/27/governor-newsom-signs-legislation-8-27-2026/
CA-PROC-112018,CA,Gavin Newsom,Proclamation 112018,news_release,administrative,"California answers the call: The state has deployed 3,372 personnel since June to support disaster response across the country and abroad",2026-08-27,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/27/california-answers-the-call-the-state-has-deployed-3372-personnel-since-june-to-support-disaster-response-across-the-country-and-abroad/,https://www.gov.ca.gov/2026/08/27/california-answers-the-call-the-state-has-deployed-3372-personnel-since-june-to-support-disaster-response-across-the-country-and-abroad/
CA-PROC-111999,CA,Gavin Newsom,Proclamation 111999,news_release,administrative,Governor Newsom announces appointments 8.25.2026,2026-08-25,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/25/governor-newsom-announces-appointments-8-25-2026/,https://www.gov.ca.gov/2026/08/25/governor-newsom-announces-appointments-8-25-2026/
CA-PROC-111927,CA,Gavin Newsom,Proclamation 111927,news_release,administrative,California becomes first state to offer same-day and ongoing opioid treatment support,2026-08-25,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/25/new-helpline-connects-californians-to-same-day-opioid-treatment-support/,https://www.gov.ca.gov/2026/08/25/new-helpline-connects-californians-to-same-day-opioid-treatment-support/
CA-PROC-111855,CA,Gavin Newsom,Proclamation 111855,news_release,administrative,Governor Newsom awards $11.3 million to 13 prohousing communities to build more affordable housing,2026-08-20,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/20/governor-newsom-awards-11-3-million-to-13-prohousing-communities-to-build-more-affordable-housing/,https://www.gov.ca.gov/2026/08/20/governor-newsom-awards-11-3-million-to-13-prohousing-communities-to-build-more-affordable-housing/
CA-PROC-111839,CA,Gavin Newsom,Proclamation 111839,news_release,administrative,California sends FREE life-saving asthma inhalers to ALL schools,2026-08-20,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/20/california-sends-free-life-saving-asthma-inhalers-to-all-schools/,https://www.gov.ca.gov/2026/08/20/california-sends-free-life-saving-asthma-inhalers-to-all-schools/
CA-PROC-111418,CA,Gavin Newsom,Proclamation 111418,news_release,administrative,Governor Newsom secures federal disaster assistance for small businesses impacted by Boyle Heights warehouse fire,2026-08-18,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/18/governor-newsom-secures-federal-disaster-assistance-for-small-businesses-impacted-by-boyle-heights-warehouse-fire/,https://www.gov.ca.gov/2026/08/18/governor-newsom-secures-federal-disaster-assistance-for-small-businesses-impacted-by-boyle-heights-warehouse-fire/
CA-PROC-110321,CA,Gavin Newsom,Proclamation 110321,news_release,administrative,"California’s latest efficiency wins include access to life-saving heat tools, smarter and faster hiring efforts, and simplified business tax filing",2026-08-12,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/12/californias-latest-efficiency-wins-include-access-to-life-saving-heat-tools-smarter-and-faster-hiring-efforts-and-simplified-business-tax-filing/,https://www.gov.ca.gov/2026/08/12/californias-latest-efficiency-wins-include-access-to-life-saving-heat-tools-smarter-and-faster-hiring-efforts-and-simplified-business-tax-filing/
CA-PROC-109834,CA,Gavin Newsom,Proclamation 109834,news_release,administrative,"As 2026 continues notching heat records, Governor Newsom announces a strategic action plan to address extreme heat in California",2026-08-11,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/11/as-2026-continues-notching-heat-records-governor-newsom-announces-a-strategic-action-plan-to-address-extreme-heat-in-california/,https://www.gov.ca.gov/2026/08/11/as-2026-continues-notching-heat-records-governor-newsom-announces-a-strategic-action-plan-to-address-extreme-heat-in-california/
CA-PROC-109791,CA,Gavin Newsom,Proclamation 109791,news_release,administrative,Governor Newsom announces new AI cyber defense program to protect California’s critical infrastructure,2026-08-10,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/10/governor-newsom-announces-new-ai-cyber-defense-program-to-protect-californias-critical-infrastructure/,https://www.gov.ca.gov/2026/08/10/governor-newsom-announces-new-ai-cyber-defense-program-to-protect-californias-critical-infrastructure/
CA-PROC-109788,CA,Gavin Newsom,Proclamation 109788,news_release,administrative,Governor Newsom announces appointments 8.7.26,2026-08-07,,false,california_governor_search,html,https://www.gov.ca.gov/2026/08/07/governor-newsom-announces-appointments-8-7-26/,https://www.gov.ca.gov/2026/08/07/governor-newsom-announces-appointments-8-7-26/
