declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
CA-PROC-109626,Gavin Newsom,Proclamation 109626,Governor Newsom proclaims State of Emergency in Calaveras County for the Gann Fire response,2026-08-06,https://www.gov.ca.gov/2026/08/06/governor-newsom-proclaims-state-of-emergency-in-calaveras-county-for-the-gann-fire-response/
CA-PROC-108024,Gavin Newsom,Proclamation 108024,Governor Newsom proclaims State of Emergency in Los Angeles for the Boyle Heights fire response,2026-06-20,https://www.gov.ca.gov/2026/06/20/governor-newsom-proclaims-state-of-emergency-in-los-angeles-for-the-boyle-heights-fire-response/
CA-PROC-104846,Gavin Newsom,Proclamation 104846,Governor Newsom proclaims state of emergency to support response in multiple counties due to late December storms,2025-12-24,https://www.gov.ca.gov/2025/12/24/governor-newsom-proclaims-state-of-emergency-to-support-response-in-multiple-counties-due-to-late-december-storms/
CA-PROC-104545,Gavin Newsom,Proclamation 104545,Governor Newsom Proclaims State of Emergency in Mono County for Pack Fire,2025-12-09,https://www.gov.ca.gov/2025/12/09/governor-newsom-proclaims-state-of-emergency-in-mono-county-for-pack-fire/
CA-PROC-98744,Gavin Newsom,Proclamation 98744,"With growing fire risk, Governor Newsom proclaims state of emergency to fast-track critical wildfire prevention projects statewide",2025-03-01,https://www.gov.ca.gov/2025/03/01/with-growing-fire-risk-governor-newsom-proclaims-state-of-emergency-to-fast-track-critical-wildfire-prevention-projects-statewide/
CA-PROC-97870,Gavin Newsom,Proclamation 97870,"Governor Newsom proclaims state of emergency, meets with first responders in Pacific Palisades amid dangerous fire weather",2025-01-07,https://www.gov.ca.gov/2025/01/07/governor-newsom-proclaims-state-of-emergency-meets-with-first-responders-in-pacific-palisades-amid-dangerous-fire-weather/
CA-PROC-97026,Gavin Newsom,Proclamation 97026,"Governor Newsom proclaims state of emergency in Ventura County due to Mountain Fire, meets with first responders",2024-11-07,https://www.gov.ca.gov/2024/11/07/governor-newsom-proclaims-state-of-emergency-in-ventura-county-due-to-mountain-fire-meets-with-first-responders/
CA-PROC-96345,Gavin Newsom,Proclamation 96345,Governor Newsom proclaims state of emergency in Lake County to support Boyles Fire recovery,2024-09-29,https://www.gov.ca.gov/2024/09/29/governor-newsom-proclaims-state-of-emergency-in-lake-county-to-support-boyles-fire-recovery/
CA-PROC-95769,Gavin Newsom,Proclamation 95769,"Governor Newsom proclaims state of emergency in response to Bridge and Airport fires, visits Line Fire Incident Command Post",2024-09-11,https://www.gov.ca.gov/2024/09/11/governor-newsom-proclaims-state-of-emergency-in-response-to-bridge-and-airport-fires-visits-line-fire-incident-command-post/
CA-PROC-95734,Gavin Newsom,Proclamation 95734,"Governor Newsom proclaims state of emergency in San Bernardino County, secures federal assistance to support response to Line Fire",2024-09-07,https://www.gov.ca.gov/2024/09/07/governor-newsom-proclaims-state-of-emergency-in-san-bernardino-county-secures-federal-assistance-to-support-response-to-line-fire/
CA-PROC-94901,Gavin Newsom,Proclamation 94901,"In Kern County, Governor Newsom proclaims state of emergency, meets with Borel Fire first responders",2024-07-30,https://www.gov.ca.gov/2024/07/30/in-kern-county-governor-newsom-proclaims-state-of-emergency-meets-with-borel-fire-first-responders/
CA-PROC-94863,Gavin Newsom,Proclamation 94863,"Governor Newsom proclaims state of emergency in Plumas, Butte and Tehama counties due to fires",2024-07-26,https://www.gov.ca.gov/2024/07/26/governor-newsom-proclaims-state-of-emergency-in-plumas-butte-and-tehama-counties-due-to-fires/
CA-PROC-93917,Gavin Newsom,Proclamation 93917,Governor Newsom proclaims state of emergency in response to Thompson Fire,2024-07-03,https://www.gov.ca.gov/2024/07/03/governor-newsom-proclaims-state-of-emergency-in-response-to-thompson-fire/
CA-PROC-79675,Gavin Newsom,Proclamation 79675,Governor Newsom Proclaims State of Emergency in Southern California As Powerful Storm Makes Landfall,2024-02-04,https://www.gov.ca.gov/2024/02/04/governor-newsom-proclaims-state-of-emergency-in-southern-california-as-powerful-storm-makes-landfall/
CA-PROC-79136,Gavin Newsom,Proclamation 79136,Governor Newsom Proclaims State of Emergency in Los Angeles County Due to I-10 Freeway Fire,2023-11-11,https://www.gov.ca.gov/2023/11/11/governor-newsom-proclaims-state-of-emergency-in-los-angeles-county-due-to-i-10-freeway-fire/
CA-PROC-77942,Gavin Newsom,Proclamation 77942,Governor Newsom Proclaims State of Emergency in Del Norte and Siskiyou Counties Due to Fires,2023-08-29,https://www.gov.ca.gov/2023/08/29/governor-newsom-proclaims-state-of-emergency-in-del-norte-and-siskiyou-counties-due-to-fires/
CA-PROC-77841,Gavin Newsom,Proclamation 77841,Governor Newsom Proclaims State of Emergency As Hurricane Hilary Approaches California,2023-08-19,https://www.gov.ca.gov/2023/08/19/governor-newsom-proclaims-state-of-emergency-as-hurricane-hilary-approaches-california/
CA-PROC-76379,Gavin Newsom,Proclamation 76379,Governor Newsom Proclaims Storm State of Emergency Supporting 21 Additional Counties,2023-03-08,https://www.gov.ca.gov/2023/03/08/governor-newsom-proclaims-storm-state-of-emergency-supporting-21-additional-counties/
CA-PROC-76331,Gavin Newsom,Proclamation 76331,"Governor Newsom Proclaims State of Emergency in 13 Counties Due to Winter Storms, Activates California Guard",2023-03-01,https://www.gov.ca.gov/2023/03/01/governor-newsom-proclaims-state-of-emergency-in-13-counties-due-to-winter-storms-activates-california-guard/
CA-PROC-75954,Gavin Newsom,Proclamation 75954,Governor Newsom Proclaims State of Emergency and Mobilizes State Government Ahead of Winter Storms,2023-01-04,https://www.gov.ca.gov/2023/01/04/governor-newsom-proclaims-state-of-emergency-and-mobilizes-state-government-ahead-of-winter-storms/
