declaration_id,hazard_category_override,review_note,source_url
CA-PROC-109626,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2026/08/06/governor-newsom-proclaims-state-of-emergency-in-calaveras-county-for-the-gann-fire-response/
CA-PROC-108024,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2026/06/20/governor-newsom-proclaims-state-of-emergency-in-los-angeles-for-the-boyle-heights-fire-response/
CA-PROC-104545,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2025/12/09/governor-newsom-proclaims-state-of-emergency-in-mono-county-for-pack-fire/
CA-PROC-97870,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2025/01/07/governor-newsom-proclaims-state-of-emergency-meets-with-first-responders-in-pacific-palisades-amid-dangerous-fire-weather/
CA-PROC-97026,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/11/07/governor-newsom-proclaims-state-of-emergency-in-ventura-county-due-to-mountain-fire-meets-with-first-responders/
CA-PROC-96345,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/09/29/governor-newsom-proclaims-state-of-emergency-in-lake-county-to-support-boyles-fire-recovery/
CA-PROC-95769,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/09/11/governor-newsom-proclaims-state-of-emergency-in-response-to-bridge-and-airport-fires-visits-line-fire-incident-command-post/
CA-PROC-95734,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/09/07/governor-newsom-proclaims-state-of-emergency-in-san-bernardino-county-secures-federal-assistance-to-support-response-to-line-fire/
CA-PROC-94901,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/07/30/in-kern-county-governor-newsom-proclaims-state-of-emergency-meets-with-borel-fire-first-responders/
CA-PROC-94863,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/07/26/governor-newsom-proclaims-state-of-emergency-in-plumas-butte-and-tehama-counties-due-to-fires/
CA-PROC-93917,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2024/07/03/governor-newsom-proclaims-state-of-emergency-in-response-to-thompson-fire/
CA-PROC-79136,fire,"The official Governor record identifies this as a named Fire emergency; the shared classifier intentionally does not treat a bare 'Fire' as 'wildfire', so a cited fire override is required.",https://www.gov.ca.gov/2023/11/11/governor-newsom-proclaims-state-of-emergency-in-los-angeles-county-due-to-i-10-freeway-fire/
