declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
CO-EO-D-2000-010,Bill Owens,D-2000-010,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf
CO-EO-D-2000-014,Bill Owens,D-2000-014,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Las Animas County,2000-09-21,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01400internet.pdf
CO-EO-D-2001-003,Bill Owens,D-2001-003,E X E C U T I V E O R D E R Concerning the Eldorado Canyon Wildfire Disaster Emergency,2001-03-08,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00301internet.pdf
CO-EO-D-2001-005,Bill Owens,D-2001-005,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Winter Storms and the Resulting Impact on Certain Utilities and Local Governments,2001-05-08,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00501internet.pdf
CO-EO-D-2002-009,Bill Owens,D-2002-009,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Occurrence of Wildfires and the Imminent Threat of Additional Wildfire Activity Due to Drought Conditions,2002-04-23,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00902internet.pdf
CO-EO-D-2002-014,Bill Owens,D-2002-014,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf
CO-EO-D-2003-006,Bill Owens,D-2003-006,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Winter Storm,2003-03-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00603internet.pdf
CO-EO-D-2003-015,Bill Owens,D-2003-015,EXECUTIVE ORDER Declaring a Disaster Emergency and Making Certain Emergency Management Funds Available for Wildfire Suppression Activities,2003-07-25,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01503internet.pdf
CO-EO-D-2004-004,Bill Owens,D-2004-004,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Larimer County,2004-04-02,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00404internet.pdf
CO-EO-D-2004-006,Bill Owens,D-2004-006,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Imminent Threat of Wildfires,2004-05-27,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00604internet.pdf
CO-EO-D-2005-006,Bill Owens,D-2005-006,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Pueblo and Custer Counties and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2005-07-14,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00605internet.pdf
CO-EO-D-2005-008,Bill Owens,D-2005-008,EXECUTIVE ORDER Calling Certain Elements of the Colorado National Guard to Active Duty to Assist with Emergency Response Efforts Related to Hurricane Katrina,2005-09-01,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00805internet.pdf
CO-EO-D-2005-010,Bill Owens,D-2005-010,EXECUTIVE ORDER Directing State Agencies to Prepare Temporary Housing For Evacuees Displaced by Hurricane Katrina,2005-09-03,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01005internet.pdf
CO-EO-D-2006-001,Bill Owens,D-2006-001,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Las Animas and Huerfano Counties,2006-01-09,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00106internet.pdf
CO-EO-D-2006-003,Bill Owens,D-2006-003,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Imminent Threat of Wildfires,2006-02-07,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00306internet.pdf
CO-EO-D-2006-008,Bill Owens,D-2006-008,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Imminent Threat of Wildfires,2006-04-19,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00806internet.pdf
CO-EO-D-2006-010,Bill Owens,D-2006-010,EXECUTIVE ORDER Declaring a Disaster Emergency in the South Platte Basin in Northern Colorado Due to the Drought,2006-05-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01006internet.pdf
CO-EO-D-2006-014,Bill Owens,D-2006-014,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Costilla and Huerfano Counties,2006-06-21,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01406internet.pdf
CO-EO-D-2006-017,Bill Owens,D-2006-017,"E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to Wildfires in Garfield, Teller and Custer Counties",2006-07-13,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01706internet.pdf
CO-EO-D-2006-018,Bill Owens,D-2006-018,E X E C U T I V E O R D E R Declaring a Disaster Emergency and Calling on Certain Elements of the National Guard Due to Flooding,2006-07-13,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01806internet.pdf
CO-EO-D-2006-021,Bill Owens,D-2006-021,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Garfield County,2006-09-13,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d02106internet.pdf
CO-EO-D-2006-024,Bill Owens,D-2006-024,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Winter Storm,2006-11-28,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d02406internet.pdf
CO-EO-D-2007-009,Bill Ritter,D-2007-009,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Tornado,2007-04-03,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2007/go41132007009internet.pdf
CO-EO-D-2007-013,Bill Ritter,D-2007-013,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Sudden Snowstorm,2007-04-27,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2007/go41132007013internet.pdf
CO-EO-D-2007-027,Bill Ritter,D-2007-027,EXECUTIVE ORDER Activation of the National Guard in Support of Wildfire Suppression Efforts in the State of California,2007-10-29,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2007/go41132007027internet.pdf
CO-EO-D-2008-009,Bill Ritter,D-2008-009,EXECUTIVE ORDER Declaring a Disaster Emergency Due to Wildfires in Crowley County,2008-04-17,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2008/go41132008009internet.pdf
CO-EO-D-2008-011,Bill Ritter,D-2008-011,EXECUTIVE ORDER Declaring a Disaster Emergency Due to Severe Tornadoes in Northern Colorado,2008-05-23,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2008/go41132008011internet.pdf
CO-EO-D-2008-012,Bill Ritter,D-2008-012,EXECUTIVE ORDER Declaring a Disaster Emergency Due to Wildfires in Las Animas County,2008-06-19,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2008/go41132008012internet.pdf
CO-EO-D-2008-016,Bill Ritter,D-2008-016,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Housetop Fire in Mesa County,2008-07-30,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2008/go41132008016internet.pdf
CO-EO-D-2009-005,Bill Ritter,D-2009-005,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Blizzard,2009-03-26,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2009/go41132009005internet.pdf
CO-EO-D-2009-009,Bill Ritter,D-2009-009,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Spring Snowstorm,2009-04-21,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2009/go41132009009internet.pdf
CO-EO-D-2010-012,Bill Ritter,D-2010-012,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to Fourmile Fire in Boulder County,2010-09-07,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2010/go41132010012internet.pdf
CO-EO-D-2010-014,Bill Ritter,D-2010-014,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to the Reservoir Road Fire in Larimer County,2010-09-13,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2010/go41132010014internet.pdf
CO-EO-D-2011-009,John Hickenlooper,D-2011-009,John W. Hickenlooper Governor EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Imminent Threat Posed by Flooding as a Result of the Fourmile Fire in Boulder County,2011-03-18,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011009internet.pdf
CO-EO-D-2011-019,John Hickenlooper,D-2011-019,Colorado National Guard to Nebraska for flood assistance,2011-06-13,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011019internet.pdf
CO-EO-D-2011-022,John Hickenlooper,D-2011-022,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Shell Fire Complex in Las Animas County,2011-07-19,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011022internet.pdf
CO-EO-D-2011-023,John Hickenlooper,D-2011-023,"July 19, 2011 Page 2 of 3 Declaration and Directives A. B. The Duckett Fire hereby constitutes a disaster emergency for purposes of .R.S. § 24-32-2103. My verbal order of June 13, 2011, declaring a sta saster emergency is hereby memorialized by this Executive Order an shall have the full force and effect of law as if it were contained within this Executive Order. The State Emergency Operations Plan (""Plan"") is hereby activated. All C. D.",2011-07-19,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132011023internet.pdf
CO-EO-D-2012-007,John Hickenlooper,D-2012-007,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Lower North Fork Fire,2012-03-30,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012007internet.pdf
CO-EO-D-2012-012,John Hickenlooper,D-2012-012,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Hewlett Fire in Larimer County,2012-05-17,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012012internet.pdf
CO-EO-D-2012-018,John Hickenlooper,D-2012-018,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Springer Fire,2012-06-21,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012018internet.pdf
CO-EO-D-2012-021,Governor John W. Hickenlooper,D-2012-021,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Weber Fire,2012-06-27,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012021internet.pdf
CO-EO-D-2012-023,John Hickenlooper,D-2012-023,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Flagstaff Fire,2012-06-28,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012023internet.pdf
CO-EO-D-2012-025,Governor John W. Hickenlooper,D-2012-025,John W. Hickenlooper Governor EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Pine Ridge Fire,2012-07-02,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012025internet.pdf
CO-EO-D-2012-034,Governor John W. Hickenlooper,D-2012-034,EXECUTIVE ORDER Declaring a Disaster Emergency Due to Wildfires in Rio Blanco County,2012-07-24,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012034internet.pdf
CO-EO-D-2012-039,John Hickenlooper,D-2012-039,EXECUTIVE ORDER Declaration of Disaster Emergency Due to Imminent Flood Risk Associated with the High Park Fire in Larimer County and the Waldo Canyon Fire in El Paso County and Making Funds Available for Flood Warning,2012-08-24,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012039internet.pdf
CO-EO-D-2012-041,John Hickenlooper,D-2012-041,EXECUTIVE ORDER Declaring a Disaster Emergency and Deploying the National Guard to the Highway 13 Fire in Garfield County,2012-10-09,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012041internet.pdf
CO-EO-D-2012-044,Governor John W. Hickenlooper,D-2012-044,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Wetmore Fire in Custer County,2012-10-24,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012044internet.pdf
CO-EO-D-2012-046,John Hickenlooper,D-2012-046,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Roatcap Fire,2012-10-26,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132012046internet.pdf
