declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5173462,1100320,2000-07-24 12:00:00,2000-07-24 20:00:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which consumed 40 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5173469,1100327,2000-07-24 12:00:00,2000-07-24 21:00:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which consumed 20 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5155249,1100316,2000-07-24 13:00:00,2000-07-25 14:30:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which consumed 100 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5173471,1100329,2000-07-24 13:30:00,2000-07-24 17:00:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which burned 8 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5173466,1100324,2000-07-24 14:30:00,2000-07-24 20:30:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which consumed 30 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5155251,1100318,2000-07-24 14:30:00,2000-07-26 16:00:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,A lightning sparked wildfire consumed 90 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5155243,1100310,2000-07-25 16:30:00,2000-07-25 17:00:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which consumed 1500 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5155246,1100313,2000-07-26 13:00:00,2000-07-26 21:00:00,C,county/county-equivalent,81,MOFFAT,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning sparked a wildfire which consumed 590 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5173478,1100336,2000-07-24 14:00:00,2000-07-24 19:00:00,C,county/county-equivalent,83,MONTEZUMA,Wildfire,,,0,0,,,NEWSPAPER,Lightning sparked a wildfire which burned approximately 3 acres.,
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,5173464,1100322,2000-07-24 14:00:00,2000-07-28 14:00:00,C,county/county-equivalent,103,RIO BLANCO,Wildfire,,,0,0,,,PARK/FOREST SERVICE,Lightning ignited a wildfire which consumed 37 acres.,
