declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,C,county/county-equivalent,81,MOFFAT,0,0,0.0,0.0,Wildfire,8,0.0
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,C,county/county-equivalent,83,MONTEZUMA,0,0,0.0,0.0,Wildfire,1,0.0
CO-EO-D-2000-010,D-2000-010,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Large Wildfire in Montezuma County and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2000-07-26,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01000internet.pdf,C,county/county-equivalent,103,RIO BLANCO,0,0,0.0,0.0,Wildfire,5,0.0
CO-EO-D-2000-014,D-2000-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Las Animas County,2000-09-21,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01400internet.pdf,Z,NWS forecast zone,22,ANIMAS RIVER BASIN,0,0,2000.0,0.0,High Wind,1,2000.0
CO-EO-D-2000-014,D-2000-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Disaster Emergency Due to a Wildfire in Las Animas County,2000-09-21,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01400internet.pdf,Z,NWS forecast zone,66,SOUTHERN SANGRE DE CRISTO MOUNTAINS / E COSTILLA / SW HUERFANO / X SW LAS ANIMAS,0,0,0.0,0.0,High Wind,1,0.0
CO-EO-D-2001-005,D-2001-005,Bill Owens,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Winter Storms and the Resulting Impact on Certain Utilities and Local Governments,2001-05-08,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00501internet.pdf,Z,NWS forecast zone,32,MIDDLE PARK / C GRAND,0,0,0.0,0.0,High Wind,1,0.0
CO-EO-D-2001-005,D-2001-005,Bill Owens,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Winter Storms and the Resulting Impact on Certain Utilities and Local Governments,2001-05-08,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00501internet.pdf,Z,NWS forecast zone,42,NORTHEASTERN WELD COUNTY,0,0,0.0,0.0,High Wind,1,0.0
CO-EO-D-2001-005,D-2001-005,Bill Owens,EXECUTIVE ORDER Declaring a Disaster Emergency Due to a Severe Winter Storms and the Resulting Impact on Certain Utilities and Local Governments,2001-05-08,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00501internet.pdf,Z,NWS forecast zone,43,SOUTHERN WELD COUNTY/GREELEY AND VICINITY,0,0,0.0,0.0,High Wind,1,0.0
CO-EO-D-2002-014,D-2002-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf,C,county/county-equivalent,119,TELLER,0,2,6000000.0,0.0,Wildfire,1,6000000.0
CO-EO-D-2002-014,D-2002-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf,C,county/county-equivalent,77,MESA,0,0,2000.0,0.0,Wildfire,2,2000.0
CO-EO-D-2002-014,D-2002-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf,C,county/county-equivalent,45,GARFIELD,0,0,0.0,0.0,Wildfire,2,0.0
CO-EO-D-2002-014,D-2002-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf,C,county/county-equivalent,67,LA PLATA,0,0,0.0,0.0,Wildfire,1,0.0
CO-EO-D-2002-014,D-2002-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf,Z,NWS forecast zone,9,GRAND AND BATTLEMENT MESAS,0,0,0.0,0.0,High Wind,1,0.0
CO-EO-D-2002-014,D-2002-014,Bill Owens,E X E C U T I V E O R D E R Declaring a Statewide Disaster Emergency Due to Wildfires and Ordering to State Active Duty Certain Elements of the Colorado National Guard,2002-06-10,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01402internet.pdf,Z,NWS forecast zone,36,JEFFERSON & W DOUGLAS COUNTIES ABOVE 6000 FEET / GILPIN / CLEAR CREEK / NE PARK COUNTIES BELOW 9000 FEET,0,0,0.0,0.0,Drought,1,0.0
