declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
CO-EO-D-2000-005,,E X E C U T I V E O R D E R Inclement Weather Policy,exclude,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00500internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2001-006,,EXECUTIVE ORDER PROCLAMATION CALL FOR FIRST EXTRAORDINARY SESSION OF THE SIXTY-THIRD GENERAL ASSEMBLY,exclude,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00601internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2001-008,,E X E C U T I V E O R D E R Strengthening Colorado’s Administrative Justice System,exclude,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00801internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2002-003,,Executive Order Transferring Funds to the Office of Energy Management and Conservation to Conduct the Low -Cost Weatherization Program,exclude,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00302internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2003-008,,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Imminent Threat of Wildfires,review,Signing date unconfirmed or outside 2000-present,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00803internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2003-012,,"EXECUTIVE ORDER For the transfer of additional funds from the U.S. Department of Health and Human Services, Low Income Home Energy Assistance Program, to the Governor’s Office of Energy Management and Conservation",exclude,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01203internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2003-013,,EXECUTIVE ORDER Directing State Departments Responsible for Public Safety to Adopt a Single Regional Planning Map for Emergency Management and Response,review,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01303internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2003-017,,EXECUTIVE ORDER Establishing the Colorado Interagency Council on Homelessness,exclude,"Non-weather disaster, public health, administrative, or outside NOAA storm-event scope",,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01703internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2004-003,,EXECUTIVE ORDER Declaring a Disaster Emergency Due to the Imminent Threat of Wildfires,review,Signing date unconfirmed or outside 2000-present,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00304internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
CO-EO-D-2004-010,,EXECUTIVE ORDER Implementation of the Colorado Benefits Management System,exclude,No event-specific weather declaration confirmed from title,,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01004internet.pdf,https://spl.cde.state.co.us/artemis/goserials/go4013internet/,
