declaration_id,hazard_category_override,review_note,source_url
CO-EO-D-2005-008,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d00805internet.pdf
CO-EO-D-2005-010,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4013internet/go4013d01005internet.pdf
CO-EO-D-2010-012,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2010/go41132010012internet.pdf
CO-EO-D-2010-014,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2010/go41132010014internet.pdf
CO-EO-D-2008-016,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2008/go41132008016internet.pdf
CO-EO-D-2007-027,exclude,Official order explicitly sends assistance to another state/territory or receives evacuees of an out-of-state disaster; exclude from Colorado storm joins.,https://spl.cde.state.co.us/artemis/goserials/go4113internet/2007/go41132007027internet.pdf
CO-EO-D-2018-013,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132018013internet.pdf
CO-EO-D-2018-015,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132018015internet.pdf
CO-EO-D-2018-016,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132018016internet.pdf
CO-EO-D-2018-017,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132018017internet.pdf
CO-EO-D-2018-022,fire,Legal order supports fire classification; bare Fire/Fires is not automatically recognized by the supplied classifier. Citation is the order itself.,https://spl.cde.state.co.us/artemis/goserials/go4213internet/go42132018022internet.pdf
