declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
CT-NEDLAMONT-EO-26-3,CT,Ned Lamont,26-3,executive_order,administrative,Establishes the Governor's Blue-Ribbon Commission on K-12 Education Funding and Accountability,2026-04-16,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-26-3.pdf?rev=2c8d6d05e4284482bba681075f7c5883
CT-NEDLAMONT-EO-26-2,CT,Ned Lamont,26-2,executive_order,administrative,Establishes the Connecticut Career Pathways Commission,2026-04-02,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-26-2.pdf?rev=30138777119b483593a79ec1dfd32a9d
CT-NEDLAMONT-EO-26-1,CT,Ned Lamont,26-1,executive_order,extension,"Implements a procedure to improve the processes and response times Connecticut residents and businesses face when applying for and renewing state licenses, certifications, and permits, with the goal of making it easier and faster to interact and complete such transactions with state government.",2026-01-15,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-26-1.pdf?rev=9ade563a5fb145e48e37976ec4fa3bf9
CT-NEDLAMONT-EO-25-1,CT,Ned Lamont,25-1,executive_order,administrative,Honoring the life and service of President Jimmy Carter.,2025-01-06,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-25-1.pdf?rev=9ea002cddd774a7d85feab180933269b
CT-NEDLAMONT-EO-24-3,CT,Ned Lamont,24-3,executive_order,administrative,"Takes emergency actions in response to recent fire weather conditions, providing volunteer fire departments with additional time to apply for compensation for services rendered during the emergency.",2024-11-26,,True,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-24-3.pdf?rev=9ac96c3f25084646bba9a66884adeaf4
CT-NEDLAMONT-EO-24-2,CT,Ned Lamont,24-2,executive_order,administrative,Directs the establishment of the Connecticut Office of Equity and Opportunity – a new state office responsible for leading Connecticut’s efforts to ensure that state government is a leader in equity and inclusion with the goals of eliminating institutional and systemic barriers and creating opportunity and access for all those it serves and employs.,2024-07-12,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-24-2.pdf?rev=40d085c89aee4708bb51edaab25c0778
CT-NEDLAMONT-EO-24-1,CT,Ned Lamont,24-1,executive_order,administrative,"Takes emergency actions in response to severe weather conditions that significantly increased the water levels in the Yantic River, requiring emergency work at the Fitchville Pond Dam in Bozrah.",2024-01-10,,True,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-24-1.pdf?rev=e7d8c6d3a5604142a6ce310d55b10625
CT-NEDLAMONT-EO-23-1,CT,Ned Lamont,23-1,executive_order,administrative,Establishes the Connecticut Blue-Ribbon Panel on Child Care and tasks the group with creating a strategic plan to design the next generation of child care in Connecticut.,2023-03-17,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-23-1.pdf?rev=69581b8fec9d417faead9d6f8bf3f43b
CT-NEDLAMONT-EO-22-2,CT,Ned Lamont,22-2,executive_order,administrative,Establishes the Connecticut Semiquincentennial Commission to plan for the 250th anniversary of the founding of the United States.,2022-07-01,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-22-2.pdf?rev=2fa1f1c6aedc4699822c30b465d035e1
CT-NEDLAMONT-EO-22-1,CT,Ned Lamont,22-1,executive_order,termination,Repeals Governor Malloy's Executive Order No. 52 regarding state-funded travel to North Carolina.,2022-03-30,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-22-1.pdf?rev=accb6a4bff1a4baf87d21b2105b44abd
CT-NEDLAMONT-EO-14F,CT,Ned Lamont,14F,executive_order,administrative,"Takes several emergency actions in response to the COVID-19 outbreak and the governor's civil preparedness and public health declarations, including: Proof of vaccination booster or testing for nursing home visitors and primary and secondary essential support persons.",2022-01-19,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-14f.pdf?rev=0e60f93a6097480ba2a23ad03b192fc6
CT-NEDLAMONT-EO-14E,CT,Ned Lamont,14E,executive_order,administrative,"Takes several emergency actions in response to the COVID-19 outbreak and the governor's civil preparedness and public health declarations, including: Reemployment of retired teachers to help address teacher shortage.",2022-01-11,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-14e.pdf?rev=a037369fb2a7414386f201ac75096771
CT-NEDLAMONT-EO-14D,CT,Ned Lamont,14D,executive_order,extension,"Takes several emergency actions in response to the COVID-19 outbreak and the governor's civil preparedness and public health declarations, including: Flexibility to provide for adequate healthcare resources and facilities; Practice before licensure for certain healthcare profession applicants and graduates; Temporary permits for certain healthcare providers extended; Participation in resident physician assistant program prior to permit issuance; Temporary suspension of physician assistant supervision restrictions; Temporary suspension of in-person supervision requirement for advanced practice registered nurses; and No employer charge for sequestration expenses.",2022-01-07,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-14d.pdf?rev=8f8204ce324446778effa020bb43da0e
CT-NEDLAMONT-EO-14C,CT,Ned Lamont,14C,executive_order,administrative,"Takes several emergency actions in response to the COVID-19 outbreak and the governor's civil preparedness and public health declarations, including: COVID-19 vaccination booster requirement for employees of state hospitals.",2022-01-06,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-14c.pdf?rev=f5c99277c441401bbd677686525a0abd
CT-NEDLAMONT-EO-14B,CT,Ned Lamont,14B,executive_order,administrative,"Takes several emergency actions in response to the COVID-19 outbreak and the governor's civil preparedness and public health declarations, including: COVID-19 vaccination booster requirement for employees of long-term care facilities.",2022-01-06,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-14b.pdf?rev=9058488cd3264decbf1f0bf16a045c1d
CT-NEDLAMONT-EO-21-3,CT,Ned Lamont,21-3,executive_order,administrative,Directs Connecticut executive branch state agencies to take significant actions within their authority to reduce carbon emissions and prepare for the impacts of the climate crisis.,2021-12-16,,True,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-21-3.pdf?rev=8136d857d9174314baddfd0eafc3c98c
CT-NEDLAMONT-EO-14A,CT,Ned Lamont,14A,executive_order,amendment,"Takes several emergency actions in response to the COVID-19 outbreak and the governor's civil preparedness and public health declarations, including: Revised version of Executive Order No. 14.",2021-09-30,,False,governor_executive_order_archive,pdf,https://portal.ct.gov/governor/governors-actions/executive-orders,https://portal.ct.gov/governor/-/media/office-of-the-governor/executive-orders/lamont-executive-orders/executive-order-no-14a.pdf?rev=1140826f9e2a42a4b4c7bcdd2c218962
