source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
CT-NEDLAMONT-EO-14C,CT-NEDLAMONT-EO-13G,amends,Amendment of Executive Order No. 13G,official_description_or_text,medium
CT-NEDLAMONT-EO-14B,CT-NEDLAMONT-EO-13F,terminates,Repeal of Executive Order No. 13F,official_description_or_text,medium
CT-NEDLAMONT-EO-14A,CT-NEDLAMONT-EO-14,extends_duration,extended or modified by this Executive Order No. 14,official_description_or_text,medium
CT-NEDLAMONT-EO-14,CT-NEDLAMONT-EO-11D,extends_duration,"Extends the duration of agency or municipal orders that were issued pursuant to any unexpired COVID-19 order; and Repeals, renews, and revises Executive Order No. 11D",official_description_or_text,medium
CT-NEDLAMONT-EO-13G,CT-NEDLAMONT-EO-13D,terminates,Repeal of Executive Order No. 13D,official_description_or_text,medium
CT-NEDLAMONT-EO-13F,CT-NEDLAMONT-EO-13B,terminates,Repeal of Executive Order No. 13B,official_description_or_text,medium
CT-NEDLAMONT-EO-13,CT-NEDLAMONT-EO-7EEE,extends_duration,Extension and Modification of Executive Order No. 7EEE,official_description_or_text,medium
CT-NEDLAMONT-EO-13,CT-NEDLAMONT-EO-11D,extends_duration,Continued Modification of Executive Order No. 11D,official_description_or_text,medium
CT-NEDLAMONT-EO-21-2,CT-NEDLAMONT-EO-1,extends_duration,continued the mandatory disclosures required by Governor Rell’s Executive Order No. 1,official_description_or_text,medium
CT-NEDLAMONT-EO-12B,CT-NEDLAMONT-EO-7K,extends_duration,Extension of Executive Order No. 7K,official_description_or_text,medium
CT-NEDLAMONT-EO-12B,CT-NEDLAMONT-EO-7M,extends_duration,Extension of Executive Order No. 7M,official_description_or_text,medium
CT-NEDLAMONT-EO-12B,CT-NEDLAMONT-EO-7SS,extends_duration,"extended, retroactive to April 19, 2021, through June 30, 2021. 7. Limited Extension of Executive Order No. 7SS",official_description_or_text,medium
CT-NEDLAMONT-EO-12B,CT-NEDLAMONT-EO-7G,extends_duration,extending Executive Order No. 7G,official_description_or_text,medium
CT-NEDLAMONT-EO-11F,CT-NEDLAMONT-EO-11,extends_duration,Extended DMV Authority to Issue Duplicate Credentials Remotely. In addition to the orders extended by Executive Order No. 11,official_description_or_text,medium
CT-NEDLAMONT-EO-11E,CT-NEDLAMONT-EO-11,extends_duration,"Extension of Additional COVID-19 Orders to May 20, 2021. In addition to the orders extended by Executive Order No. 11",official_description_or_text,medium
CT-NEDLAMONT-EO-11E,CT-NEDLAMONT-EO-7EE,extends_duration,"extended through May 20, 2021: Executive Order No. 7EE",official_description_or_text,medium
CT-NEDLAMONT-EO-11D,CT-NEDLAMONT-EO-7J,supersedes,Supersedes Section 5 of Executive Order No. 7J,official_description_or_text,medium
CT-NEDLAMONT-EO-11D,CT-NEDLAMONT-EO-7Z,supersedes,Supersedes Section 1 of Executive Order No. 7Z,official_description_or_text,medium
CT-NEDLAMONT-EO-11D,CT-NEDLAMONT-EO-7GG,supersedes,Supersedes Section 1 of Executive Order No. 7GG,official_description_or_text,medium
CT-NEDLAMONT-EO-11C,CT-NEDLAMONT-EO-7I,supersedes,supersedes and replaces Executive Order No. 7I,official_description_or_text,medium
CT-NEDLAMONT-EO-11C,CT-NEDLAMONT-EO-7C,supersedes,supersedes Executive Order No. 7C,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-9K,amends,amended by various orders and most recently extended by Executive Order No. 9K,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-7R,supersedes,supersedes Executive Order No. 7R,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-9O,supersedes,supersedes Executive Order No. 9O,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-7W,supersedes,supersedes Executive Order No. 7W,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-9R,supersedes,supersedes Executive Order No. 9R,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-7PP,supersedes,supersedes and further clarifies Executive Order No. 7PP,official_description_or_text,medium
CT-NEDLAMONT-EO-11B,CT-NEDLAMONT-EO-10,supersedes,supersedes Executive Order No. 10,official_description_or_text,medium
CT-NEDLAMONT-EO-11A,CT-NEDLAMONT-EO-7NNN,supersedes,"supersedes Executive Order Nos. 7PP, Sections 1, 4, and 6, Executive Order No. 7NNN",official_description_or_text,medium
CT-NEDLAMONT-EO-11A,CT-NEDLAMONT-EO-7PP,supersedes,supersedes Executive Order No. 7PP,official_description_or_text,medium
CT-NEDLAMONT-EO-11A,CT-NEDLAMONT-EO-7NNN,amends,"amended from time to time, other than a person who qualifies for the medical exemption set forth in Executive Order No. 7NNN",official_description_or_text,medium
CT-NEDLAMONT-EO-11A,CT-NEDLAMONT-EO-9B,amends,"amended from time to time, shall be guilty of a violation and fined two- hundred and fifty dollars. This Section 2 (c) supersedes Executive Order No. 9B",official_description_or_text,medium
CT-NEDLAMONT-EO-11A,CT-NEDLAMONT-EO-9N,supersedes,supersedes Executive Order No. 9N,official_description_or_text,medium
CT-NEDLAMONT-EO-11,CT-NEDLAMONT-EO-10,amends,amended by Executive Order No. 10,official_description_or_text,medium
CT-NEDLAMONT-EO-11,CT-NEDLAMONT-EO-11A,extends_duration,extended by Section 1 of this order conflicts with a provision of Executive Order No. 11A,official_description_or_text,medium
CT-NEDLAMONT-EO-10E,CT-NEDLAMONT-EO-10,terminates,Repeal of Executive Order No. 10,official_description_or_text,medium
CT-NEDLAMONT-EO-10D,CT-NEDLAMONT-EO-10,amends,amended by Executive Order No. 10,official_description_or_text,medium
CT-NEDLAMONT-EO-10D,CT-NEDLAMONT-EO-9S,terminates,"Repeal of Mandatory Travel Advisory and Self-Quarantine Requirements. Effective Friday, March 19, 2021, Executive Order No. 9S",official_description_or_text,medium
CT-NEDLAMONT-EO-10C,CT-NEDLAMONT-EO-7F,extends_duration,"extended and shall remain in effect until April 20, 2021, unless earlier modified or terminated by me or superseded by law. Nothing herein shall be construed to repeal Executive Order No. 7F",official_description_or_text,medium
CT-NEDLAMONT-EO-10A,CT-NEDLAMONT-EO-7X,terminates,terminated by the issuing authority or a subsequent executive order. 3. Extension of Eviction Moratorium. The provisions of Executive Order No. 7X,official_description_or_text,medium
CT-NEDLAMONT-EO-10A,CT-NEDLAMONT-EO-7G,extends_duration,"Extension until March 1, 2021 of Certain Provisions Related to Court Operations and Associated Requirements. Notwithstanding Section 1 of this order, the provisions of Executive Order No. 7G",official_description_or_text,medium
CT-NEDLAMONT-EO-10A,CT-NEDLAMONT-EO-9L,extends_duration,extended by Executive Order No. 9L,official_description_or_text,medium
CT-NEDLAMONT-EO-10,CT-NEDLAMONT-EO-9K,amends,amended by Executive Order No. 9K,official_description_or_text,medium
CT-NEDLAMONT-EO-9T,CT-NEDLAMONT-EO-7X,extends_duration,Extension of Eviction Moratorium. The provisions of Executive Order No. 7X,official_description_or_text,medium
CT-NEDLAMONT-EO-9S,CT-NEDLAMONT-EO-9I,amends,amended most recently by Executive Order No. 9I,official_description_or_text,medium
CT-NEDLAMONT-EO-9S,CT-NEDLAMONT-EO-7III,terminates,repealed and replaced in its entirety by the following: Section 2 of Executive Order No. 7III,official_description_or_text,medium
