declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,352693,58820,2011-08-27 23:48:00,2011-08-28 01:18:00,C,county/county-equivalent,1,FAIRFIELD,Flood,,,0,0,0.00K,0.00K,Department of Highways,"Irene made landfall locally as a tropical storm around 900 am EDT on August 28, 2011 over New York City.  Irene then moved across Southeast New York and Western Connecticut before dissipating over Northern New England near the Canadian Border later that evening. Copious amounts of tropical moisture within the storm produced extended periods of heavy rainfall, which resulted in widespread moderate to major flooding across the area.",Interstate 95 was closed at Exit 30 in Bridgeport due to flooding.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,352725,58820,2011-08-28 08:40:00,2011-08-28 10:10:00,C,county/county-equivalent,1,FAIRFIELD,Flood,,,0,0,0.00K,0.00K,Trained Spotter,"Irene made landfall locally as a tropical storm around 900 am EDT on August 28, 2011 over New York City.  Irene then moved across Southeast New York and Western Connecticut before dissipating over Northern New England near the Canadian Border later that evening. Copious amounts of tropical moisture within the storm produced extended periods of heavy rainfall, which resulted in widespread moderate to major flooding across the area.",Multiple sections of White St. were closed with several feet of water on it in Danbury.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,345201,57534,2011-08-28 07:43:00,2011-08-28 09:00:00,C,county/county-equivalent,3,HARTFORD,Flood,,,0,0,0.00K,0.00K,Amateur Radio,"Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $60M in property damages and inland flooding resulted in 1 fatality and $8M in property damages. ||Bunnell Brook in Burlington had its third worst flood on record.  The Farmington River reached its highest levels since Tropical Storms Connie and Diane in 1955.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).",Six to eight inches of heavy rain from Tropical Storm Irene resulted in the closure of Copper Hill Road in Granby due to flooding.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,345209,57534,2011-08-28 08:03:00,2011-08-28 14:30:00,C,county/county-equivalent,3,HARTFORD,Flood,,,1,0,8.00M,0.00K,Amateur Radio,"Hurricane Irene formed east of the Caribbean island of Dominica, part of the Lesser Antilles region, on the afternoon of August 20. Irene moved through the Caribbean and up the east coast of the United States making landfall twice. She first made landfall as a Category 1 Hurricane near Cape Lookout, North Carolina around 7:30am on August 27, then moved offshore again during the evening. She then made a 2nd landfall, again as a Category 1 Hurricane at 540am on August 28 near Little Egg Inlet in New Jersey. She moved over New York City and then into southeastern New York State and Connecticut as a Tropical Storm a few hours later. By the end of the evening of the 28th, Irene was crossing the U.S./Canada border having produced significant amounts of rain, storm surge, inland and coastal flooding, and wind damage across southern New England and much of the east coast of the United States. ||In Southern New England, the minimum surface pressure recorded was 976.9mb taken at Barnes Municipal Airport in Westfield, Massachusetts. The storm surge experienced along the coast was generally in the two to four foot range with a high of 4.78 feet at Fox Point in Providence, Rhode Island. The highest sustained windspeed was 54 knots (62 mph) at the Physical Oceanographic Real Time System station at Conimicut Light in Narragansett Bay, RI. The highest sustained wind speed on land was 38 knots (44 mph) recorded on the Automated Surface Observing Systems at both Barnstable Municipal Airport in Hyannis, MA (KHYA) and Logan International Airport in Boston, MA (KBOS). Rainfall amounts ranged from nearly zero (0.03 at Nantucket Memorial Airport - ACK) to nearly 10 inches (9.92 in Conway, MA). ||Despite the relatively low wind speeds, sustained winds over a 6 to 12 hour long duration resulted in widespread tree damage and resulted in power outages to roughly half a million customers throughout the state. Some of these customers did not get their power back until the Friday following the storm (some five days later). Durring the passage of Tropical Storm Irene, the winds resulted in $60M in property damages and inland flooding resulted in 1 fatality and $8M in property damages. ||Bunnell Brook in Burlington had its third worst flood on record.  The Farmington River reached its highest levels since Tropical Storms Connie and Diane in 1955.||The collective effects of Tropical Storm Irene on August 28, resulted in 1 fatality, 0 injuries, and $127.3M in property damage in the following counties: Barnstable, Bristol, Essex, Franklin, Hampden, Hampshire, Middlesex, Nantucket, Norfolk, Plymouth, Suffolk, and Worcester (all in MA), Hartford, Tolland, and Windham (all in CT), Cheshire and Hillsborough (all in NH), and Bristol, Providence, Kent, Washington, and Newport (all in RI).","Four to ten inches of heavy rain from Tropical Storm Irene resulted in the Pequabuck River overflowing its banks.  This led to flooding on roads and homes along the river throughout Bristol.  Flooded roads ran approximately three and a half feet deep.  A 46 year old man went canoeing in floodwaters.  He drowned when his canoe capsized and he was unable to make it to shore.  At least 50 people were evacuated from areas around the river, and took shelter at Chippens Hill Middle School.  The river flooding undermined at least 7 feet of Route 72 eastbound, washing out this portion of the road.  Numerous houses and businesses were affected by the flooding.  Forty high water rescues took place in Bristol."
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,342471,56736,2011-08-28 08:00:00,2011-08-29 08:00:00,C,county/county-equivalent,5,LITCHFIELD,Flood,,,0,0,0.00K,0.00K,Amateur Radio,"Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across Litchfield County was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 5 to 10 inches. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Litchfield County. Numerous road closures were reported due to flooding and downed trees and power lines, along with some evacuations. In addition, moderate flooding was reported on the Housatonic River at Falls Village and at Gaylordsville. The Gaylordsville gage was damaged by flood waters.||Strong winds also occurred across Litchfield County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Litchfield County, 25000.||On September 2nd, 2011 a Major Disaster Declaration was declared, FEMA-4023-DR. This declaration made Individual Assistance and Public Assistance available to all 8 counties in the state of Connecticut. In addition, the declaration made Hazard Mitigation Grant Program assistance available. ||Individual Assistance: assistance to individuals and households. Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.",Numerous roads were reported closed due to flooding in Harwinton including but not limited to Plymouth Road.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,342481,56736,2011-08-28 08:00:00,2011-08-29 08:00:00,C,county/county-equivalent,5,LITCHFIELD,Flood,,,0,0,0.00K,0.00K,Amateur Radio,"Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across Litchfield County was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 5 to 10 inches. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Litchfield County. Numerous road closures were reported due to flooding and downed trees and power lines, along with some evacuations. In addition, moderate flooding was reported on the Housatonic River at Falls Village and at Gaylordsville. The Gaylordsville gage was damaged by flood waters.||Strong winds also occurred across Litchfield County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Litchfield County, 25000.||On September 2nd, 2011 a Major Disaster Declaration was declared, FEMA-4023-DR. This declaration made Individual Assistance and Public Assistance available to all 8 counties in the state of Connecticut. In addition, the declaration made Hazard Mitigation Grant Program assistance available. ||Individual Assistance: assistance to individuals and households. Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.","Flooding was reported on Route 6, Main Street, in Terryville."
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,342503,56736,2011-08-28 08:00:00,2011-08-29 08:00:00,C,county/county-equivalent,5,LITCHFIELD,Flood,,,0,0,0.00K,0.00K,Amateur Radio,"Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across Litchfield County was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 5 to 10 inches. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Litchfield County. Numerous road closures were reported due to flooding and downed trees and power lines, along with some evacuations. In addition, moderate flooding was reported on the Housatonic River at Falls Village and at Gaylordsville. The Gaylordsville gage was damaged by flood waters.||Strong winds also occurred across Litchfield County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Litchfield County, 25000.||On September 2nd, 2011 a Major Disaster Declaration was declared, FEMA-4023-DR. This declaration made Individual Assistance and Public Assistance available to all 8 counties in the state of Connecticut. In addition, the declaration made Hazard Mitigation Grant Program assistance available. ||Individual Assistance: assistance to individuals and households. Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.",Flooding was reported on Little Bear Road in New Milford.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,342516,56736,2011-08-28 08:00:00,2011-08-29 08:00:00,C,county/county-equivalent,5,LITCHFIELD,Flood,,,0,0,0.00K,0.00K,Amateur Radio,"Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across Litchfield County was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 5 to 10 inches. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Litchfield County. Numerous road closures were reported due to flooding and downed trees and power lines, along with some evacuations. In addition, moderate flooding was reported on the Housatonic River at Falls Village and at Gaylordsville. The Gaylordsville gage was damaged by flood waters.||Strong winds also occurred across Litchfield County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Litchfield County, 25000.||On September 2nd, 2011 a Major Disaster Declaration was declared, FEMA-4023-DR. This declaration made Individual Assistance and Public Assistance available to all 8 counties in the state of Connecticut. In addition, the declaration made Hazard Mitigation Grant Program assistance available. ||Individual Assistance: assistance to individuals and households. Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.",Two feet of water was reported on Route 72 at the intersection of Sandra Avenue in Terryville.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,342633,56736,2011-08-28 08:30:00,2011-08-29 08:30:00,C,county/county-equivalent,5,LITCHFIELD,Flood,,,0,0,0.00K,0.00K,Trained Spotter,"Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across Litchfield County was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 5 to 10 inches. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Litchfield County. Numerous road closures were reported due to flooding and downed trees and power lines, along with some evacuations. In addition, moderate flooding was reported on the Housatonic River at Falls Village and at Gaylordsville. The Gaylordsville gage was damaged by flood waters.||Strong winds also occurred across Litchfield County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Litchfield County, 25000.||On September 2nd, 2011 a Major Disaster Declaration was declared, FEMA-4023-DR. This declaration made Individual Assistance and Public Assistance available to all 8 counties in the state of Connecticut. In addition, the declaration made Hazard Mitigation Grant Program assistance available. ||Individual Assistance: assistance to individuals and households. Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.",Route 202 was reported closed due to flooding in New Milford.
CT-PROC-2011-08-25,,Dannel Malloy,Hurricane Irene,2011-08-25,https://portal.ct.gov/demhs/-/media/demhs/_docs/program-and-unit-forms---advisories/legal/governors-declarations/govdec88-001--hurricaneirene.pdf?rev=bfdaf788a9d24640842ca0329ac9d508&hash=A6D9F33CDB5FE65F9BED7FB4E8AD99BD,344803,56736,2011-08-28 08:40:00,2011-08-29 08:30:00,C,county/county-equivalent,5,LITCHFIELD,Flood,,,0,0,0.00K,0.00K,River/Stream Gage,"Tropical Storm Irene tracked north northeast across eastern New York and western New England during Sunday, August 28th, producing widespread flooding, and damaging winds across the region. ||Irene tracked from a position over New York City around 8 AM EST Sunday, to approximately 10 miles west of Danbury, CT at 10 AM EST, to approximately 15 miles south of Pittsfield, MA at 1 PM EST Sunday, to approximately 65 miles south of Rutland, VT at 4 PM EST. ||The greatest impact from Irene across Litchfield County was due to heavy to extreme rainfall, which resulted in widespread flash flooding. Rainfall amounts generally averaged 5 to 10 inches. Much of the rain which fell occurred within a 12 hour period, beginning early Sunday morning, and ending Sunday evening. ||This heavy to extreme rainfall resulted in widespread flash flooding and river flooding across Litchfield County. Numerous road closures were reported due to flooding and downed trees and power lines, along with some evacuations. In addition, moderate flooding was reported on the Housatonic River at Falls Village and at Gaylordsville. The Gaylordsville gage was damaged by flood waters.||Strong winds also occurred across Litchfield County, with frequent wind gusts of 35 to 55 mph, along with locally stronger wind gusts exceeding 60 mph. The strongest winds occurred from the north to northeast during the morning hours, then from the west to northwest during Sunday evening. The combination of strong winds, and extremely saturated soil led to numerous downed trees and power lines across the region. This also resulted in widespread long duration power outages. ||In particular, the approximate number of customers affected by power outages included: Litchfield County, 25000.||On September 2nd, 2011 a Major Disaster Declaration was declared, FEMA-4023-DR. This declaration made Individual Assistance and Public Assistance available to all 8 counties in the state of Connecticut. In addition, the declaration made Hazard Mitigation Grant Program assistance available. ||Individual Assistance: assistance to individuals and households. Public Assistance: assistance to state and local governments and certain private nonprofit organizations for emergency work and repair or replacement if disaster-damaged facilities.","Moderate flooding occurred on the Housatonic River in Litchfield County. Flooding was reported but not limited to along Route 7 in Gaylordsville.||The Falls Village river gage located near Water Street in Falls Village exceeded its 7 foot flood stage at 12:23 pm EST August 28th, its 10 foot moderate flood stage at 6:08 pm, crested at 11.74 feet at 2 am August 29th, and fell below flood stage at 5:15 pm September 1st. ||The Gaylordsville river gage located near Route 7, Kent Road, less than a mile north of the Village of Gaylordsville exceeded its flood stage at 6:08 pm EST August 28th and fell below flood stage at 7:50 pm August 29th. The crest time and level are unknown since the stilling well gage failed. A pressure transducer gage was installed while the water was still rising."
