declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
FL-EO-2026-33,Ron DeSantis,2026-33,"#2026-33 re: Emergency Management – Impacts of Winter Weather, Droughts, and Wildfire Risks",2026-02-09,https://www.flgov.com/eog/news/executive-orders
FL-EO-2025-213,Ron DeSantis,2025-213,#2025-213 Executive Order re: Emergency Management – Lake County Flooding,2025-10-29,https://www.flgov.com/eog/news/executive-orders
FL-EO-2025-101,Ron DeSantis,2025-101,#2025-101 Executive Order re: Emergency Management – Northwest Florida May Tornadoes,2025-05-11,https://www.flgov.com/eog/news/executive-orders
FL-EO-2025-13,Ron DeSantis,2025-13,#2025-13 Executive Order re: Emergency Management – Gulf Winter Weather System,2025-01-20,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-214,Ron DeSantis,2024-214,#2024-214 re: Emergency Management – Tropical Storm Milton,2024-10-05,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-212,Ron DeSantis,2024-212,#2024-212 re: Emergency Management/Elections – Hurricane Helene,2024-10-03,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-208,Ron DeSantis,2024-208,#2024-208 re: Emergency Management – Potential Tropical Cyclone Nine,2024-09-23,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-156,Ron DeSantis,2024-156,#2024-156 re: Emergency Management – Invest 97L,2024-08-01,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-115,Ron DeSantis,2024-115,#2024-115 re: Emergency Management – Invest 90L – South Florida Flash Flooding,2024-06-12,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-94,Ron DeSantis,2024-94,#2024-94 re: Emergency Management – May North Florida Tornadoes,2024-05-10,https://www.flgov.com/eog/news/executive-orders
FL-EO-2024-03,Ron DeSantis,2024-03,#2024-03 re: Emergency Management – North Florida Tornadoes,2024-01-09,https://www.flgov.com/eog/news/executive-orders
FL-EO-2023-171,Ron DeSantis,2023-171,#2023-171 Emergency Management – Invest 93L,2023-08-26,https://www.flgov.com/eog/news/executive-orders
FL-EO-2023-65,Ron DeSantis,2023-65,#2023-65 – Emergency Management – Broward County Flooding,2023-04-13,https://www.flgov.com/eog/news/executive-orders
FL-EO-2022-253,Ron DeSantis,2022-253,#2022-253 Emergency Management re: Subtropical Storm Nicole,2022-11-07,https://www.flgov.com/eog/news/executive-orders
FL-EO-2022-218,Ron DeSantis,2022-218,#2022-218 declares a State of Emergency in 24 Counties re: Tropical Depression Nine.,2022-09-23,https://www.flgov.com/eog/news/executive-orders
FL-EO-2022-56,Ron DeSantis,2022-56,#2022-56 Emergency Management – Severe Weather in Northeast and Central Florida,2022-03-12,https://www.flgov.com/eog/news/executive-orders
FL-EO-2022-54,Ron DeSantis,2022-54,#2022-54 Emergency Management/Bay County Wildfires,2022-03-02,https://www.flgov.com/eog/news/executive-orders
FL-EO-2022-27,Ron DeSantis,2022-27,"#2022-27 Executive Order re: Emergency Management – Freezing Temperatures, Harm to Agriculture",2022-02-03,https://www.flgov.com/eog/news/executive-orders
FL-EO-2022-17,Ron DeSantis,2022-17,#2022-17 Executive Order- Emergency Management -Tornadoes in Charlotte and Lee Counties,2022-01-24,https://www.flgov.com/eog/news/executive-orders
FL-EO-2021-190,Ron DeSantis,2021-190,#2021-190 – Emergency Management – Tropical Depression Fred,2021-08-13,https://www.flgov.com/eog/news/executive-orders
FL-EO-2021-150,Ron DeSantis,2021-150,#2021-150 Emergency Management – Tropical Storm Elsa,2021-07-03,https://www.flgov.com/eog/news/executive-orders
FL-EO-2020-277,Ron DeSantis,2020-277,#2020-277 Executive Order re: Emergency Management – Tropical Storm Eta,2020-11-07,https://www.flgov.com/eog/news/executive-orders
FL-EO-2020-224,Ron DeSantis,2020-224,#2020-224 Executive Order re: Emergency Management – Hurricane Sally,2020-09-14,https://www.flgov.com/eog/news/executive-orders
FL-EO-2020-208,Ron DeSantis,2020-208,#2020-208 Executive Order re: Emergency Management – Tropical Depression Thirteen,2020-08-21,https://www.flgov.com/eog/news/executive-orders
FL-EO-2020-181,Ron DeSantis,2020-181,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders
