declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899139,149153,2020-07-29 16:36:00,2020-07-29 16:36:00,C,county/county-equivalent,15,CHARLOTTE,Thunderstorm Wind,51.0,MG,0,0,0.00K,0.00K,ASOS,Thunderstorms along the sea breeze boundary produced a severe wind gust in Punta Gorda and funnel cloud near Lehigh Acres.,ASOS at KPGD Punta Gorda Airport reported a wind gust of 51 knots.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899397,149211,2020-07-28 16:19:00,2020-07-28 17:19:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Public,The afternoon sea breeze collision focused near the St. Johns River basin under prevailing SW steering flow over a moist and unstable airmass. A few strong to severe storms developed with excessive rainfall of 5-7 inches across parts of Mandarin and Fruit Cove.,A public rain gauge in Mandarin measured 4.48 inches of rain one hour.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899547,149211,2020-07-28 17:00:00,2020-07-28 17:40:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Trained Spotter,The afternoon sea breeze collision focused near the St. Johns River basin under prevailing SW steering flow over a moist and unstable airmass. A few strong to severe storms developed with excessive rainfall of 5-7 inches across parts of Mandarin and Fruit Cove.,A public rain gauge west of Atlantic Beach measured 2.5 inches of rain in the past hour.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899548,149211,2020-07-28 17:00:00,2020-07-28 18:24:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Mesonet,The afternoon sea breeze collision focused near the St. Johns River basin under prevailing SW steering flow over a moist and unstable airmass. A few strong to severe storms developed with excessive rainfall of 5-7 inches across parts of Mandarin and Fruit Cove.,"A mesonet station 1 ENE of Mandarin measured 7.33 inches of rainfall, most with the past hour."
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899549,149211,2020-07-28 18:00:00,2020-07-28 19:10:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Public,The afternoon sea breeze collision focused near the St. Johns River basin under prevailing SW steering flow over a moist and unstable airmass. A few strong to severe storms developed with excessive rainfall of 5-7 inches across parts of Mandarin and Fruit Cove.,Multiple rainfall reports from across east Mandarin and Fruit Cove measured 6 to 7.5 inches mainly along and west of State Road 13.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899396,149211,2020-07-28 18:11:00,2020-07-28 19:11:00,C,county/county-equivalent,31,DUVAL,Flash Flood,,,0,0,0.00K,0.00K,Broadcast Media,The afternoon sea breeze collision focused near the St. Johns River basin under prevailing SW steering flow over a moist and unstable airmass. A few strong to severe storms developed with excessive rainfall of 5-7 inches across parts of Mandarin and Fruit Cove.,Flooding rainfall caused flooding of at least 2 homes with water inside along Sedgemore Drive. Multiple flooded streets were reported across Mandarin and Fruit Cove with some of the highest inundation in the Rams Gate Subdivision. Rainfall observations indicated 5-7.5 inches of rainfall across this area within about 1.5 hrs.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,904902,150065,2020-08-03 23:00:00,2020-08-04 20:00:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Public,"Several low level boundaries were across the local forecast area including a wake trough axis post-Isaias across south Georgia and an outflow boundary stalled near the I-95 corridor of NE FL. With daytime heating, high moisture content (PWAT 2 inches) and steeper mid level lapse rates (MU 7.4 degC), scattered strong to severe storms developed along and near the boundaries. Hazards included downbursts and hail.",Daily rainfall total of 4.79 inches was measured at a rain gauge. Most occurred with evening thunderstorms.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,904903,150065,2020-08-03 23:00:00,2020-08-04 21:00:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Public,"Several low level boundaries were across the local forecast area including a wake trough axis post-Isaias across south Georgia and an outflow boundary stalled near the I-95 corridor of NE FL. With daytime heating, high moisture content (PWAT 2 inches) and steeper mid level lapse rates (MU 7.4 degC), scattered strong to severe storms developed along and near the boundaries. Hazards included downbursts and hail.",A public rain gauge measured a total of 3.87 inches. Most rain occurred during evening thunderstorms.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,904904,150065,2020-08-03 23:00:00,2020-08-04 21:00:00,C,county/county-equivalent,31,DUVAL,Heavy Rain,,,0,0,0.00K,0.00K,Public,"Several low level boundaries were across the local forecast area including a wake trough axis post-Isaias across south Georgia and an outflow boundary stalled near the I-95 corridor of NE FL. With daytime heating, high moisture content (PWAT 2 inches) and steeper mid level lapse rates (MU 7.4 degC), scattered strong to severe storms developed along and near the boundaries. Hazards included downbursts and hail.",A public rain gauge measured a daily total of 4.12 inches of rain. Most occurred in the evening with thunderstorms.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,904906,150065,2020-08-03 23:00:00,2020-08-04 19:00:00,C,county/county-equivalent,107,PUTNAM,Heavy Rain,,,0,0,0.00K,0.00K,Public,"Several low level boundaries were across the local forecast area including a wake trough axis post-Isaias across south Georgia and an outflow boundary stalled near the I-95 corridor of NE FL. With daytime heating, high moisture content (PWAT 2 inches) and steeper mid level lapse rates (MU 7.4 degC), scattered strong to severe storms developed along and near the boundaries. Hazards included downbursts and hail.",A public rain gauge measured a daily rain total of 2.65 inches. Most occurred with afternoon and evening thunderstorms.
FL-EO-2020-181,2020-181,Ron DeSantis,#2020-181 Executive Order re: Emergency Management – Hurricane Isaias,2020-07-31,https://www.flgov.com/eog/news/executive-orders,899545,149211,2020-07-28 16:20:00,2020-07-28 17:20:00,C,county/county-equivalent,109,ST. JOHNS,Heavy Rain,,,0,0,0.00K,0.00K,Public,The afternoon sea breeze collision focused near the St. Johns River basin under prevailing SW steering flow over a moist and unstable airmass. A few strong to severe storms developed with excessive rainfall of 5-7 inches across parts of Mandarin and Fruit Cove.,The public reported 2.48 inches of rainfall in Fruit Cove over the past hour.
