declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
FL-EO-2026-186,FL,Ron DeSantis,2026-186,emergency_declaration,extension,#2026-186 extends Executive Order 24-156– Emergency Management – Hurricane Debby,2026-08-21,,true,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-186.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-185,FL,Ron DeSantis,2026-185,emergency_declaration,extension,#2026-185 extends Executive Order 24-208 – Emergency Management – Hurricane Helene,2026-08-21,,true,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-185.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-184,FL,Ron DeSantis,2026-184,emergency_declaration,extension,#2026-184 extends Executive Order 25-101 – Emergency Management – Northwest Florida May Tornadoes,2026-08-21,,true,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-184.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-183,FL,Ron DeSantis,2026-183,emergency_declaration,amendment,"#2026-183 amends Executive Order 25-30, as extended by Executive Order 26-15 re: Amanda Franco and Brandy Hodil A.K.A. Brandy Lee Franco",2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-183.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-182,FL,Ron DeSantis,2026-182,executive_order,administrative,#2026-182 assigns the 16th circuit to the 17th circuit re: Delvern Major,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-182.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-181,FL,Ron DeSantis,2026-181,executive_order,administrative,#2026-181 assigns the 12th circuit to the 20th circuit re: Johnathan Andrew Decker,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-181.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-180,FL,Ron DeSantis,2026-180,executive_order,administrative,#2026-180 assigns the 8th circuit to the 4th circuit re: Joseph Guy Schulte,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-180.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-179,FL,Ron DeSantis,2026-179,executive_order,administrative,#2026-179 assigns the 18th circuit to the 9th circuit re: Conner Ellis,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-179.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-178,FL,Ron DeSantis,2026-178,executive_order,administrative,#2026-178 assigns the 15th circuit to the 17th circuit re: Lennie Dufrene,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-178.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-177,FL,Ron DeSantis,2026-177,emergency_declaration,extension,#2026-177 extends Executive Order 25-189 re: John Joseph Boyle,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-177.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-176,FL,Ron DeSantis,2026-176,emergency_declaration,extension,#2026-176 extends Executive Order 25-187 re: Jareca Talena Sumter,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-176.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-175,FL,Ron DeSantis,2026-175,emergency_declaration,extension,#2026-175 extends Executive Order 24-132 re: Danielle Takeila Edmonson,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-175.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-174,FL,Ron DeSantis,2026-174,executive_order,administrative,#2026-174 assigns the 17th circuit to the 11th circuit re: Michael Joseph Simpson Jr.,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-174.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-173,FL,Ron DeSantis,2026-173,executive_order,administrative,#2026-173 assigns the 17th circuit to the 11th circuit re; Orvil Dean Ratliff Jr.,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-173.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-172,FL,Ron DeSantis,2026-172,executive_order,administrative,#2026-172 assigns the 12th circuit to the 20th circuit re: Adam Jeffrey Vaughn,2026-08-21,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-172.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-171,FL,Ron DeSantis,2026-171,emergency_declaration,extension,#2026-171 extends Executive Order 24-94 – Emergency Management – May North Florida Tornadoes,2026-08-18,,true,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-171.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-170,FL,Ron DeSantis,2026-170,executive_order,administrative,"#2026-170 suspends Michael Allen Caruso, Palm Beach County Clerk of the Circuit Court and Comptroller",2026-08-18,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-170.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-169,FL,Ron DeSantis,2026-169,emergency_declaration,extension,#2026-169 extends Executive Order 25-163 re: Trevis Tremaine Carroll Jr.,2026-08-13,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-169.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-168,FL,Ron DeSantis,2026-168,executive_order,administrative,#2026-168 assigns the 3rd circuit to the 2nd circuit re: Kayla Neal,2026-08-13,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-168.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-167,FL,Ron DeSantis,2026-167,executive_order,administrative,#2026-167 assigns the 11th circuit to the 17th circuit re: Ryan Lockart,2026-08-13,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-167.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-166,FL,Ron DeSantis,2026-166,executive_order,administrative,#2026-166 assigns the 20th circuit to the 17th circuit re: Brandon Richard Leitz,2026-08-13,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-166.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-165,FL,Ron DeSantis,2026-165,executive_order,administrative,#2026-165 assigns the 17th circuit to the 15th circuit re: Yehiel Kyle Israel,2026-08-13,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-165.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-164,FL,Ron DeSantis,2026-164,executive_order,administrative,#2026-164 assigns the 15th circuit to the 17th circuit re: Charles Morley,2026-08-13,,false,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-164.pdf,https://www.flgov.com/eog/news/executive-orders
FL-EO-2026-163,FL,Ron DeSantis,2026-163,emergency_declaration,extension,"#2026-163 extends Executive Order 26-33 – Emergency Management – Impacts of Winter Weather, Droughts, Wildfire Risks, and New World Screwworm",2026-08-06,,true,florida_governor_2020_present,pdf,https://www.flgov.com/eog/sites/default/files/executive-orders/2026/EO%2026-163.pdf,https://www.flgov.com/eog/news/executive-orders
