declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
GA-EO-06-12-26-01,Brian P. Kemp,06.12.26.01,Declaring a State of Emergency for Wildfire Recovery,2026-06-12,https://gov.georgia.gov/executive-action/executive-orders/2026
GA-EO-04-22-26-01,Brian P. Kemp,04.22.26.01,Declaring a State of Emergency for Georgia Wildfires,2026-04-22,https://gov.georgia.gov/executive-action/executive-orders/2026
GA-EO-01-30-26-01,Brian P. Kemp,01.30.26.01,"Declaring a State of Emergency for Winter Weather - January 30, 2026",2026-01-30,https://gov.georgia.gov/executive-action/executive-orders/2026
GA-EO-01-22-26-01,Brian P. Kemp,01.22.26.01,Declaring a State of Emergency for Winter Weather,2026-01-22,https://gov.georgia.gov/executive-action/executive-orders/2026
GA-EO-03-15-25-01,Brian P. Kemp,03.15.25.01,Declaring a State of Emergency for Tornadoes and Severe Storms,2025-03-15,https://gov.georgia.gov/executive-action/executive-orders/2025
GA-EO-01-20-25-01,Brian P. Kemp,01.20.25.01,Declaring a State of Emergency for Winter Weather,2025-01-20,https://gov.georgia.gov/executive-action/executive-orders/2025
GA-EO-01-09-25-01,Brian P. Kemp,01.09.25.01,Declaring a State of Emergency for Winter Weather,2025-01-09,https://gov.georgia.gov/executive-action/executive-orders/2025
GA-EO-11-08-24-01,Brian P. Kemp,11.08.24.01,Declaring a State of Emergency for Severe Flooding,2024-11-08,https://gov.georgia.gov/executive-action/executive-orders/2024
GA-EO-10-08-24-02,Brian P. Kemp,10.08.24.02,Declaring a State of Emergency for Hurricane Milton,2024-10-08,https://gov.georgia.gov/executive-action/executive-orders/2024
GA-EO-09-24-24-01,Brian P. Kemp,09.24.24.01,Declaring a State of Emergency for Tropical Storm Helene,2024-09-24,https://gov.georgia.gov/executive-action/executive-orders/2024
GA-EO-08-03-24-01,Brian P. Kemp,08.03.24.01,Declaring a State of Emergency for Tropical Depression 4,2024-08-03,https://gov.georgia.gov/executive-action/executive-orders/2024
GA-EO-08-29-23-01,Brian P. Kemp,08.29.23.01,Declaring a State of Emergency for Hurricane Idalia,2023-08-29,https://gov.georgia.gov/executive-action/executive-orders/2023
GA-EO-03-26-23-01,Brian P. Kemp,03.26.23.01,Declaring a State of Emergency for Tornadoes and Severe Storms,2023-03-26,https://gov.georgia.gov/executive-action/executive-orders/2023
GA-EO-12-21-22-01,Brian P. Kemp,12.21.22.01,Declaring a State of Emergency due to the potential for severe winter weather,2022-12-21,https://gov.georgia.gov/executive-action/executive-orders/2022
GA-EO-09-27-22-01,Brian P. Kemp,09.27.22.01,Declaring a State of Emergency for Hurricane Ian,2022-09-27,https://gov.georgia.gov/executive-action/executive-orders/2022
GA-EO-09-04-22-01,Brian P. Kemp,09.04.22.01,Declaring a State of Emergency for Severe Flooding,2022-09-04,https://gov.georgia.gov/executive-action/executive-orders/2022
GA-EO-04-06-22-01,Brian P. Kemp,04.06.22.01,Declaring a State of Emergency due to tornado and severe storm damage,2022-04-06,https://gov.georgia.gov/executive-action/executive-orders/2022
GA-EO-01-14-22-01,Brian P. Kemp,01.14.22.01,Declaring a State of Emergency in preparation of anticipated severe winter weather,2022-01-14,https://gov.georgia.gov/executive-action/executive-orders/2022
GA-EO-07-06-21-01,Brian P. Kemp,07.06.21.01,Declaring a State of Emergency in preparation for the impact of Tropical Storm Elsa,2021-07-06,https://gov.georgia.gov/executive-action/executive-orders/2021-executive-orders
GA-EO-03-26-21-01,Brian P. Kemp,03.26.21.01,Declaring a State of Emergency due to Tornado and Severe Storm Damage,2021-03-26,https://gov.georgia.gov/executive-action/executive-orders/2021-executive-orders
GA-EO-04-13-20-01,Brian P. Kemp,04.13.20.01,"Declaring a State of Emergency due to extensive storm damage on April 12-13, 2020",2020-04-13,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders
GA-EO-03-05-20-01,Brian P. Kemp,03.05.20.01,Declaring a State of Emergency in 120 counties due to extensive flooding,2020-03-05,https://gov.georgia.gov/executive-action/executive-orders/2020-executive-orders
GA-EO-12-13-19-01,Brian P. Kemp,12.13.19.01,Declaring a State of Emergency in Fulton County due to flooding/electrical issues at Grady Memorial Hospital,2019-12-13,https://gov.georgia.gov/executive-action/executive-orders/2019-executive-orders
GA-EO-08-29-19-01,Brian P. Kemp,08.29.19.01,Declaring a State of Emergency in 12 counties in preparation for the effects of Hurricane Dorian,2019-08-29,https://gov.georgia.gov/executive-action/executive-orders/2019-executive-orders
GA-EO-10-09-18-01,Nathan Deal,10.09.18.01,Declaring a State of Emergency in preparation for the potential effects of Hurricane Michael,2018-10-09,https://nathandeal.georgia.gov/executive-orders/2018
GA-EO-09-12-18-01,Nathan Deal,09.12.18.01,Declaring a State of Emergency in preparation for the potential effects of Hurricane Florence,2018-09-12,https://nathandeal.georgia.gov/executive-orders/2018
GA-EO-01-16-18-02,Nathan Deal,01.16.18.02,Declaring a State of Emergency in preparation for a winter weather event,2018-01-16,https://nathandeal.georgia.gov/executive-orders/2018
GA-EO-09-10-17-01,Nathan Deal,09.10.17.01,Declaring a State of Emergency throughout Georgia due to the potential impact of Hurricane Irma,2017-09-10,https://nathandeal.georgia.gov/executive-orders/2017
GA-EO-09-06-17-02,Nathan Deal,09.06.17.02,Declaring a State of Emergency in response to Hurricane Harvey and in preparation for Hurricane Irma,2017-09-06,https://nathandeal.georgia.gov/executive-orders/2017
GA-EO-10-04-16-02,Nathan Deal,10.04.16.02,Declaring a State of Emergency in preparation for the effects of Hurricane Matthew,2016-10-04,https://nathandeal.georgia.gov/executive-orders/2016
GA-EO-09-01-16-01,Nathan Deal,09.01.16.01,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016
GA-EO-04-28-14-01,Nathan Deal,04.28.14.01,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014
