declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,55,CHATTOOGA,0,1,40000.0,0.0,Thunderstorm Wind,1,40000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,135,GWINNETT,0,0,150000.0,0.0,Thunderstorm Wind,1,150000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,285,TROUP,0,0,115000.0,0.0,"Lightning, Tornado",2,115000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,199,MERIWETHER,0,0,100000.0,0.0,Lightning,1,100000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,253,SEMINOLE,0,0,61000.0,0.0,"Lightning, Thunderstorm Wind",3,61000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,313,WHITFIELD,0,0,30000.0,0.0,Tornado,1,30000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,67,COBB,0,0,25000.0,0.0,Thunderstorm Wind,1,25000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,215,MUSCOGEE,0,0,7000.0,0.0,Thunderstorm Wind,1,7000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,295,WALKER,0,0,6500.0,0.0,"Flash Flood, Thunderstorm Wind",2,6500.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,177,LEE,0,0,3000.0,0.0,Thunderstorm Wind,1,3000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,287,TURNER,0,0,3000.0,0.0,Thunderstorm Wind,1,3000.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,145,HARRIS,0,0,1500.0,0.0,Thunderstorm Wind,1,1500.0
GA-EO-04-28-14-01,04.28.14.01,Nathan Deal,Declaring a State of Emergency due to severe storms,2014-04-28,https://nathandeal.georgia.gov/executive-orders/2014,C,county/county-equivalent,149,HEARD,0,0,1000.0,0.0,Tornado,1,1000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,151,PIERCE,0,1,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,160,LOWNDES,0,0,1000000.0,3000000.0,Tropical Storm,1,4000000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,161,LANIER,0,0,500000.0,0.0,Tropical Storm,1,500000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,146,COLQUITT,0,0,250000.0,0.0,Tropical Storm,1,250000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,158,THOMAS,0,0,140000.0,0.0,Tropical Storm,1,140000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,157,GRADY,0,0,120000.0,0.0,Tropical Storm,1,120000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,147,COOK,0,0,100000.0,0.0,Tropical Storm,1,100000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,127,WORTH,0,0,75000.0,0.0,Tropical Storm,1,75000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,129,TIFT,0,0,75000.0,0.0,Tropical Storm,1,75000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,148,BERRIEN,0,0,75000.0,0.0,Tropical Storm,1,75000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,145,MITCHELL,0,0,52000.0,0.0,Tropical Storm,1,52000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,86,EMANUEL,0,0,30000.0,0.0,Tropical Storm,1,30000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,77,BURKE,0,0,25000.0,0.0,High Wind,1,25000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,109,DODGE,0,0,20000.0,0.0,Tropical Storm,1,20000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,125,DOUGHERTY,0,0,20000.0,0.0,Tropical Storm,1,20000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,65,RICHMOND,0,0,10000.0,0.0,High Wind,1,10000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,106,CRISP,0,0,10000.0,0.0,Tropical Storm,1,10000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,C,county/county-equivalent,169,JONES,0,0,6000.0,0.0,Thunderstorm Wind,1,6000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,97,LAURENS,0,0,6000.0,0.0,Tropical Storm,1,6000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,C,county/county-equivalent,21,BIBB,0,0,5000.0,0.0,Thunderstorm Wind,1,5000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,108,WILCOX,0,0,5000.0,0.0,Tropical Storm,1,5000.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,C,county/county-equivalent,251,SCREVEN,0,0,2250.0,0.0,Thunderstorm Wind,2,2250.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,C,county/county-equivalent,51,CHATHAM,0,0,0.0,0.0,Tornado,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,C,county/county-equivalent,179,LIBERTY,0,0,0.0,0.0,Tornado,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,88,SCREVEN,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,99,CANDLER,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,110,TELFAIR,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,111,WHEELER,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,112,MONTGOMERY,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,113,TOOMBS,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,114,TATTNALL,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,115,EVANS,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,118,INLAND CHATHAM,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,119,COASTAL CHATHAM,0,0,0.0,0.0,"Storm Surge/Tide, Tropical Storm",2,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,126,LEE,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,128,TURNER,0,0,0.0,0.0,Tropical Storm,1,0.0
GA-EO-09-01-16-01,09.01.16.01,Nathan Deal,Declaring a State of Emergency in preparation for Tropical Storm Hermine,2016-09-01,https://nathandeal.georgia.gov/executive-orders/2016,Z,NWS forecast zone,130,BEN HILL,0,0,0.0,0.0,Tropical Storm,1,0.0
