declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
HI-PROC-3636241F5F8AF4B5,,Josh Green,Proclamation Relating to Tropical Storm Calvin,2023-07-18,https://governor.hawaii.gov/wp-content/uploads/2023/07/2307076.pdf,1107056,181101,2023-07-19 06:00:00,2023-07-19 09:00:00,C,county/county-equivalent,1,HAWAII,Flood,,,0,0,0.00K,0.00K,County Official,"Tropical Storm Calvin passed just south of the Big island, and its rain bands with deep convection led to periods of heavy rainfall and minor flooding for portions of the Big Island. The Tropical Storm also brought high winds to portions of the Big Island.",Wood Valley Rd. was closed due to flooding on the road. The flood waters were the result of heavy rainfall from Tropical Storm Calvin.
HI-PROC-3636241F5F8AF4B5,,Josh Green,Proclamation Relating to Tropical Storm Calvin,2023-07-18,https://governor.hawaii.gov/wp-content/uploads/2023/07/2307076.pdf,1107059,181101,2023-07-19 06:00:00,2023-07-19 08:00:00,C,county/county-equivalent,1,HAWAII,Flood,,,0,0,0.00K,0.00K,Department of Highways,"Tropical Storm Calvin passed just south of the Big island, and its rain bands with deep convection led to periods of heavy rainfall and minor flooding for portions of the Big Island. The Tropical Storm also brought high winds to portions of the Big Island.","Old Mamalahoa Highway was closed due to a landslide due to flooding, which was caused by heavy rainfall from Tropical Storm Calvin."
HI-PROC-3636241F5F8AF4B5,,Josh Green,Proclamation Relating to Tropical Storm Calvin,2023-07-18,https://governor.hawaii.gov/wp-content/uploads/2023/07/2307076.pdf,1107047,181101,2023-07-19 08:00:00,2023-07-19 09:00:00,C,county/county-equivalent,1,HAWAII,Flood,,,0,0,0.00K,0.00K,County Official,"Tropical Storm Calvin passed just south of the Big island, and its rain bands with deep convection led to periods of heavy rainfall and minor flooding for portions of the Big Island. The Tropical Storm also brought high winds to portions of the Big Island.","Heavy rainfall due to Tropical Storm Calvin lead to a road closure on Kaalaiki Rd, also known as Pahala Transfer Station Road, due to the buildup of flood waters on the road."
HI-PROC-3636241F5F8AF4B5,,Josh Green,Proclamation Relating to Tropical Storm Calvin,2023-07-18,https://governor.hawaii.gov/wp-content/uploads/2023/07/2307076.pdf,1107068,181101,2023-07-19 03:45:00,2023-07-19 13:45:00,Z,NWS forecast zone,28,BIG ISLAND SUMMIT,Tropical Storm,,,0,0,0.00K,0.00K,Park/Forest Service,"Tropical Storm Calvin passed just south of the Big island, and its rain bands with deep convection led to periods of heavy rainfall and minor flooding for portions of the Big Island. The Tropical Storm also brought high winds to portions of the Big Island.",Sustained winds of 55 MPH were observed at the Mauna Kea Summit.
HI-PROC-0716FAFE28103EE1,,Sylvia Luke (Acting Governor),Proclamation Relating to Wildfires (archive listing: Emergency Proclamation for Hurricane Dora),2023-08-08,https://governor.hawaii.gov/wp-content/uploads/2023/08/2307199-1.pdf,1118215,183079,2023-08-08 00:00:00,2023-08-08 02:00:00,Z,NWS forecast zone,54,BIG ISLAND NORTH,High Wind,52.0,EG,0,0,0.00K,0.00K,Utility Company,"Between August 7-9, strong winds impacted the Hawaiians islands. A strong high pressure to the north of the state and Hurricane Dora far to the south helped to drive the strong northeast winds.",Hundreds of costumers were out of power due to the high winds.
HI-PROC-0716FAFE28103EE1,,Sylvia Luke (Acting Governor),Proclamation Relating to Wildfires (archive listing: Emergency Proclamation for Hurricane Dora),2023-08-08,https://governor.hawaii.gov/wp-content/uploads/2023/08/2307199-1.pdf,1118213,183079,2023-08-08 00:00:00,2023-08-08 01:00:00,Z,NWS forecast zone,33,HONOLULU METRO,High Wind,50.0,EG,0,0,0.00K,0.00K,Utility Company,"Between August 7-9, strong winds impacted the Hawaiians islands. A strong high pressure to the north of the state and Hurricane Dora far to the south helped to drive the strong northeast winds.",Hundreds of customers experienced power outages due to the high winds.
HI-PROC-0716FAFE28103EE1,,Sylvia Luke (Acting Governor),Proclamation Relating to Wildfires (archive listing: Emergency Proclamation for Hurricane Dora),2023-08-08,https://governor.hawaii.gov/wp-content/uploads/2023/08/2307199-1.pdf,1118216,183079,2023-08-08 06:00:00,2023-08-08 10:00:00,Z,NWS forecast zone,33,HONOLULU METRO,High Wind,52.0,EG,0,0,0.00K,0.00K,Utility Company,"Between August 7-9, strong winds impacted the Hawaiians islands. A strong high pressure to the north of the state and Hurricane Dora far to the south helped to drive the strong northeast winds.",A tree was knocked down from the high winds and blocked a road.
HI-PROC-0716FAFE28103EE1,,Sylvia Luke (Acting Governor),Proclamation Relating to Wildfires (archive listing: Emergency Proclamation for Hurricane Dora),2023-08-08,https://governor.hawaii.gov/wp-content/uploads/2023/08/2307199-1.pdf,1138814,183072,2023-08-08 02:00:00,2023-08-09 18:00:00,Z,NWS forecast zone,26,KOHALA,Wildfire,,,0,0,0.00K,0.00K,Broadcast Media,"On August 8, several wildfires ignited over Maui and the Big Island. Very strong trade winds, low relative humidity, and ongoing drought conditions across leeward sections led to rapid fire growth and spread. The fires prompted several mandatory evacuations and emergency proclamations. One wildfire destroyed the town of Lahaina, Maui, killing 102 people and injuring at least 32.","A brushfire near Waimea burned 1,000 acres and threatened the Kohala Range subdivision. Firefighters from several agencies battled the blaze and kept it from destroying any homes. A few homes were damaged but no cost estimate was available. There were no reports of injuries or fatalities."
HI-PROC-0716FAFE28103EE1,,Sylvia Luke (Acting Governor),Proclamation Relating to Wildfires (archive listing: Emergency Proclamation for Hurricane Dora),2023-08-08,https://governor.hawaii.gov/wp-content/uploads/2023/08/2307199-1.pdf,1118217,183079,2023-08-08 06:00:00,2023-08-08 10:00:00,Z,NWS forecast zone,18,MAUI LEEWARD WEST,High Wind,52.0,EG,0,0,0.00K,0.00K,Local Official,"Between August 7-9, strong winds impacted the Hawaiians islands. A strong high pressure to the north of the state and Hurricane Dora far to the south helped to drive the strong northeast winds.",Honoapiilani Hwy was closed between Front St. and Hokiokio Rd due to downed utility poles on the road caused by the high winds.
HI-PROC-0716FAFE28103EE1,,Sylvia Luke (Acting Governor),Proclamation Relating to Wildfires (archive listing: Emergency Proclamation for Hurricane Dora),2023-08-08,https://governor.hawaii.gov/wp-content/uploads/2023/08/2307199-1.pdf,1118193,183072,2023-08-08 06:40:00,2023-08-16 00:00:00,Z,NWS forecast zone,18,MAUI LEEWARD WEST,Wildfire,,,102,32,5.50B,0.00K,Emergency Manager,"On August 8, several wildfires ignited over Maui and the Big Island. Very strong trade winds, low relative humidity, and ongoing drought conditions across leeward sections led to rapid fire growth and spread. The fires prompted several mandatory evacuations and emergency proclamations. One wildfire destroyed the town of Lahaina, Maui, killing 102 people and injuring at least 32.","A wildfire near Lahaina was reported at 6:40 am HST and was contained within 3 hours. Another fire was reported around 3:30pm and prompted evacuation orders by 4:30 pm. However, power lines downed by the damaging winds closed roads and restricted evacuation routes. Wildfire continued to spread rapidly and quickly became out of control. The Coast Guard rescued people entering the Pacific Ocean who were escaping the fire. They rescued seventeen people including two children and assisted forty survivors on shore. At around 11:52 pm the Hawaii National guard was deployed on Maui as wildfires continued to burn out of control.  At 1:20 AM on August 9, over 14,000 customers were without power, and at 5:03 AM, the fire damaged much of the historic banyan tree that was imported to Maui in 1873 from India. At 9:25 am on August 9, over 2,100 people were seeking refuge in Maui shelters, a number that would increase throughout the month, reaching a peak of 8,000 in September. At 12:45 pm on August 9, more than 14,000 people were transported off Maui with another 14,500 waiting to be moved. The fire burned 2,170 acres and destroyed most of the historic town of Lahaina, including over 2,200 structures burned mostly or completely to the ground. There were 102 confirmed fatalities and at least 32 injuries. The fire also destroyed about 4,000 cars, of which 1,000 had been abandoned on public roadways. As of late October, the Coast Guard had recovered and removed 86 vessels from Lahaina Small Boat Harbor, in addition to 9,400 gallons of petroleum products and 3,300 pounds of hazardous materials."
