declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
ID-PROC-052986E2B7ABDFC0,,,Order Declaring Drought Emergency - Butte and Custer Counties,2000-06-28,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2000/20000628-Drought-Order-2000-Butte-Custer-Counties.pdf
ID-PROC-7859BB5B2699D461,,,Order Declaring Drought Emergency - Blaine County,2000-07-18,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2000/20000718-Drought-Order-2000-Blaine-County.pdf
ID-PROC-919E9E167E6A2647,,,Order Declaring Drought Emergency - Lincoln County,2000-07-28,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2000/20000728-Drought-Order-2000-Lincoln-County.pdf
ID-PROC-E51438903D93A77B,,,Order Declaring Drought Emergency - Lemhi County,2000-07-28,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2000/20000728-Drought-Order-2000-Lemhi-County.pdf
ID-PROC-6312C24F3BCF1E62,,,Order Declaring Drought Emergency - Blaine County,2001-04-24,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010424-Drought-Order-2001-Blaine-County.pdf
ID-PROC-6C9B45EAB2CD810C,,,Order Declaring Drought Emergency - Butte County,2001-04-24,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010424-Drought-Order-2001-Butte-County.pdf
ID-PROC-7F017F7E020D1FA4,,,Order Declaring Drought Emergency - Lincoln County,2001-04-24,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010424-Drought-Order-2001-Lincoln-County.pdf
ID-PROC-466747B8A30FC689,,,Order Declaring Drought Emergency - Canyon County,2001-04-25,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010425-Drought-Order-2001-Canyon-County.pdf
ID-PROC-5C4907AE07CD3E25,,,Order Declaring Drought Emergency - Elmore County,2001-04-25,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010425-Drought-Order-2001-Elmore-County.pdf
ID-PROC-92ED7851747FD50F,,,Order Declaring Drought Emergency - Bonneville County,2001-04-25,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010425-Drought-Order-2001-Bonneville-County.pdf
ID-PROC-BF88E0D84968FC4F,,,Order Declaring Drought Emergency - Twin Falls County (Salmon Tract),2001-05-10,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010510-Drought-Order-2001-Twin-Falls-County.pdf
ID-PROC-F3653E0D93E015CE,,,Order Declaring Drought Emergency - Bingham County,2001-05-15,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010515-Drought-Order-2001-Bingham-County.pdf
ID-PROC-0B32BC3197FBFF9B,,,Order Declaring Drought Emergency - Clark County,2001-05-18,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010518-Drought-Order-2001-Clark-County.pdf
ID-PROC-779F07637EEF2ADD,,,Order Declaring Drought Emergency - Ada County,2001-05-21,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010521-Drought-Order-2001-Ada-County.pdf
ID-PROC-660D515E8A384B35,,,Order Declaring Drought Emergency - Fremont County,2001-05-22,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010522-Drought-Order-2001-Fremont-County.pdf
ID-PROC-9D66C89E0951D26C,,,Order Declaring Drought Emergency - Power County,2001-05-22,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010522-Drought-Order-2001-Power-County.pdf
ID-PROC-3A0FC92F591D6932,,,Order Declaring Drought Emergency - Custer County,2001-05-23,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010523-Drought-Order-2001-Custer-County.pdf
ID-PROC-E293CE00CFBEA9BA,,,Order Declaring Drought Emergency - Jefferson County,2001-05-23,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010523-Drought-Order-2001-Jefferson-County.pdf
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf
ID-PROC-156D9E71BFDCE406,,,Order Declaring Drought Emergency - Boise County,2001-06-05,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010605-Drought-Order-2001-Boise-County.pdf
ID-PROC-C25138803209A60C,,,Order Declaring Drought Emergency - Gooding County,2001-06-05,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010605-Drought-Order-2001-Gooding-County.pdf
ID-PROC-D6A11622EEDCB4B2,,,Order Declaring Drought Emergency - Oneida County,2001-06-05,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010605-Drought-Order-2001-Oneida-County.pdf
