declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,17,EASTERN MAGIC VALLEY,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,18,SAWTOOTH MOUNTAINS,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,19,UPPER SNAKE HIGHLANDS,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,20,UPPER SNAKE RIVER PLAIN,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,21,LOWER SNAKE RIVER PLAIN,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,22,SOUTH CENTRAL HIGHLANDS,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,23,CARIBOU HIGHLANDS,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,31,BIG AND LITTLE WOOD RIVER REGION,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-9B4240DCBE845C3A,,,Order Declaring Drought Emergency - Caribou County,2001-05-31,https://idwr.idaho.gov/wp-content/uploads/sites/2/legal/orders/2001/20010531-Drought-Order-2001-Caribou-County.pdf,Z,NWS forecast zone,32,LOST RIVER / PAHSIMEROI,0,0,0.0,0.0,Drought,1,0.0
ID-PROC-DDD255BE8685FB9C,,Bob Geddes (Acting Governor),Spring Flooding Declaration,2010-06-08,https://ioem.idaho.gov/spring-flooding-declaration/,C,county/county-equivalent,75,PAYETTE,0,0,1000000.0,0.0,Flood,1,1000000.0
ID-PROC-DDD255BE8685FB9C,,Bob Geddes (Acting Governor),Spring Flooding Declaration,2010-06-08,https://ioem.idaho.gov/spring-flooding-declaration/,C,county/county-equivalent,49,IDAHO,0,0,800000.0,0.0,Flash Flood,1,800000.0
ID-PROC-DDD255BE8685FB9C,,Bob Geddes (Acting Governor),Spring Flooding Declaration,2010-06-08,https://ioem.idaho.gov/spring-flooding-declaration/,C,county/county-equivalent,69,NEZ PERCE,0,0,0.0,0.0,Heavy Rain,1,0.0
