declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
ID-EO-2008-05,,REDUCTION OF GENERAL FUND SPENDING AUTHORITY REPEALING AND REPLACING EXECUTIVE ORDER 2008-03,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000805.exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-01,,CONTINUATION OF A STATE HOUSING TAX CREDIT AGENCY,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000901-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-02,,"CONTINUING A SYSTEM FOR ALLOCATING VOLUME CAP IN THE STATE CONSISTENT WITH THE PROVISIONS OF TITLE 50, CHAPTER 28, IDAHO CODE, AND THE U.S. INTERNAL REVENUE CODE OF 1986",companion,"Amendment, extension, continuation, or supplementary action; not a separate event",,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000902-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-03,,ESTABLISHING THE BEHAVIORAL HEALTH TRANSFORMATION WORKGROUP,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000903-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-04,,ESTABLISHING THE BEHAVIORAL HEALTH TRANSFORMATION WORKGROUP REPEALING AND REPLACING EXECUTIVE ORDER 2009-03,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000904-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-05,,ESTABLISHING THE IDAHO STRATEGIC ENERGY ALLIANCE REPEALING AND REPLACING EXECUTIVE ORDER 2007-20,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000905-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-06,,ESTABLISHING A PROCESS TO EVALUATE AND IMPLEMENT “THE FEDERAL AMERICAN ECONOMIC RECOVERY AND REINVESTMENT ACT OF 2009”,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000906-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-07,,ESTABLISHING THE IDAHO HEALTH PROFESSIONS EDUCATION COUNCIL,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000907-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-08,,REQUIRING THE IDAHO TRANSPORTATION DEPARTMENT TO PUBLISH AN ANNUAL ACCOUNTABILITY REPORT,companion,Narrow operational relief; general declaration must be checked separately,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000908-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
ID-EO-2009-09,,REESTABLISHING THE EXPERIMENTAL PROGRAM TO STIMULATE COMPETITIVE RESEARCH COMMITTEE WITHIN THE STATE BOARD OF EDUCATION REPEALING AND REPLACING EXECUTIVE ORDER 2006-36,exclude,No event-specific weather declaration confirmed from title,,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000909-exo.pdf,https://adminrules.idaho.gov/executive-orders/,
