source_order_id,target_order_id,relationship_type,relationship_text,source_url,target_status
ID-EO-2024-01,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://gov.idaho.gov//wp-content/uploads/2024/04/eo-2024-01.pdf,unresolved_no_fabricated_target
ID-EO-2024-02,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://gov.idaho.gov//wp-content/uploads/2024/04/eo-2024-02.pdf,unresolved_no_fabricated_target
ID-EO-2024-09,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://gov.idaho.gov//wp-content/uploads/2024/10/eo-2024-09.pdf,unresolved_no_fabricated_target
ID-EO-2019-08,ID-EO-2017-13,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://gov.idaho.gov//wp-content/uploads/2019/06/eo-2019-08.pdf,present
ID-EO-2019-06,ID-EO-2012-06,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://gov.idaho.gov//wp-content/uploads/2019/05/eo-2019-06.pdf,present
ID-EO-2018-05,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://adminrules.idaho.gov/rules/2018%20Archive/ExOs/2018-05_ExOr_18-9.pdf,unresolved_no_fabricated_target
ID-EO-2017-13,ID-EO-2017-12,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://adminrules.idaho.gov/rules/2017%20Archive/ExOs/2017-13_ExOr_18-2.pdf,present
ID-EO-2017-09,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://adminrules.idaho.gov/rules/2017%20Archive/ExOs/2017-09_ExOr_17-12.pdf,unresolved_no_fabricated_target
ID-EO-2017-12,ID-EO-2016-04,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://adminrules.idaho.gov/rules/2017%20Archive/ExOs/2017-12_ExOr_17-12.pdf,present
ID-EO-2017-01,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://adminrules.idaho.gov/rules/2017%20Archive/ExOs/2017-01_ExOr_17-2.pdf,unresolved_no_fabricated_target
ID-EO-2016-05,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://adminrules.idaho.gov/rules/2016%20Archive/ExOs/2016-05_ExOr_17-2.pdf,unresolved_no_fabricated_target
ID-EO-2016-04,ID-EO-2015-02,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://adminrules.idaho.gov/rules/2016%20Archive/ExOs/2016-04_ExOr_16-12.pdf,present
ID-EO-2016-07,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://adminrules.idaho.gov/rules/2016%20Archive/ExOs/2016-07_ExOr_17-2.pdf,unresolved_no_fabricated_target
ID-EO-2016-02,ID-EO-2016-03,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://adminrules.idaho.gov/rules/2016%20Archive/ExOs/2016-02_ExOr_16-12.pdf,present
ID-EO-2015-13,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://adminrules.idaho.gov/rules/2015%20Archive/EXOs/2015-13_ExOr_16-2.pdf,unresolved_no_fabricated_target
ID-EO-2009-15,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000915-exo.pdf,unresolved_no_fabricated_target
ID-EO-2012-08,ID-EO-2011-14,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://adminrules.idaho.gov/rules/2013/EXOOrders/2012-08.pdf,present
ID-EO-2010-08,ID-EO-2009-15,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://adminrules.idaho.gov/rules/2011/EXOOrders/out/001008-exo.pdf,present
ID-EO-2011-13,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://adminrules.idaho.gov/rules/2012/EXOOrders/2011-13.pdf,unresolved_no_fabricated_target
ID-EO-2009-02,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000902-exo.pdf,unresolved_no_fabricated_target
ID-EO-2009-08,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://adminrules.idaho.gov/rules/2010/EXOOrders/out/000908-exo.pdf,unresolved_no_fabricated_target
