declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1084918,178384,2023-03-31 12:15:00,2023-03-31 12:15:00,C,county/county-equivalent,1,ADAMS,Hail,1.0,,0,0,5.00K,0.00K,Emergency Manager,"Ahead of a strong cold front, discrete supercells developed and rapidly moved northeast across the region during the early afternoon. Then as the front moved through the activity became more linear before moving out by late evening. There were numerous reports of large hail, damaging winds and two tornadoes.",Hail up to an inch in diameter caused minor damage to siding and window frames on a house.
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1084916,178384,2023-03-31 12:30:00,2023-03-31 12:31:00,C,county/county-equivalent,1,ADAMS,Hail,1.0,,0,0,0.00K,0.00K,Trained Spotter,"Ahead of a strong cold front, discrete supercells developed and rapidly moved northeast across the region during the early afternoon. Then as the front moved through the activity became more linear before moving out by late evening. There were numerous reports of large hail, damaging winds and two tornadoes.",
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1086243,178384,2023-03-31 15:20:00,2023-03-31 15:40:00,C,county/county-equivalent,1,ADAMS,Hail,3.5,,0,0,0.00K,0.00K,Social Media,"Ahead of a strong cold front, discrete supercells developed and rapidly moved northeast across the region during the early afternoon. Then as the front moved through the activity became more linear before moving out by late evening. There were numerous reports of large hail, damaging winds and two tornadoes.","A wide swath of large hail fell across southern portions of Adams County. Hail stones were up to 3.5 inches in diameter. The large hail fell in Plainville, Richfield, Kingston, Beverly and Chestine."
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1090158,179076,2023-04-04 16:58:00,2023-04-04 16:59:00,C,county/county-equivalent,1,ADAMS,Hail,1.0,,0,0,0.00K,0.00K,Broadcast Media,"As a warm front lifted northward across the forecast area, a strong southwesterly low-level jet brought in plenty of low-level moisture as well as increasing instability, veering vertical wind profiles and steep lapse rates. A stout cap eroded across portions of central/northeast Missouri as well as west central Illinois, so storms developed in this area through the afternoon and evening hours. Some of the severe storms produced very large hail.",
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1087426,178384,2023-03-31 19:13:00,2023-03-31 19:16:00,C,county/county-equivalent,5,BOND,Thunderstorm Wind,58.0,MG,0,0,0.00K,0.00K,AWOS,"Ahead of a strong cold front, discrete supercells developed and rapidly moved northeast across the region during the early afternoon. Then as the front moved through the activity became more linear before moving out by late evening. There were numerous reports of large hail, damaging winds and two tornadoes.",
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1085836,178474,2023-03-31 18:37:00,2023-03-31 18:50:00,C,county/county-equivalent,7,BOONE,Tornado,,,1,40,0.00K,0.00K,NWS Storm Survey,"During the afternoon and evening of the 31st, a wave of severe thunderstorms produced numerous tornadoes, severe hail, extensive wind damage, and localized flooding across northern and northeastern Illinois. A total of 37 tornadoes were confirmed across the state. The NWS Chicago office tied a record for the most tornadoes to occur in a single calendar day within the office's county warning area with 22, 17 of which occurred in Illinois. One EF-2 tornado occurred in south-central Lee County and two others in northwest Indiana. Some of the more notable damage includes multiple semi trucks blown over, a garage that had been completely destroyed southeast of Amboy, and the partial roof collapse of the Apollo Theatre in Belvidere which unfortunately resulted in one fatality and 40 injuries.","This tornado crossed into Boone County south of Cherry Valley from Winnebago County. The tornado, which originated in Ogle County, traversed northeastward doing minor damage to farms. As it moved through the town of Belvidere, the storm produced multiple instances of damage to businesses, homes, and trees. Included in this is the partial roof collapse of the Apollo Theatre downtown which resulted in one fatality and 40 injuries. From there, the tornado would travel another 7 miles doing additional damage to trees before lifting near Orth Rd just west of the Boone-McHenry county line."
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1085844,178474,2023-03-31 18:44:00,2023-03-31 18:57:00,C,county/county-equivalent,7,BOONE,Tornado,,,0,0,0.00K,0.00K,NWS Storm Survey,"During the afternoon and evening of the 31st, a wave of severe thunderstorms produced numerous tornadoes, severe hail, extensive wind damage, and localized flooding across northern and northeastern Illinois. A total of 37 tornadoes were confirmed across the state. The NWS Chicago office tied a record for the most tornadoes to occur in a single calendar day within the office's county warning area with 22, 17 of which occurred in Illinois. One EF-2 tornado occurred in south-central Lee County and two others in northwest Indiana. Some of the more notable damage includes multiple semi trucks blown over, a garage that had been completely destroyed southeast of Amboy, and the partial roof collapse of the Apollo Theatre in Belvidere which unfortunately resulted in one fatality and 40 injuries.","This tornado touched down southwest of the village of Caledonia moving through mostly farmland along its northeastward track. The storm destroyed numerous outbuildings, heavily damaged a silo, and caused a grain bin to collapse. In the Candlewick Lake neighborhood southeast of Caledonia, a few homes sustained roof and siding damage. Several trees were also damaged. The tornado then crossed into the village of Sharon in southwestern Walworth County, Wisconsin. The storm would go on for nearly another four miles mostly doing damage to barns and trees before lifting near Town Hall Rd and Chilson Rd."
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1085065,177938,2023-04-04 12:50:00,2023-04-04 12:50:00,C,county/county-equivalent,7,BOONE,Thunderstorm Wind,74.0,MG,0,0,0.00K,0.00K,Broadcast Media,"Scattered thunderstorms moved across portions of northern Illinois during the afternoon of April 4th producing large hail and wind damage.  ||Additional isolated thunderstorms moved across parts of northern Illinois during the evening.  High winds occurred north of these storms during the evening, producing isolated wind damage.  Tree and power line damage was reported in Mendota along with a damaged roof.  A tree fell onto a house in Round Lake Beach causing its roof to collapse.  A wind gust to 66 mph was measured north of Leland.","A private weather station measured a wind gust to 85 mph.  Several large trees were uprooted or damaged, fascia was peeled off of houses and a shed was blown off its foundation."
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1086246,178384,2023-03-31 15:48:00,2023-03-31 15:50:00,C,county/county-equivalent,9,BROWN,Thunderstorm Wind,56.0,EG,0,0,10.00K,0.00K,Emergency Manager,"Ahead of a strong cold front, discrete supercells developed and rapidly moved northeast across the region during the early afternoon. Then as the front moved through the activity became more linear before moving out by late evening. There were numerous reports of large hail, damaging winds and two tornadoes.","Thunderstorm winds caused minor roof damage to a house near Illinois Route 107. Also, just east of there an open sided car port was flipped over."
IL-PROC-4F457EA2DD4BDB96,,JB Pritzker,"Tornado Damage. Declares Boone, Crawford, DuPage, Marion and Sangamon Counties as disaster areas following tornadoes and severe weather on Friday, March 31, 2023. The Proclamation directs the Illinois Emergency Management Agency to implement the State Emergency Operations Plan and coordinate State resources to support local governments in disaster response and recovery operations.",2023-04-01,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/dis-proc-04-01-23-tornado-damage.pdf,1086248,178384,2023-03-31 15:50:00,2023-03-31 15:55:00,C,county/county-equivalent,9,BROWN,Hail,2.0,,0,0,0.00K,0.00K,Emergency Manager,"Ahead of a strong cold front, discrete supercells developed and rapidly moved northeast across the region during the early afternoon. Then as the front moved through the activity became more linear before moving out by late evening. There were numerous reports of large hail, damaging winds and two tornadoes.","A wide swath of large hail up to two inches in diameter fell across the central portions of Brown County. The hail fell in Mt. Sterling, Hersman, Gilbirds, Jaques and Versailles."
