declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
IL-EO-2002-01,,Executive Order creating the Illinois Agenda for Excellence in Education.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-1.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-02,,Executive Order to extend African-American Family Commission.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-2.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-03,,Executive Order to reorganize agencies by the abolishment of certain entities of the Executive Branch.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-3.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-04,,Executive Order to merge the Office of Statewide Performance Review and the Illinois Office of Strategic Planning with the Bureau of the Budget.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-4.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-05,,Executive Order for the Interagency Coordinating Committee on Groundwater to establish a water quantity planning program.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-5.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-06,,"Executive Order on renewable energy for State government. Executive Order Number 02-06 (HTML) |Executive Order Number 02-06 (PDF, 147 KB)",companion,"Amendment, extension, continuation, or supplementary action; not a separate event",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-6.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-07,,An Executive Order creating the Illinois Disabilities Services Advisory Committee.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-7.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-08,,Executive Order to continue the establishment of the Illinois Delegation to the Midwestern Higher Education Commission and the Board of Trustees of the Illinois Summer School for the Arts.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-8.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-09,,Executive Order for disaster funding.,review,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-9.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2002-10,,Executive Order for disaster funding.,review,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-10.2002.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-01,,Executive Order instituting immediate hiring and promotion freeze.,review,Weather reference does not establish a disaster declaration,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-1.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-02,,Executive Order mandating a freeze on the acquisition of State motor vehicles and the implementation of a comprehensive review of potential cost savings associated with State motor vehicles.,review,Weather reference does not establish a disaster declaration,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-2.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-03,,Executive Order creating the Office of Inspector General and an Ethics Hotline.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-3.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-04,,Executive Order Banning Retaliation against whistle blowers.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-4.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-05,,Executive Order mandating ethics training for all State employees.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-5.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-06,,Executive Order on compensation for military personnel.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-6.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-07,,Executive Order to reorganize agencies by the abolishment of certain entities of the Executive Branch.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-7.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-08,,Executive Order on collective bargaining by personal care assistants.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-8.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-09,,"Executive Order to transfer functions of the Department of the Lottery, the Liquor Control Commission and the Illinois Racing Board to the Department of Revenue.",exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-9.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-10,,"Executive Order to consolidate facilities management, internal auditing and staff legal functions.",exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-10.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-11,,Executive Order to transfer functions of the Prairie State 2000 Authority and programs of the Illinois Department of Employment Security and the Illinois Community College Board to the Department of Commerce and Economic Opportunity.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-11.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-12,,Executive Order to transfer functions of the Department of Nuclear Safety to the Illinois Emergency Management Agency.,review,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-12.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-13,,Executive Order on project labor agreements.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-13.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-14,,Executive Order in response to orthopox outbreak.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-14.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-15,,Executive Order on prescription drugs.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-15.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-16,,Executive Order creating the Illinois Integrated Justice Information System Implementation Board.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-16.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-17,,Executive Order creating a terrorism task force.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-17.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-18,,Executive Order to establish comprehensive housing initiative.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-18.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2003-19,,Executive Order to establish an Illinois HIPPA Taskforce.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-19.2003.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-01,,Executive Order abolishing the Women's Commission and creating the Governor's Office of Women's Affairs.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-1.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-02,,Executive order to reorganize agencies by the transfer of certain media relations functions to the Department of Central Management Services.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-2.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-03,,Executive Order to reorganize agencies by the transfer of certain programs of the Department of Commerce and Economic Opportunity and the Department of Revenue to the Department of Public Aid and the Department on Aging.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-3.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-04,,Executive Order to reorganize agencies by the transfer of certain functions of the Department of Central Management Services to the Department of State Police.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-4.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-05,,Executive Order to transfer certain administrative and support functions of the Illinois Building Commission to the Capital Development Board.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-5.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-06,,"Executive Order to reorganize agencies by the transfer of functions of the Department of Financial Institutions, the Department of Insurance, the Department of Professional Regulation and the Office of Banks and Real Estate into the newly created Department of Financial and Professional Regulation.",exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-6.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-08,,Executive Order to monitor fuel retail and wholesale prices through the Department of Revenue.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-8.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-09,,Executive Order establishing Interstate 55 between Carlinville and Springfield as the Vince Demuzio Expressway.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-9.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-10,,"Executive Order establishing Interstate 88 between Sterling, Illinois and The Quad cities as the Ronald Regan Memorial Highway.",exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-10.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-11,,Executive Order authorizing the utilization of metal detectors for the purpose of enhancing security at the State Capitol building and the Capitol complex.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-11.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-12,,Executive Order authorizing the implementation of the National Incident Management System.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-12.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-13,,Executive Order reforming the Executive Protection Unit.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-13.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2004-14,,Executive Order creating the Safe Games Illinois Task Force on Violent and Sexually Explicit Video Games.,exclude,"Administrative, public-health, preparedness, or ceremonial action",,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-14.2004.html,https://www.illinois.gov/government/executive-orders-archive.html,
IL-EO-2005-01,,Executive Order on collective negotiation by day care home providers.,exclude,No event-specific weather declaration confirmed from title,,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-1.2005.html,https://www.illinois.gov/government/executive-orders-archive.html,
