source_order_id,target_order_id,relationship_type,relationship_text,source_url,target_status
IL-PROC-6208E46275C9195E,IL-PROC-4B8397ACEAA2E102,same_event_followup,Both legal proclamations describe June 29 derecho and subsequent early-July storms in the same counties.,https://www.illinois.gov/content/dam/soi/en/web/illinois/documents/government/disaster-proclamations/prior-to-2024/june-to-july-2023-storm-dis-proc-07-24-23.pdf,present
IL-EO-2020-75,IL-EO-2010-10,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-75.2020.html,present
IL-EO-2020-75,IL-EO-2003-10,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-75.2020.html,present
IL-EO-2018-03,IL-EO-2016-07,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-3.2018.html,present
IL-EO-2017-04,IL-EO-2016-06,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-4.2017.html,present
IL-EO-2016-12,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-12.2016.html,unresolved_no_fabricated_target
IL-EO-2016-07,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-7.2016.html,unresolved_no_fabricated_target
IL-EO-2015-16,IL-EO-2015-09,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-16.2015.html,present
IL-EO-2015-16,IL-EO-2010-10,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-16.2015.html,present
IL-EO-2015-16,IL-EO-2003-01,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-16.2015.html,present
IL-EO-2015-11,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-11.2015.html,unresolved_no_fabricated_target
IL-EO-2014-10,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-10.2014.html,unresolved_no_fabricated_target
IL-EO-2009-11,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-11.2009.html,unresolved_no_fabricated_target
IL-EO-2009-09,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-9.2009.html,unresolved_no_fabricated_target
IL-EO-2006-07,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-7.2006.html,unresolved_no_fabricated_target
IL-EO-2002-06,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-6.2002.html,unresolved_no_fabricated_target
