declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
IN-EO-12-01,Indiana Governor,12-01,Disaster Declaration for Severe Storms and Tornados,,https://www.in.gov/governorhistory/mitchdaniels/2400.htm
IN-EO-22-15,Indiana Governor,22-15,DECLARATION OF DISASTER EMERGENCY FOR JEFFERSON SWITZERLAND AND OHIO COUNTIES DUE TO STORMS TORRENTIAL RAINS & FLOODING,2022-09-29,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2022-executive-orders/
IN-EO-23-2,Indiana Governor,23-2,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/
IN-EO-23-3,Indiana Governor,23-3,DECLARING A DISASTER EMERGENCY IN BENTON MONROE MORGAN OWEN AND WHITE COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-05,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/
IN-EO-23-5,Indiana Governor,23-5,DECLARING DISASTER EMERGENCIES IN CLAY FOUNTAIN GIBSON JOHNSON MARTIN SPENCER VERMILLION AND VIGO COUNTIES DUE TO SEVERE WEATHER,2023-06-30,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/
IN-EO-23-6,Indiana Governor,23-6,DECLARING DISASTER EMERGENCIES IN DUBOIS WASHINGTON AND ORANGE COUNTIES DUE TO SEVERE WEATHER,,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/
IN-EO-24-4,Indiana Governor,24-4,DECLARING A DISASTER EMERGENCY IN DELAWARE JEFFERSON & RANDOLPH COUNTIES DUE TO SEVERE WEATHER & TORNADIC ACTIVITY,2024-03-21,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/
IN-EO-24-6,Indiana Governor,24-6,DECLARING A DISASTER EMERGENCY IN POSEY COUNTY DUE TO SEVERE AND TORNADIC ACTIVITY,,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/
IN-EO-24-7,Indiana Governor,24-7,DECLARING A DISASTER EMERGENCY DUE TO SEVERE AND TORNADIC ACTIVITY WITH WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS WORKING IN RESPONSE TO THE SEVERE WEATHER,,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/
IN-EO-24-8,Indiana Governor,24-8,DECLARING A DISASTER EMERGENCY IN GIBSON POSEY & WARRICK COUNTIES DUE TO SEVERE WEATHER & TORNADIC ACTIVITY,,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/
IN-EO-25-61,Indiana Governor,25-61,DECLARING A DISASTER EMERGENCY IN BARTHOLOMEW BROWN CLARK CLAY CRAWFORD DEARBORN DELAWARE ELKHART FLOYD GIBSON GREEN HAMILTON HANCOCK HARRISON HENDRICKS JEFFERSON JENNINGS LAGRANGE LAKE LAPORTE MADISON MARSHALL MARTIN MORGAN OWEN PERRY PORTER POSEY SHELBY SPENCER STEUBEN SWITZERLAND VIGO WARRICK AND WASHINGTON COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2025-02-27,https://www.in.gov/gov/files/25-61.pdf
IN-EO-26-03,Indiana Governor,26-03,DECLARATION OF A STATEWIDE DISASTER EMERGENCY DUE TO A SEVERE WINTER STORM,2026-01-23,https://www.in.gov/gov/files/EO26-03.pdf
IN-EO-26-08,Indiana Governor,26-08,DECLARING A DISASTER EMERGENCY IN JASPER NEWTON AND STARKE COUNTIES DUE TO SEVERE WEATHER AND TORNADIC ACTIVITY,,https://www.in.gov/gov/files/EO-26-08.pdf
IN-EO-26-15,Indiana Governor,26-15,DECLARING A DISASTER EMERGENCY IN ALLEN BARTHOLOMEW BENTON BOONE BROWN CARROLL CASS CLAY CLINTON DEARBORN DECATUR DELAWARE ELKHART FRANKLIN FOUNTAIN FULTON GRANT GREENE HAMILTON HANCOCK HARRISON HENDRICKS HOWARD HUNTINGTON JACKSON JASPER JAY JEFFERSON JENNINGS JOHNSON KOSIUSKO KNOX LAGRANGE LAKE LAPORTE LAWRENCE MADISON MARION MARSHALL MIAMI MONROE MONTGOMERY MORGAN NEWTON OWEN PARKE PORTER PUTNAM RANDOLPH RIPLEY RUSH SHELBY ST JOSEPH STEUBEN SWITZERLAND TIPPECANOE WABASH WARREN WHITE VANDERBURGH VERMILLION AND VIGO COUNTIES DUE TO FLOODING SEVERE WEATHER TORNADIC ACTIVITY AND A DERECHO,2026-06-19,https://www.in.gov/gov/files/EO-26-15.pdf
IN-EO-26-21,Indiana Governor,26-21,DECLARING A STATEWIDE DISASTER EMERGENCY DUE TO FLOODING SEVERE WEATHER TORNADIC ACTIVITY AND A DERECHO,2026-08-13,https://www.in.gov/gov/files/EO-26-21.pdf
