declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,153,SULLIVAN,3,8,18160000.0,0.0,"Hail, Tornado",2,18160000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,119,OWEN,2,2,1583000.0,0.0,"Thunderstorm Wind, Tornado",3,1583000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,17,CASS,0,7,35000.0,0.0,"Thunderstorm Wind, Tornado",3,35000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,67,HOWARD,0,1,1234000.0,0.0,"Thunderstorm Wind, Tornado",6,1234000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,109,MORGAN,0,0,8322000.0,0.0,"Thunderstorm Wind, Tornado",3,8322000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,81,JOHNSON,0,0,7473000.0,0.0,"Thunderstorm Wind, Tornado",3,7473000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,105,MONROE,0,0,1066000.0,0.0,"Thunderstorm Wind, Tornado",2,1066000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,23,CLINTON,0,0,740000.0,0.0,"Thunderstorm Wind, Tornado",2,740000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,157,TIPPECANOE,0,0,700000.0,0.0,"Hail, Thunderstorm Wind",2,700000.0
IN-EO-23-2,23-2,Indiana Governor,DECLARING A DISASTER EMERGENCY IN JOHNSON AND SULLIVAN COUNTIES DUE TO SEVERE WEATHER TORNADIC ACTIVITY AND FLOODING,2023-04-01,https://www.in.gov/governorhistory/ericjholcomb/newsroom/executive-orders/2023-executive-orders/,C,county/county-equivalent,11,BOONE,0,0,305000.0,0.0,"Thunderstorm Wind, Tornado",3,305000.0
