eo_number,title,year,hazard_guess,is_original_weather_declaration,source_url
17-01,"CREATION OF POSITION OF ""EXECUTIVE DIRECTOR FOR DRUG PREVENTION, TREATMENT AND ENFORCEMENT",2017,,False,https://www.in.gov/dA/d43800a15d/EO_17-01.pdf?language_id=1
17-02,CONTINUING THE GOVERNOR'S EMERGENCY ADVISORY GROUP AND OTHER EMERGENCY MEASURES,2017,,False,https://www.in.gov/dA/40509dcd6d/EO_17-02.pdf?language_id=1
17-03,CONTINUING THE INDIANA TOLL ROAD OVERSIGHT BOARD,2017,,False,https://www.in.gov/dA/cb9da26f30/EO_17-03.pdf?language_id=1
17-04,CONTINUING THE INDIANA STATE TRAUMA CARE COMMITTEE,2017,,False,https://www.in.gov/dA/d2db36c6e3/EO_17-04.pdf?language_id=1
17-05,CONTINUING THE OFFICE OF PUBLIC FINANCE,2017,,False,https://www.in.gov/dA/72d5325358/EO_17-05.pdf?language_id=1
17-06,CONTINUING THE INDIANA STATE HISTORICAL RECORDS ADVISORY BOARD,2017,,False,https://www.in.gov/dA/43b83fd389/EO_17-06.pdf?language_id=1
17-07,CONTINUING WGU INDIANA IN PARTNERSHIP WITH WESTERN GOVERNORS UNIVERSITY TO EXPAND HIGHER EDUCATION OPPORTUNITIES FOR HOOSIERS THROUGH ON-LINE COMPETENCY-BASED EDUCATION,2017,,False,https://www.in.gov/dA/4cc5262852/EO_17-07.pdf?language_id=1
17-08,CONTINUING THE OFFICE OF STATE-BASED INITIATIVES,2017,,False,https://www.in.gov/dA/69cd7fb7a3/EO_17-08.pdf?language_id=1
17-09,CONTINUING THE GOVERNOR'S MANAGEMENT AND PERFORMANCE HUB,2017,,False,https://www.in.gov/dA/450464e4b7/EO_17-09.pdf?language_id=1
17-10,CONTINUING THE OFFICE OF FAITH-BASED AND COMMUNITY INITIATIVES AS SERVE INDIANA AND THE INDIANA COMMISSION ON COMMUNITY SERVICE AND VOLUNTEERISM AS THE SERVE INDIANA COMMISSION AS A DIVISION OF THE DEPARTMENT OF WORKFORCE DEVELOPMENT,2017,,False,https://www.in.gov/dA/29e1a1b44a/EO_17-10.pdf?language_id=1
17-11,CONTINUING THE INDIANA EXECUTIVE COUNCIL ON CYBERSECURITY,2017,,False,https://www.in.gov/dA/7d7a0ab173/EO_17-11.pdf?language_id=1
17-12,PARDON FOR KEITH DONNELL COOPER,2017,,False,https://www.in.gov/dA/4a12dbd0e0/Executive-Order-17-12-Cooper_2.pdf?language_id=1
17-13,DECLARATION OF DISASTER EMERGENCY (EAST CHICAGO),2017,,False,https://www.in.gov/dA/c6abf564c5/Executive-Order-17-13-East-Chicago_2.pdf?language_id=1
17-14,EXTENSION OF EXECUTIVE ORDER 17-13: DECLARATION OF DISASTER EMERGENCY (EAST CHICAGO),2017,,False,https://www.in.gov/dA/ac481455b0/Executive-Order-East-Chicago-Extension.pdf?language_id=1
17-15,FAIR CHANCE HIRING PROCESS,2017,,False,https://www.in.gov/dA/37165a31c2/Executive-Order-17-15-Fair-Chance-Hiring.pdf?language_id=1
17-16,COOPERATION WITH THE NATIONAL BASKETBALL ASSOCIATION FOR HOSTING THE 2021 NBA ALL-STAR GAME WEEKEND,2017,,False,https://www.in.gov/dA/5b2758f8ff/EO-17-16.pdf?language_id=1
17-17,"CREATION OF THE POSITION OF ""SECRETARY OF CAREER CONNECTIONS AND TALENT",2017,,False,https://www.in.gov/dA/11469406f3/Executive-Order-17-17-Secretary-Career-Connections.pdf?language_id=1
17-18,NEXT LEVEL TRUST FUND,2017,,False,https://www.in.gov/dA/d648c6d549/Executive-Order-17-18-Next-Level-Trust-Fund.pdf?language_id=1
17-19,THE EFFECTIVENESS OF POPULATION INFORMATION FROM THE UNITED STATES CENSUS BUREAU FOR STATE LAW PURPOSES,2017,,False,https://www.in.gov/dA/b32d902b2c/Executive-Order-17-19-Town-of-Whitestown-.pdf?language_id=1
17-20,COOPERATION WITH THE COLLEGE FOOTBALL PLAYOFF GROUP FOR THE HOSTING OF THE 2022 COLLEGE FOOTBALL PLAYOFF NATIONAL CHAMPIONSHIP,2017,,False,https://www.in.gov/dA/6bfb76d11f/Executive_Order_17-20_College_Football_Playoff.pdf?language_id=1
17-21,COOPERATION WITH THE NATIONAL COLLEGIATE ATHLETIC ASSOCIATION FOR THE HOSTING OF THE 2024 & 2026 MEN'S FINAL FOUR,2017,,False,https://www.in.gov/dA/9fb0987d3e/eo-17-21-ncaa-final-four.pdf?language_id=1
17-22,ESTABLISHING THE INDIANA VOLKSWAGEN ENVRIONMENTAL MITIGATION TRUST FUND COMMITTEE,2017,,False,https://www.in.gov/dA/f35fdf9a67/Executive-Order-17-22-Executed-Final.pdf?language_id=1
17-23,"THE NAMING OF INTERSTATE  865 AFTER FRED M. FEHSENFELD, SR.",2017,,False,https://www.in.gov/dA/7343c92bf3/ExecutiveOrder_17-23_Fehsenfeld_Sr.pdf?language_id=1
17-24,PARDON FOR JAMIE PRESTON DRUELINGER,2017,,False,https://www.in.gov/dA/6e544550c7/Executive-Order-17-24-Druelinger-Pardon.pdf?language_id=1
17-25,PARDON FOR VINCENT EUGENE GARTIN,2017,,False,https://www.in.gov/dA/7f13012cae/Executive-Order-17-25-Gartin-Pardon.pdf?language_id=1
17-26,"PARDON FOR FRANKLIN RAY MEADOWS, JR.",2017,,False,https://www.in.gov/dA/529c84f9db/Executive-Order-17-26-Meadows-Pardon.pdf?language_id=1
17-27,PARDON FOR STEVEN MARK PYATTE,2017,,False,https://www.in.gov/dA/199d9e0687/Executive-Order-17-27-Pyatte-Pardon.pdf?language_id=1
17-28,PARDON FOR GARY TIDD,2017,,False,https://www.in.gov/dA/d4aae0cc54/Executive-Order-17-28-Tidd-Pardon.pdf?language_id=1
17-29,PARDON FOR MATTHEW BENJAMIN VOORHEES,2017,,False,https://www.in.gov/dA/02723a3eba/Executive-Order-17-29-Voorhees-Pardon.pdf?language_id=1
17-30,THE EFFECTIVENESS OF POPULATION INFORMATION FROM THE UNITED STATES CENSUS BUREAU FOR STATE LAW PURPOSES,2017,,False,https://www.in.gov/dA/e284f628bd/Executive-Order-17-30-Huntertown-Census.pdf?language_id=1
17-31,PARENTAL LEAVE FOR STATE EMPLOYEES,2017,,False,https://www.in.gov/dA/9e533280f3/Executive-Order-17-31-Parental-Leave.pdf?language_id=1
17-32,WAIVER OF HOURS OF SERVICE REGULATIONS RELATING TO MOTOR CARRIERS AND DRIVERS TRANSPORTING PROPANE GAS,2017,,False,https://www.in.gov/dA/00771a2df3/Executive_Order_17-32_Propane_Hours_of_Service_Ext.pdf?language_id=1
18-01,"DECLARING A DISASTER EMERGENCY IN CARROLL, DEARBORN, ELKHART, FULTON, LAKE, MARSHALL, PERRY, ST. JOSEPH, STARKE, SWITZERLAND, AND WHITE COUNTIES DUE TO STORMS, TORRENTIAL RAINFALL, AND FLOODING",2018,flood,True,https://www.in.gov/dA/02b1eb29a7/EO_18-01_Disaster_Emergency_2-24-18.pdf?language_id=1
18-02,"DECLARING A DISASTER EMERGENCY IN BENTON, CLARK, CRAWFORD, FLOYD, JEFFERSON, SPENCER, AND WARRICK COUNTIES DUE TO STORMS, TORRENTIAL RAINFALL, AND FLOODING",2018,flood,True,https://www.in.gov/dA/6928e1dc10/18-02-Executive-Order.pdf?language_id=1
18-03,"DECLARING A DISASTER EMERGENCY IN HARRISON, JASPER, OHIO, AND PULASKI COUNTIES DUE TO STORMS, TORRENTIAL RAINFALL, AND FLOODING",2018,flood,True,https://www.in.gov/dA/534142bab7/EO-18-03.pdf?language_id=1
18-04,CREATION OF THE OFFICE OF APPRENTICESHIP & WORK-BASED LEARNING,2018,,False,https://www.in.gov/dA/35a293c6b4/20180301112440245.pdf?language_id=1
18-05,"DECLARING A DISASTER EMERGENCY IN JACKSON, KOSCIUSKO, NEWTON, AND PORTER COUNTIES DUE TO STORMS, TORRENTIAL RAINFALL, AND FLOODING",2018,flood,True,https://www.in.gov/dA/a0c2f392a8/20180302114703109.pdf?language_id=1
