declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
IA-PROC-2024-08,Kim Reynolds,2024-08,"Severe weather beginning April 16 and continuing (allows state resources to be utilized to respond to, and recover from, the effects of severe weather in Allamakee, Cass, Des Moines, Fayette, Henry, and Lee counties)",2024-04-17,https://homelandsecurity.iowa.gov/media/67/download?inline
IA-PROC-2024-09,Kimberly K. Reynolds,2024-09,"Severe weather beginning April 26 and continuing (allows state resources to be utilized to respond to, and recover from, the effects of severe weather in Pottawattamie County)",2024-04-26,https://homelandsecurity.iowa.gov/media/104/download?inline
IA-PROC-2024-10,Kimberly K. Reynolds,2024-10,"Severe weather beginning April 26 and continuing (allows state resources to be utilized to respond to, and recover from, the effects of severe weather in Clarke, Crawford, Harrison, Mills, Polk, Ringgold, Shelby, and Union Counties)",2024-04-29,https://homelandsecurity.iowa.gov/media/105/download?inline
IA-PROC-2024-11,Kimberly K. Reynolds,2024-11,"Severe weather beginning May 6 and continuing (allows state resources to be utilized to respond to, and recover from, the effects of severe weather in Clarke, Marion, O’Brien, and Pottawattamie Counties)",2024-05-08,https://homelandsecurity.iowa.gov/media/132/download?inline
IA-PROC-2024-12,Kimberly K. Reynolds,2024-12,"Severe weather beginning May 20 and continuing (Adair, Adams, Cass, Clay, Hardin, Harrison, Jasper, Kossuth, Marshall, Montgomery, Page, Palo Alto, Pottawattamie, Tama, and Warren Counties)",2024-05-21,https://homelandsecurity.iowa.gov/media/325/download?inline
IA-PROC-2024-13,Kimberly K. Reynolds,2024-13,"Severe weather beginning May 20 and continuing (Black Hawk, Buena Vista, Butler, Cedar, Clinton, Dubuque, Fayette, Franklin, Hancock, Humboldt, Iowa, Jackson, Mills, Muscatine, O'Brien, Polk and Story Counties)",2024-05-22,https://homelandsecurity.iowa.gov/media/327/download?inline
IA-PROC-2024-14,Kimberly K. Reynolds,2024-14,"Severe weather beginning May 20 and continuing (Calhoun, Cerro Gordo, Johnson, Keokuk, Marion, Scott, Shelby, Union, Washington, and Wright Counties)",2024-05-24,https://homelandsecurity.iowa.gov/media/331/download?inline
IA-PROC-2024-16,Kimberly K. Reynolds,2024-16,"Severe weather beginning May 20 and continuing (Dallas, Poweshiek, and Webster Counties)",2024-05-28,https://homelandsecurity.iowa.gov/media/339/download?inline
IA-PROC-2024-18,Kimberly K. Reynolds,2024-18,Severe weather beginning May 31 and continuing (O'Brien and Kossuth Counties),2024-06-03,https://homelandsecurity.iowa.gov/media/352/download?inline
IA-PROC-2024-19,Kimberly K. Reynolds,2024-19,Severe weather beginning June 3 and continuing (Dubuque and Emmet Counties),2024-06-06,https://homelandsecurity.iowa.gov/media/355/download?inline
IA-PROC-2024-20,Kimberly K. Reynolds,2024-20,Severe weather beginning June 12 and continuing (Monona and Woodbury Counties),2024-06-14,https://homelandsecurity.iowa.gov/media/360/download?inline
IA-PROC-2024-21,Kimberly K. Reynolds,2024-21,"Severe weather beginning June 12 and continuing (Carroll, Clay, Dickinson, Emmet, Harrison, and O'Brien)",2024-06-19,https://homelandsecurity.iowa.gov/media/362/download?inline
IA-PROC-2024-23,Kimberly K. Reynolds,2024-23,Severe Storms and Flooding June 21 and continuing (Sioux County),2024-06-22,https://homelandsecurity.iowa.gov/media/367/download?inline
IA-PROC-2024-24,Kimberly K. Reynolds,2024-24,"Severe Storms and Flooding June 21 and continuing (Buena Vista, Cerro Gordo, Cherokee, Clay, Dickinson, Emmet, Floyd, Hancock, Humboldt, Kossuth, Lyon, O’Brien, Osceola, Plymouth, Pocahontas, Sioux, Webster, Winnebago, Woodbury, Worth, and Wright)",2024-06-22,https://homelandsecurity.iowa.gov/media/369/download?inline
IA-PROC-2024-25,Kimberly K. Reynolds,2024-25,Severe Storms and Flooding June 21 and continuing (Palo Alto),2024-06-23,https://homelandsecurity.iowa.gov/media/374/download?inline
IA-PROC-2024-26,Kim Reynolds,2024-26,"Severe Storms and Flooding June 21 and continuing (Fremont, Harrison, Mills, Monona, and Pottawattamie)",2024-06-24,https://homelandsecurity.iowa.gov/media/373/download?inline
IA-PROC-2024-27,Kimberly K. Reynolds,2024-27,Severe Storms and Flooding June 21 and continuing (Allamakee),2024-06-24,https://homelandsecurity.iowa.gov/media/372/download?inline
IA-PROC-2024-28,Kimberly K. Reynolds,2024-28,"Severe Storms and Flooding June 21 and continuing (Harrison, Johnson, Mills and Pottawattamie)",2024-06-26,https://homelandsecurity.iowa.gov/media/383/download?inline
IA-PROC-2024-30,Kimberly K. Reynolds,2024-30,"Severe Storms and Flooding June 21 and continuing (Buena Vista, Cerro Gordo, Cherokee, Clay, Dickinson, Emmet, Floyd, Fremont, Harrison, Hancock, Humboldt, Kossuth, Lyon, Mills, Monona, O'Brien, Osceola, Palo Alto, Plymouth, Pocahontas, Pottawattamie, Sioux, Webster, Winnebago, Woodbury, Worth and Wright)",2024-06-26,https://homelandsecurity.iowa.gov/media/382/download?inline
IA-PROC-2024-31,Kimberly K. Reynolds,2024-31,"Severe Storms and Flooding June 21 and continuing (Buena Vista, Cerro Gordo, Cherokee, Clay, Dickinson, Emmet, Floyd, Fremont, Harrison, Hancock, Humboldt, Kossuth, Lyon, Mills, Monona, O'Brien, Osceola, Palo Alto, Plymouth, Pocahontas, Pottawattamie, Sioux, Webster, Winnebago, Woodbury, Worth and Wright)",2024-06-28,https://homelandsecurity.iowa.gov/media/387/download?inline
