declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
KS-PROC-1190,Sam Brownback,1190,Fires (March 22nd and continuing (Fires)),2016-03-22,https://www.kansastag.gov/DocumentCenter/View/1190/March-22-State-Declaration-PDF
KS-PROC-1194,Sam Brownback,1194,Fires (April 5th and continuing (Fires)),2016-04-05,https://www.kansastag.gov/DocumentCenter/View/1194/April-5-State-Declaration-PDF
KS-PROC-1191,Sam Brownback,1191,Severe Storms (May 22nd and continuing (Severe Storms)),2016-05-22,https://www.kansastag.gov/DocumentCenter/View/1191/May-22-State-Declaration-PDF
KS-PROC-1189,Sam Brownback,1189,Water (December 25 (Water)),2016-12-25,https://www.kansastag.gov/DocumentCenter/View/1189/December-25-State-Declaration-PDF
KS-PROC-1186,Sam Brownback,1186,Ice (January 13 and continuing (Ice)),2017-01-13,https://www.kansastag.gov/DocumentCenter/View/1186/January-13-State-Declaration-PDF
KS-PROC-1188,Sam Brownback,1188,Wildland Fires (March 5 and continuing (Wildland Fires)),2017-03-05,https://www.kansastag.gov/DocumentCenter/View/1188/March-5-State-Declaration-PDF
KS-PROC-1184,Sam Brownback,1184,Winter Storm and Flooding (April 28 and continuing (Winter Storm and Flooding)),2017-04-28,https://www.kansastag.gov/DocumentCenter/View/1184/April-28-State-Declaration-PDF
KS-PROC-1187,Sam Brownback,1187,Wind and Flooding (July 22-27 (Wind and Flooding)),2017-07-22,https://www.kansastag.gov/DocumentCenter/View/1187/July-22-27-State-Declaration-PDF
KS-PROC-1185,Sam Brownback,1185,Severe Thunderstorms and Flooding (August 3 and continuing (Severe Thunderstorms and Flooding)),2017-08-03,https://www.kansastag.gov/DocumentCenter/View/1185/August-3-State-Declaration-PDF
KS-PROC-1175,Sam Brownback,1175,Winter Storm (January 21-22 (Winter Storm)),2018-01-21,https://www.kansastag.gov/DocumentCenter/View/1175/January-21-22-State-Declaration-PDF
KS-PROC-1176,Jeff Colyer,1176,Wildland Fires (March 4-8 (Wildland Fires)),2018-03-04,https://www.kansastag.gov/DocumentCenter/View/1176/March-4-8-State-Declaration-PDF
KS-PROC-1177,Jeff Colyer,1177,Wildland Fires (March 14-18 (Wildland Fires)),2018-03-14,https://www.kansastag.gov/DocumentCenter/View/1177/March-14-18-State-Declaration-PDF
KS-PROC-1180,Jeff Colyer,1180,Flooding (October 4-15 (Flooding)),2018-10-04,https://www.kansastag.gov/DocumentCenter/View/1180/October-4-15-State-Declaration-PDF
KS-PROC-1179,Jeff Colyer,1179,Winter Storm (November 24-25 (Winter Storm)),2018-11-24,https://www.kansastag.gov/DocumentCenter/View/1179/Novermber-24-25-State-Declaration-PDF
KS-PROC-1178,Jeff Colyer,1178,Winter Storm (November 30 (Winter Storm)),2018-11-30,https://www.kansastag.gov/DocumentCenter/View/1178/November-30-State-Declaration-PDF
KS-PROC-1181,Jeff Colyer,1181,Winter Storm (December 26-27 (Winter Storm)),2018-12-26,https://www.kansastag.gov/DocumentCenter/View/1181/December-26-27-State-Declaration-PDF
KS-PROC-1174,Laura Kelly,1174,Winter Storm (January 18-19 (Winter Storm)),2019-01-18,https://www.kansastag.gov/DocumentCenter/View/1174/January-18-19-State-Declaration-PDF
KS-PROC-1169,Laura Kelly,1169,Wildland Fire (June 15-17 (Wildland Fire)),2020-06-15,https://www.kansastag.gov/DocumentCenter/View/1169/June-15-17-2020-State-Declaration-PDF
KS-PROC-3378,Laura Kelly,3378,Wildfire (October 20 - November 5 (Wildfire)),2022-10-20,https://www.kansastag.gov/DocumentCenter/View/3378/SOK-Oct-20-2022-Wildland-Fire
KS-PROC-2840,Laura Kelly,2840,Wildland Fire (March 31 - April 11 (Wildland Fire)),2023-03-31,https://www.kansastag.gov/DocumentCenter/View/2840
KS-PROC-2836,Laura Kelly,2836,Wildland Fires (April 12-26 (Wildland Fires)),2023-04-12,https://www.kansastag.gov/DocumentCenter/View/2836
KS-PROC-2838,Laura Kelly,2838,Winter Storms (January 7 -21 (Winter Storms)),2024-01-07,https://www.kansastag.gov/DocumentCenter/View/2838
KS-PROC-2839,Laura Kelly,2839,Wildland Fires (Feb 26 -Mar 8 (Wildland Fires)),2024-02-26,https://www.kansastag.gov/DocumentCenter/View/2839
KS-PROC-2835,Laura Kelly,2835,Wildland Fires (April 5-18 (Wildland Fires)),2024-04-05,https://www.kansastag.gov/DocumentCenter/View/2835
KS-PROC-2902,Laura Kelly,2902,Severe Storms (May 6-9 (Severe Storms)),2024-05-06,https://www.kansastag.gov/DocumentCenter/View/2902
KS-PROC-2903,Laura Kelly,2903,Severe Storms (May 19-26 (Severe Storms)),2024-05-19,https://www.kansastag.gov/DocumentCenter/View/2903
KS-PROC-3379,Laura Kelly,3379,Drought (June 7 (Drought)),2024-06-07,https://www.kansastag.gov/DocumentCenter/View/3379/SOK-June-7-2024-Drought
KS-PROC-2921,Laura Kelly,2921,SG Fire (June 23 -26 (SG Fire)),2024-06-23,https://www.kansastag.gov/DocumentCenter/View/2921/June-23-26-Sedgwick-Fire
