declaration_id,hazard_category_override,review_note,source_url
KS-PROC-1190,fire,"Bare 'Fires' word doesn't match the classifier's wildfire/forest fire/brush fire pattern.",
KS-PROC-1194,fire,"Bare 'Fires' word doesn't match the classifier's wildfire/forest fire/brush fire pattern.",
KS-PROC-1188,fire,"Title is 'Wildland Fires' - doesn't match the classifier's compound wildfire/forest fire/brush fire pattern.",
KS-PROC-1176,fire,"Title is 'Wildland Fires' - same bare-fire-word gap.",
KS-PROC-1177,fire,"Title is 'Wildland Fires' - same bare-fire-word gap.",
KS-PROC-1169,fire,"Title is 'Wildland Fire' - same bare-fire-word gap.",
KS-PROC-2840,fire,"Title is 'Wildland Fire' - same bare-fire-word gap.",
KS-PROC-2836,fire,"Title is 'Wildland Fires' - same bare-fire-word gap.",
KS-PROC-2839,fire,"Title is 'Wildland Fires' - same bare-fire-word gap.",
KS-PROC-2835,fire,"Title is 'Wildland Fires' - same bare-fire-word gap.",
KS-PROC-2921,fire,"Title is 'SG Fire' - same bare-fire-word gap.",
KS-PROC-3223,fire,"Title is 'Wildland Fires' - same bare-fire-word gap.",
KS-PROC-3653,fire,"Title is 'Wildland Fire' - same bare-fire-word gap.",
KS-PROC-3733,fire,"Title is 'Wildland Fire' - same bare-fire-word gap.",
