eo_number,date_signed,slug,hazard_guess,is_original_weather_declaration,source_url
2015-118,2015-02-16,State Of Emergency (severe winter storm),winter,True,https://www.fmcsa.dot.gov/sites/fmcsa.dot.gov/files/docs/20150216_KY_DoE_State_of_Emergency.pdf
2024-155,2024-05-23,Juneteenth Executive Branch Holiday,,False,https://governor.ky.gov/attachments/20240523_Executive-Order_2024-155_Juneteenth-Executive-Branch-Holiday.pdf
2025-007,2025-01-04,State Of Emergency Related To Winter Weather Event,winter,True,https://governor.ky.gov/attachments/20250104_Executive-Order_2025-007_State-of-Emergency-Related-to-Winter-Weather-Event.pdf
2025-095,2025-02-14,State Of Emergency Related To Winter Weather Event,winter,True,https://governor.ky.gov/attachments/20250214_Executive-Order_2025-095_State-of-Emergency-Related-to-Winter-Weather-Event.pdf
2025-096,2025-02-14,SOE Prohibiting Price Gouging Related To Continuing Winter Weather,winter,False,https://governor.ky.gov/attachments/20250214_Executive-Order_2025-096_SOE-Prohibiting-Price-Gouging-Related-to-Continuing-Winter-Weather.pdf
2025-210,2025-04-02,State Of Emergency Weather,,False,https://governor.ky.gov/attachments/20250402_Executive-Order_2025-210_State-of-Emergency_Weather.pdf
2025-305,2025-05-16,State Of Emergency Related To Continuing Weather Event,,False,https://governor.ky.gov/attachments/20250516_Executive-Order_2025-305_State-of-Emergency-Related-to-Continuing-Weather-Event.pdf
2026-047,2026-01-23,State Of Emergency Related To Continuing Winter Weather Event,winter,False,https://governor.ky.gov/attachments/20260123_Executive-Order_2026-047_State-of-Emergency-Related-to-Continuing-Winter-Weather-Event.pdf
2026-347,2026-06-09,1st Extension Of State Of Emergency Related To Gas Prices,,False,https://governor.ky.gov/attachments/20260609_Executive-Order_2026-347_1st-Extension-of-State-of-Emergency-Related-to-Gas-Prices.pdf
2026-400,2026-06-27,SOE Relating To Continuting Storms (manually verified original -- see summary report),severe_storm,True,https://governor.ky.gov/attachments/20260627_Executive-Order_2026-400_SOE-Relating-to-Continuting-Storms.pdf
