declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
LA-EO-JML-26-88,LA,Jeff Landry,JML 26-88,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-09-04,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/tgkjwd25/jml-26-088-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-87,LA,Jeff Landry,JML 26-87,emergency_declaration,extension,"Renewal of State of Emergency- Tropical Storm Aurthur- June 18, 2026",2026-09-04,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/y02h5fa5/jml-26-087-renewal-of-state-of-emergency-tropical-storm-aurthur-june-18-2026.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-86,LA,Jeff Landry,JML 26-86,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-08-28,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/fdsnwwy3/jml-26-086-renewal-of-state-of-emergency-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-85,LA,Jeff Landry,JML 26-85,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-08-28,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/2eqnn53p/jml-26-085-renewal-of-state-of-emergency-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-84,LA,Jeff Landry,JML 26-84,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-08-28,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/r1dnvbvz/jml-26-084-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-81,LA,Jeff Landry,JML 26-81,executive_order,administrative,"Emergency Declaration- LA 384 Black Bayou Pontoon Bridge, Calcasieu Parish",2026-08-21,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/35zaahfm/jml-26-081-emergency-declaration-la-384-black-bayou-pontoon-bridge-calcasieu-parish.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-75,LA,Jeff Landry,JML 26-75,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-08-07,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/kkedwytk/jml-26-075-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-73,LA,Jeff Landry,JML 26-73,emergency_declaration,amendment,"Amendment and Renewal of State of Emergency- Tropical Storm Arthur- June 18, 2026",2026-08-06,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/h1tdbmxs/jml-26-073-amendment-and-renewal-of-state-of-emergency-tropical-storm-arthur-6-18-26.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-72,LA,Jeff Landry,JML 26-72,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-07-31,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/qyknis2k/jml-26-072-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-71,LA,Jeff Landry,JML 26-71,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-07-31,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/tfehd4zi/jml-26-071-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-70,LA,Jeff Landry,JML 26-70,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-07-31,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/usrjw5z4/jml-26-070-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-68,LA,Jeff Landry,JML 26-68,emergency_declaration,declaration,"State of Emergency- Tropical Storm Bertha- July 22, 2026",2026-07-22,,true,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/2z1dfrjn/jml-26-068-state-of-emergency-tropical-storm-bertha-july-22-2026.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-66,LA,Jeff Landry,JML 26-66,emergency_declaration,extension,Renewal of State of Emergency- Licensed Bed Capacity for Nursing Facilities,2026-07-07,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/zqihbsfy/jml-26-066-renewal-of-state-of-emergency-licensed-bed-capacity-for-nursing-facilities.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-61,LA,Jeff Landry,JML 26-61,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-07-02,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/vhhiclgh/jml-26-061-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-60,LA,Jeff Landry,JML 26-60,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-07-02,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/1xbhir24/jml-26-060-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-59,LA,Jeff Landry,JML 26-59,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-07-02,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/lbpmdrez/jml-26-059-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-57,LA,Jeff Landry,JML 26-57,emergency_declaration,amendment,"Amended State of Emergency- Tropical Storm Arthur- June 18, 2026",2026-06-23,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/q3afcf03/jml-26-057-amended-tropical-storm-arthur-emergency.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-55,LA,Jeff Landry,JML 26-55,emergency_declaration,declaration,"State of Emergency- Tropical Storm Arthur- June 18, 2026",2026-06-18,,true,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/nofgmgjs/jml-26-055-tropical-storm-arthur-emergency.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-52,LA,Jeff Landry,JML 26-52,emergency_declaration,extension,Renewal of State of Emergency—Cybersecurity Incidents,2026-06-12,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/bg1pbp4r/jml-26-052-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-50,LA,Jeff Landry,JML 26-50,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-06-05,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/ewld1p1g/jml-26-050-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-49,LA,Jeff Landry,JML 26-49,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-06-05,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/oi0lk004/jml-26-049-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-48,LA,Jeff Landry,JML 26-48,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-06-05,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/ynhgafm5/jml-26-048-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-44,LA,Jeff Landry,JML 26-44,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-05-08,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/1rjiylca/jml-26-044-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-43,LA,Jeff Landry,JML 26-43,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-05-08,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/jg5le4bt/jml-26-043-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-42,LA,Jeff Landry,JML 26-42,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-05-08,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/dzqjvayz/jml-26-042-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-46,LA,Jeff Landry,JML 26-46,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-05-05,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/gdoftedb/jml-26-046-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-45,LA,Jeff Landry,JML 26-45,emergency_declaration,extension,Renewal of State of Emergency- City of Tallulah Water System,2026-05-05,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/vhyllyov/jml-26-045-renewal-of-state-of-emergency-city-of-tallulah-water-system.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-38,LA,Jeff Landry,JML 26-38,executive_order,administrative,State of Emergency – Suspension of Closed Party Primary Elections for the Offices of Representative in the United States Congress,2026-04-30,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/uslfocyi/jml-26-038-state-of-emergency-suspension-of-house-race.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-37,LA,Jeff Landry,JML 26-37,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-04-17,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/e01pdyc2/2605exo-jml-26-037-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-36,LA,Jeff Landry,JML 26-36,emergency_declaration,extension,Renewal of State of Emergency- City of Tallulah Water System,2026-04-17,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/mdzezmhl/2605exo-jml-26-036-renewal-of-state-of-emergency-city-of-tallulah-water-system.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-28,LA,Jeff Landry,JML 26-28,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-03-20,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/rmraoahk/jml-26-028-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-27,LA,Jeff Landry,JML 26-27,emergency_declaration,extension,Renewal of State of Emergency- City of Tallulah Water System,2026-03-20,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/xy5lgvtm/jml-26-027-renewal-of-state-of-emergency-city-of-tallulah-water-system.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-26,LA,Jeff Landry,JML 26-26,emergency_declaration,amendment,Amendment to Emergency Response Commission,2026-03-17,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/2sen1t2j/jml-26-026-amendment-to-emergency-response-commission.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-25,LA,Jeff Landry,JML 26-25,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-03-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/peufye2c/jml-26-025-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-24,LA,Jeff Landry,JML 26-24,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-03-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/sxzgydf3/jml-26-024-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-23,LA,Jeff Landry,JML 26-23,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-03-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/hjkhjwfd/jml-26-023-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-20,LA,Jeff Landry,JML 26-20,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-02-20,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/vr4brbmw/jml-26-020-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-19,LA,Jeff Landry,JML 26-19,emergency_declaration,extension,Renewal of State of Emergency- City of Tallulah Water System,2026-02-20,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/lqfov5ys/jml-26-019-renewal-of-state-of-emergency-city-of-tallulah-water-system.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-18,LA,Jeff Landry,JML 26-18,emergency_declaration,extension,Renewal of State of Emergency- Maximum Security Camp J Repairs and Operation Louisiana State Penitentiary,2026-02-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/ixrjbidp/jml-26-018-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-17,LA,Jeff Landry,JML 26-17,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-02-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/zedbp0rz/jml-26-017-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-16,LA,Jeff Landry,JML 26-16,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-02-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/e0dlfjyu/jml-26-016-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-09,LA,Jeff Landry,JML 26-09,executive_order,administrative,State of Emergency- Licensed Bed Capacity for Nursing Facilities,2026-01-23,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/ownmtemz/jml-26-009-executive-order-nursing-homes.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-08,LA,Jeff Landry,JML 26-08,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2026-01-22,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/ymin4xgq/jml-26-008-renewal-of-state-of-emergency-cybersecurity-incidents.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-07,LA,Jeff Landry,JML 26-07,emergency_declaration,extension,Renewal of State of Emergency- City of Tallulah Water System,2026-01-22,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/asmb4r0w/jml-26-007-renewal-of-state-of-emergency-city-of-tallulah-water-system.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-06,LA,Jeff Landry,JML 26-06,emergency_declaration,declaration,"State of Emergency- Winter Weather Preparation - January 22, 2026",2026-01-22,,true,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/e2rkj5w0/jml-26-006-winter-weather-emergency-january-22-2026.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-05,LA,Jeff Landry,JML 26-05,emergency_declaration,extension,"Renewal of State of Emergency- Threat of Subsidence, Subsurface Instability, and Presence of Hydrocarbons in Sulphur Mines Salt Dome Area",2026-01-06,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/5hfhoxot/jml-26-005-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-04,LA,Jeff Landry,JML 26-04,emergency_declaration,extension,Renewal of State of Emergency- Hurricane Ida,2026-01-06,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/k50d2xn2/jml-26-004-emergency-renewal-hurricane-ida.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-03,LA,Jeff Landry,JML 26-03,executive_order,administrative,Emergency Repairs to Camp J- Louisiana State Penitentiary,2026-01-06,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/h5tfvebz/jml-26-003-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentary.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-26-10,LA,Jeff Landry,JML 26-10,executive_order,administrative,State of Emergency- Suspension of Early Voting,2026-01-03,,false,louisiana_state_register_2016_present,docx,https://www.doa.la.gov/media/mdjep1ia/jml-26-010-state-of-emergency-suspension-of-early-voting.docx,https://www.doa.la.gov/doa/osr/executive-orders/
LA-EO-JML-25-149,LA,Jeff Landry,JML 25-149,emergency_declaration,extension,Renewal of State of Disaster- Smitty's Supply Fire,2025-12-30,,false,louisiana_state_register_2016_present,pdf,https://www.doa.la.gov/media/kpzjpsq3/jml-25-149-renewal-of-state-of-disaster-smitty-s-supply-fire.pdf,https://www.doa.la.gov/doa/osr/archives/
LA-EO-JML-25-148,LA,Jeff Landry,JML 25-148,emergency_declaration,extension,Renewal of State of Emergency- Cybersecurity Incidents,2025-12-23,,false,louisiana_state_register_2016_present,pdf,https://www.doa.la.gov/media/z4oatlb4/jml-25-148-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,https://www.doa.la.gov/doa/osr/archives/
