source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
LA-EO-JML-26-86,LA-EO-JML-26-72,extends,JML 26-072,https://www.doa.la.gov/media/fdsnwwy3/jml-26-086-renewal-of-state-of-emergency-hurricane-ida.docx,high
LA-EO-JML-26-85,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/2eqnn53p/jml-26-085-renewal-of-state-of-emergency-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-85,LA-EO-JML-26-71,extends,JML 26-071,https://www.doa.la.gov/media/2eqnn53p/jml-26-085-renewal-of-state-of-emergency-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-84,LA-EO-JML-26-70,extends,JML 26-070,https://www.doa.la.gov/media/r1dnvbvz/jml-26-084-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.docx,high
LA-EO-JML-26-73,LA-EO-JML-26-00,amends,JML  26-0,https://www.doa.la.gov/media/h1tdbmxs/jml-26-073-amendment-and-renewal-of-state-of-emergency-tropical-storm-arthur-6-18-26.docx,high
LA-EO-JML-26-73,LA-EO-JML-26-55,amends,JML  26-055,https://www.doa.la.gov/media/h1tdbmxs/jml-26-073-amendment-and-renewal-of-state-of-emergency-tropical-storm-arthur-6-18-26.docx,high
LA-EO-JML-26-73,LA-EO-JML-26-57,amends,JML 26-057,https://www.doa.la.gov/media/h1tdbmxs/jml-26-073-amendment-and-renewal-of-state-of-emergency-tropical-storm-arthur-6-18-26.docx,high
LA-EO-JML-26-73,LA-EO-JML-26-62,amends,JML 26-062,https://www.doa.la.gov/media/h1tdbmxs/jml-26-073-amendment-and-renewal-of-state-of-emergency-tropical-storm-arthur-6-18-26.docx,high
LA-EO-JML-26-71,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/tfehd4zi/jml-26-071-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-66,LA-EO-JML-26-55,extends,JML 26-055,https://www.doa.la.gov/media/zqihbsfy/jml-26-066-renewal-of-state-of-emergency-licensed-bed-capacity-for-nursing-facilities.docx,high
LA-EO-JML-26-66,LA-EO-JML-26-57,extends,JML  26-057,https://www.doa.la.gov/media/zqihbsfy/jml-26-066-renewal-of-state-of-emergency-licensed-bed-capacity-for-nursing-facilities.docx,high
LA-EO-JML-26-66,LA-EO-JML-26-62,extends,JML 26-062,https://www.doa.la.gov/media/zqihbsfy/jml-26-066-renewal-of-state-of-emergency-licensed-bed-capacity-for-nursing-facilities.docx,high
LA-EO-JML-26-61,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/vhhiclgh/jml-26-061-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-57,LA-EO-JML-26-55,amends,JML 26-055,https://www.doa.la.gov/media/q3afcf03/jml-26-057-amended-tropical-storm-arthur-emergency.docx,high
LA-EO-JML-26-50,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/ewld1p1g/jml-26-050-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-44,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/1rjiylca/jml-26-044-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-26,LA-EO-JML-24-121,amends,JML  24- 121,https://www.doa.la.gov/media/2sen1t2j/jml-26-026-amendment-to-emergency-response-commission.docx,high
LA-EO-JML-26-25,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/peufye2c/jml-26-025-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-18,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/ixrjbidp/jml-26-018-emergency-renewal-repairs-to-camp-j-louisiana-state-penitentiary.docx,high
LA-EO-JML-26-07,LA-EO-JML-25-01,extends,JML 25- 1,https://www.doa.la.gov/media/asmb4r0w/jml-26-007-renewal-of-state-of-emergency-city-of-tallulah-water-system.docx,high
LA-EO-JML-25-149,LA-EO-JML-25-117,extends,JML 25-117,https://www.doa.la.gov/media/kpzjpsq3/jml-25-149-renewal-of-state-of-disaster-smitty-s-supply-fire.pdf,high
LA-EO-JML-25-149,LA-EO-JML-25-141,extends,JML 25-141,https://www.doa.la.gov/media/kpzjpsq3/jml-25-149-renewal-of-state-of-disaster-smitty-s-supply-fire.pdf,high
LA-EO-JML-25-148,LA-EO-JML-25-140,extends,JML 25-140,https://www.doa.la.gov/media/z4oatlb4/jml-25-148-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-147,LA-EO-JML-25-139,extends,JML 25-139,https://www.doa.la.gov/media/cgxap2dh/jml-25-147-renewal-of-state-of-emergency-city-of-tallulah-water-system.pdf,high
LA-EO-JML-25-145,LA-EO-JML-25-136,extends,JML 25-136,https://www.doa.la.gov/media/f4fnejz4/jml-25-145-renewal-of-state-of-emergency-sulphur-mines-salt-dome.pdf,high
LA-EO-JML-25-144,LA-EO-JML-25-135,extends,JML 25-135,https://www.doa.la.gov/media/q02opd0g/jml-25-144-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-143,LA-EO-JML-25-84,extends,JML 25-084,https://www.doa.la.gov/media/byibrkgj/jml-25-143-renewal-of-state-of-emergency-camp-j-repairs-and-operation-lsp.pdf,high
LA-EO-JML-25-141,LA-EO-JML-25-117,extends,JML 25-117,https://www.doa.la.gov/media/klmb25jm/jml-25-141-renewal-of-state-of-disaster-smitty-s-supply-fire.pdf,high
LA-EO-JML-25-141,LA-EO-JML-25-131,extends,JML 25-131,https://www.doa.la.gov/media/klmb25jm/jml-25-141-renewal-of-state-of-disaster-smitty-s-supply-fire.pdf,high
LA-EO-JML-25-140,LA-EO-JML-25-126,extends,JML 25-126,https://www.doa.la.gov/media/m5mcqpb1/jml-25-140-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-136,LA-EO-JML-25-122,extends,JML 25-122,https://www.doa.la.gov/media/nfffs2pi/jml-25-136-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.pdf,high
LA-EO-JML-25-135,LA-EO-JML-25-121,extends,JML 25-121,https://www.doa.la.gov/media/dkbfpftf/jml-25-135-emergency-renewal-hurricane-ida.pdf,high
LA-EO-JML-25-131,LA-EO-JML-25-117,extends,JML 25-117,https://www.doa.la.gov/media/enydb2hb/jml-25-131-renewal-of-state-of-disaster-smitty-s-supply-fire.pdf,high
LA-EO-JML-25-126,LA-EO-JML-25-114,extends,JML 25-114,https://www.doa.la.gov/media/40hjjvps/jml-25-126-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-122,LA-EO-JML-25-108,extends,JML 25-108,https://www.doa.la.gov/media/mjpf1z1t/jml-25-122-renewal-of-state-of-emergnecy-threat-of-subsidence-subsurface-instability-and-presence-of-hydrocarbons-in-sulphur-mines-salt-dome-area.pdf,high
LA-EO-JML-25-121,LA-EO-JML-25-107,extends,JML 25-107,https://www.doa.la.gov/media/m1kldc3c/jml-25-121-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-114,LA-EO-JML-25-99,extends,JML 25-099,https://www.doa.la.gov/media/yvida4km/jml-25-114-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-108,LA-EO-JML-25-97,extends,JML 25-097,https://www.doa.la.gov/media/y4hhqbeh/jml-25-108-renewal-of-state-of-emergency-sulphur-mines-salt-dome.pdf,high
LA-EO-JML-25-107,LA-EO-JML-25-96,extends,JML 25-096,https://www.doa.la.gov/media/3prdtmwv/jml-25-107-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-99,LA-EO-JML-25-88,extends,JML 25-088,https://www.doa.la.gov/media/pgdm4ai1/jml-25-99-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-97,LA-EO-JML-25-86,extends,JML 25-086,https://www.doa.la.gov/media/uvcbt3wp/jml-25-97-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.pdf,high
LA-EO-JML-25-96,LA-EO-JML-25-85,extends,JML 25-085,https://www.doa.la.gov/media/dnqpgcnn/jml-25-96-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-88,LA-EO-JML-25-80,extends,JML 25-080,https://www.doa.la.gov/media/51el05cn/jml-25-88-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-86,LA-EO-JML-25-77,extends,JML 25-077,https://www.doa.la.gov/media/xrbpou54/jml-25-086-state-of-emergency-sulphur-mines-salt-dome-area.pdf,high
LA-EO-JML-25-85,LA-EO-JML-25-76,extends,JML 25-076,https://www.doa.la.gov/media/bq1dpwhy/jml-25-085-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-82,LA-EO-JML-25-71,extends,JML 25-071,https://www.doa.la.gov/media/pslp04yp/jml-25-082-state-of-emergency-office-of-broadband-development-and-connectivity.pdf,high
LA-EO-JML-25-80,LA-EO-JML-25-70,extends,JML 25-070,https://www.doa.la.gov/media/2dejg4c0/jml-25-80-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-79,LA-EO-JML-25-32,amends,JML 25-032,https://www.doa.la.gov/media/xb3bglyw/jml-25-79-amended-state-of-emergency-office-of-motor-vehicles.pdf,high
LA-EO-JML-25-79,LA-EO-JML-25-69,amends,JML 25-069,https://www.doa.la.gov/media/xb3bglyw/jml-25-79-amended-state-of-emergency-office-of-motor-vehicles.pdf,high
LA-EO-JML-25-77,LA-EO-JML-25-66,extends,JML 25-066,https://www.doa.la.gov/media/q23moeos/jml-25-77-state-of-emergency-sulphur-mines-salt-dome.pdf,high
LA-EO-JML-25-76,LA-EO-JML-25-67,extends,JML 25-067,https://www.doa.la.gov/media/p3nkyj1l/jml-25-76-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-70,LA-EO-JML-25-62,extends,JML 25-062,https://www.doa.la.gov/media/spupvoic/jml-25-70-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-69,LA-EO-JML-25-32,amends,JML 25-032,https://www.doa.la.gov/media/2zqhsnlz/jml-25-69-amended-state-of-emergency-office-of-motor-vehicles.pdf,high
LA-EO-JML-25-69,LA-EO-JML-25-61,amends,JML 25-061,https://www.doa.la.gov/media/2zqhsnlz/jml-25-69-amended-state-of-emergency-office-of-motor-vehicles.pdf,high
LA-EO-JML-25-67,LA-EO-JML-25-56,extends,JML 25-056,https://www.doa.la.gov/media/ct4jz4ci/jml-25-67-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-66,LA-EO-JML-25-55,extends,JML 25-055,https://www.doa.la.gov/media/tx0i5rok/jml-25-66-renewal-of-state-of-emergency-sulphur-mines-salt-dome-area.pdf,high
LA-EO-JML-25-62,LA-EO-JML-25-45,extends,JML 25-045,https://www.doa.la.gov/media/gtojdizz/jml-25-062-renewal-of-state-of-emergency-cybersecurity-incidents.pdf,high
LA-EO-JML-25-61,LA-EO-JML-25-32,amends,JML 25-032,https://www.doa.la.gov/media/kqznzqob/jml-25-061-amended-state-of-emergency-office-of-motor-vehicles.pdf,high
LA-EO-JML-25-61,LA-EO-JML-25-43,amends,JML 25-043,https://www.doa.la.gov/media/kqznzqob/jml-25-061-amended-state-of-emergency-office-of-motor-vehicles.pdf,high
LA-EO-JML-25-56,LA-EO-JML-25-42,extends,JML 25-042,https://www.doa.la.gov/media/ta5bzkl3/jml-25-056-renewal-of-state-of-emergency-hurricane-ida.pdf,high
LA-EO-JML-25-55,LA-EO-JML-25-41,extends,JML 25-41,https://www.doa.la.gov/media/s0jlyllj/jml-25-055-sulphur-mines-salt-dome-renewal.pdf,high
