declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344467,57445,2011-08-29 14:09:00,2011-08-30 07:56:00,C,county/county-equivalent,1,ANDROSCOGGIN,Flood,,,0,0,0.00K,0.00K,Official NWS Observations,Tropical Storm Irene moving north through western New England resulted in very heavy rainfall across western Maine. Several main stem rivers rose above flood stage resulting in little if any damage.,"Heavy rain from Tropical Storm Irene resulted in flooding on the Androscoggin River at Auburn (flood stage 13.0 ft), which crested at 13.5 ft."
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344438,57437,2011-08-28 13:00:00,2011-08-28 21:00:00,C,county/county-equivalent,7,FRANKLIN,Flash Flood,,,0,0,61.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England produced very heavy rain across western Maine. Flash flooding in the northwestern part of the state resulted in over a million dollars in damages to roads and bridges in Oxford and Franklin Counties.,Heavy rain from Tropical Storm Irene resulted in flash flooding in Sandy River Plantation.
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344436,57437,2011-08-28 13:30:00,2011-08-28 21:00:00,C,county/county-equivalent,7,FRANKLIN,Flash Flood,,,0,0,181.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England produced very heavy rain across western Maine. Flash flooding in the northwestern part of the state resulted in over a million dollars in damages to roads and bridges in Oxford and Franklin Counties.,Heavy rain from Tropical Storm Irene resulted in flash flooding in Phillips.
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344425,57437,2011-08-28 14:00:00,2011-08-28 21:00:00,C,county/county-equivalent,7,FRANKLIN,Flash Flood,,,0,0,500.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England produced very heavy rain across western Maine. Flash flooding in the northwestern part of the state resulted in over a million dollars in damages to roads and bridges in Oxford and Franklin Counties.,Heavy rain from Tropical Storm Irene resulted in flash flooding in Carrabasset Valley.
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344571,57455,2011-08-28 14:00:00,2011-08-28 21:00:00,C,county/county-equivalent,7,FRANKLIN,Flood,,,0,0,50.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England resulted in very heavy rainfall in western Maine. Small rivers and streams throughout Oxford and Franklin counties flooded resulting in numerous road washouts.,Heavy rain associated with Tropical Storm Irene sent small rivers and streams into flood throughout Franklin County.
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344429,57437,2011-08-28 14:30:00,2011-08-28 21:00:00,C,county/county-equivalent,7,FRANKLIN,Flash Flood,,,0,0,83.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England produced very heavy rain across western Maine. Flash flooding in the northwestern part of the state resulted in over a million dollars in damages to roads and bridges in Oxford and Franklin Counties.,Heavy rain from Tropical Storm Irene resulted in flash flooding in Kingfield.
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344505,57445,2011-08-29 10:46:00,2011-08-29 23:49:00,C,county/county-equivalent,11,KENNEBEC,Flood,,,0,0,0.00K,0.00K,Official NWS Observations,Tropical Storm Irene moving north through western New England resulted in very heavy rainfall across western Maine. Several main stem rivers rose above flood stage resulting in little if any damage.,"Heavy rain from Tropical Storm Irene resulted in flooding on the Kennebec River at North Sidney (flood stage 17.0 ft), which crested at 18.3 ft."
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344509,57445,2011-08-29 11:55:00,2011-08-30 05:03:00,C,county/county-equivalent,11,KENNEBEC,Flood,,,0,0,0.00K,0.00K,Official NWS Observations,Tropical Storm Irene moving north through western New England resulted in very heavy rainfall across western Maine. Several main stem rivers rose above flood stage resulting in little if any damage.,"Heavy rain from Tropical Storm Irene resulted in flooding on the Kennebec River at Augusta (flood stage 12.0 ft), which crested at 14.1 ft."
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344381,57437,2011-08-28 13:30:00,2011-08-28 21:00:00,C,county/county-equivalent,17,OXFORD,Flash Flood,,,0,0,55.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England produced very heavy rain across western Maine. Flash flooding in the northwestern part of the state resulted in over a million dollars in damages to roads and bridges in Oxford and Franklin Counties.,Heavy rain from Tropical Storm Irene resulted in flash flooding in Andover.
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,344392,57437,2011-08-28 13:30:00,2011-08-28 21:00:00,C,county/county-equivalent,17,OXFORD,Flash Flood,,,0,0,13.00K,0.00K,Emergency Manager,Tropical Storm Irene moving north through western New England produced very heavy rain across western Maine. Flash flooding in the northwestern part of the state resulted in over a million dollars in damages to roads and bridges in Oxford and Franklin Counties.,Heavy rain from Tropical Storm Irene resulted in flash flooding in Byron.
