declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,C,county/county-equivalent,7,FRANKLIN,0,0,875000.0,0.0,"Flash Flood, Flood",5,875000.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,C,county/county-equivalent,17,OXFORD,0,0,568000.0,0.0,"Flash Flood, Flood",9,568000.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,C,county/county-equivalent,25,SOMERSET,0,0,25000.0,0.0,Flood,2,25000.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,C,county/county-equivalent,1,ANDROSCOGGIN,0,0,0.0,0.0,Flood,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,C,county/county-equivalent,11,KENNEBEC,0,0,0.0,0.0,Flood,2,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,C,county/county-equivalent,21,PISCATAQUIS,0,0,0.0,0.0,Flash Flood,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,1,NORTHWEST AROOSTOOK,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,2,NORTHEAST AROOSTOOK,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,3,NORTHERN SOMERSET,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,4,NORTHERN PISCATAQUIS,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,5,NORTHERN PENOBSCOT,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,6,SOUTHEAST AROOSTOOK,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,7,NORTHERN OXFORD,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,8,NORTHERN FRANKLIN,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,9,CENTRAL SOMERSET,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,10,CENTRAL PISCATAQUIS,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,11,CENTRAL PENOBSCOT,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,12,SOUTHERN OXFORD,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,13,SOUTHERN FRANKLIN,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,14,SOUTHERN SOMERSET,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,15,SOUTHERN PENOBSCOT,0,0,0.0,0.0,Tropical Storm,1,0.0
ME-ACTION-2011-08-26-state-of-emergency-declaration,,Paul R. LePage,State of Emergency Declaration,2011-08-26,https://www.maine.gov/governor/lepage/official-documents/executive-orders-archive.html,Z,NWS forecast zone,16,INTERIOR HANCOCK,0,0,0.0,0.0,Tropical Storm,1,0.0
