declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
ME-EO-25-26-6,ME,Janet T. Mills,25/26-6,executive_order,administrative,Executive Order 6: An Order Continuing the Work of Maine’s Elder Justice Coordinating Partnership,2026-06-15,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2026-06-executive-order-6-order-continuing-work-maines-elder,https://www.maine.gov/governor/mills/official_documents
ME-EO-25-26-5,ME,Janet T. Mills,25/26-5,executive_order,administrative,Executive Order 5: An Order Establishing the Maine Data Center Advisory Council,2026-04-29,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2026-04-executive-order-5-order-establishing-maine-data-center,https://www.maine.gov/governor/mills/official_documents
ME-EO-25-26-8,ME,Janet T. Mills,25/26-8,executive_order,termination,"An Order Rescinding Executive Order 8 FY 11/12 (January 6, 2011)",2025-12-15,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2025-12-order-rescinding-executive-order-8-fy-1112-january-6,https://www.maine.gov/governor/mills/official_documents
ME-EO-25-26-2,ME,Janet T. Mills,25/26-2,executive_order,administrative,Executive Order 2: An Order Establishing the Maine Life Sciences Innovation Center,2025-09-18,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2025-09-executive-order-2-order-establishing-maine-life,https://www.maine.gov/governor/mills/official_documents
ME-EO-25-26-1,ME,Janet T. Mills,25/26-1,executive_order,administrative,Executive Order 1: An Order Updating the State of Maine Emergency Response and Disaster Recovery Teams,2025-09-18,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2025-09-executive-order-1-order-updating-state-maine-emergency,https://www.maine.gov/governor/mills/official_documents
ME-EO-24-25-1,ME,Janet T. Mills,24/25-1,executive_order,administrative,Executive Order 1: An Order Establishing the The Governor’s Commission on School Construction,2024-10-04,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-10-executive-order-1-order-establishing-governors,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-8,ME,Janet T. Mills,23/24-8,executive_order,administrative,Executive Order 8: An Order Establishing the Maine Infrastructure Rebuilding and Resilience Commission,2024-05-21,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-05-executive-order-8-order-establishing-maine,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-7,ME,Janet T. Mills,23/24-7,executive_order,administrative,Executive Order 7: An Order Regarding Women in Construction,2024-05-06,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-05-executive-order-7-order-regarding-women-construction,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-6,ME,Janet T. Mills,23/24-6,executive_order,administrative,"Executive Order 6: An Order Establishing a Process to Hear a Complaint on the Removal of a Sheriff Pursuant to Art. IX, Section 10, of the Maine Constitution",2024-02-09,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-02-executive-order-6-order-establishing-process-hear,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-5,ME,Janet T. Mills,23/24-5,executive_order,administrative,Executive Order 5: An Order to Lead by Example in State Owned and Leased Buildings,2024-01-12,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-01-executive-order-5-order-lead-example-state-owned-and,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-4,ME,Janet T. Mills,23/24-4,executive_order,administrative,Executive Order 4: An Order Establishing the Independent Commission to Investigate the Facts of the Tragedy in Lewiston,2023-11-09,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-01-executive-order-4-order-establishing-independent,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-3,ME,Janet T. Mills,23/24-3,executive_order,administrative,Executive Order 3: An Order Governing the Work of the Maine Justice Assistance Council,2023-09-19,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-01-executive-order-3-order-governing-work-maine-justice,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-2,ME,Janet T. Mills,23/24-2,executive_order,administrative,Executive Order 2: An Order to Strengthen Maine’s Economy and Communities by Developing an Office of New Americans,2023-08-02,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-01-executive-order-2-order-strengthen-maines-economy-and,https://www.maine.gov/governor/mills/official_documents
ME-EO-23-24-1,ME,Janet T. Mills,23/24-1,executive_order,administrative,Executive Order 1: An Order Establishing a Committee to Develop and Implement a Minimum Wage Bill for Agricultural Workers,2023-07-25,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2024-01-executive-order-1-order-establishing-committee-develop,https://www.maine.gov/governor/mills/official_documents
ME-EO-19-20-4A,ME,Janet T. Mills,19/20-4A,executive_order,amendment,"Executive Order 4A: An Order Regarding Administrative Rulemaking (Amended, PDF)",2023-03-30,,false,mills_official_documents,pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%204-A%20FY%202019.pdf,https://www.maine.gov/governor/mills/official_documents
ME-EO-19-20-4,ME,Janet T. Mills,19/20-4,executive_order,administrative,Executive Order 4: An Order Regarding Administrative Rulemaking,2023-03-30,,false,mills_official_documents,pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/Executive%20Order%204.pdf,https://www.maine.gov/governor/mills/official_documents
ME-EO-21-22-4,ME,Janet T. Mills,21/22-4,executive_order,administrative,Executive Order 4: An Order Protecting Access to Reproductive Health Care Services in Maine,2022-07-05,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2022-07-executive-order-4-order-protecting-access-reproductive,https://www.maine.gov/governor/mills/official_documents
ME-EO-21-22-3,ME,Janet T. Mills,21/22-3,executive_order,administrative,Executive Order 3: An Order to Create a Cabinet on Aging,2022-06-13,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2022-06-executive-order-3-order-create-cabinet-aging,https://www.maine.gov/governor/mills/official_documents
ME-EO-21-22-2,ME,Janet T. Mills,21/22-2,executive_order,administrative,Executive Order 2: An Order Establishing the Governor's Infrastructure Implementation Committee,2022-04-25,,false,mills_official_documents,html,https://www.maine.gov/governor/mills/official_documents/executive-orders/2022-08-executive-order-2-order-establishing-governors,https://www.maine.gov/governor/mills/official_documents
ME-EO-21-22-1,ME,Janet T. Mills,21/22-1,executive_order,administrative,"Executive Order 1: An Order Establishing the Governor's Advisory Council on Military Sexual Trauma to More Effectively Prevent, Deter, and Prosecute Sexual Assault and Sexual Harassment",2022-03-23,,false,mills_official_documents,pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/3-24-22%20EO.pdf,https://www.maine.gov/governor/mills/official_documents
ME-EO-20-21-41,ME,Janet T. Mills,20/21-41,executive_order,administrative,Executive Order 41: An Order Establishing the Governor's Review of the Aerial Application of Herbicides for Forest Management,2021-06-30,,false,mills_official_documents,pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO41%20FY2021.pdf,https://www.maine.gov/governor/mills/official_documents
ME-EO-20-21-40,ME,Janet T. Mills,20/21-40,executive_order,termination,Executive Order 40: An Order Providing an Orderly Transition Following the Termination of the State of Civil Emergency,2021-06-30,,false,mills_official_documents,pdf,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2098%2040.pdf,https://www.maine.gov/governor/mills/official_documents
