source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
ME-EO-25-26-8,ME-EO-11-12-8,terminates,Executive Order 8 FY 11/12,title_or_document_text,high
ME-EO-19-20-4A,ME-EO-4A,amends,Executive Order 4A,title_or_document_text,high
ME-EO-20-21-40,ME-EO-40,terminates,Executive Order 40,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-14,terminates,Executive Order 14 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-20-21-39,terminates,"Executive Order 39 FY
20/21",title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-16,terminates,Executive Order 16 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-20,terminates,Executive Order 20 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-27,terminates,Executive Order 27 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-35,terminates,Executive Order 35 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-3,terminates,Executive Order 3 ,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-46,terminates,Executive Order 46 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-48,terminates,Executive Order 48 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-19-20-52,terminates,Executive Order 52 FY 19/20,title_or_document_text,high
ME-EO-20-21-40,ME-EO-20-21-3,terminates,Executive Order 3 FY 20/21,title_or_document_text,high
ME-EO-20-21-39,ME-EO-39,terminates,Executive Order 39,title_or_document_text,high
ME-EO-20-21-39,ME-EO-19-20-49,terminates,Executive Order 49 FY 19/20,title_or_document_text,high
ME-EO-20-21-39,ME-EO-20-21-37,terminates,Executive Order 37 FY 20/21,title_or_document_text,high
ME-EO-20-21-39,ME-EO-20-21-14,terminates,"Executive Order 14 FY
20/21",title_or_document_text,high
ME-EO-20-21-38,ME-EO-38,amends,Executive Order 38,title_or_document_text,high
ME-EO-20-21-38,ME-EO-19-20-14,amends,Executive Order 14 FY 19/20,title_or_document_text,high
ME-EO-20-21-38,ME-EO-19-20-28,amends,Executive Order 28 FY 19/20,title_or_document_text,high
ME-EO-20-21-38,ME-EO-20-21-35,amends,Executive Order 35 FY 20/21,title_or_document_text,high
ME-EO-20-21-37,ME-EO-37,amends,Executive Order 37,title_or_document_text,high
ME-EO-20-21-37,ME-EO-19-20-49,amends,Executive Order 49 FY 19/20,title_or_document_text,high
ME-EO-20-21-37,ME-EO-20-21-16,amends,Executive Order 16 FY 20/21,title_or_document_text,high
ME-EO-20-21-35,ME-EO-35,amends,Executive Order 35,title_or_document_text,high
