declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
MD-EO-01-01-2026-07,Wes Moore,01.01.2026.07,Declaration of a State of Preparedness - Severe Weather (EO# 01.01.2026.07),2026-03-15,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-05,Wes Moore,01.01.2026.05,Declaration of a State of Emergency - Winter Storm (EO# 01.01.2026.05),2026-02-22,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-04,Wes Moore,01.01.2026.04,Declaration of a State of Preparedness - Winter Storm (EO# 01.01.2026.04),2026-02-21,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-02,Wes Moore,01.01.2026.02,Declaration of a State of Emergency - Winter Storm (EO# 01.01.2026.02),2026-01-23,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-01,Wes Moore,01.01.2026.01,Declaration of a State of Preparedness - Winter Storm (EO# 01.01.2026.01),2026-01-21,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2025-12,Wes Moore,01.01.2025.12,"Declaration of a State of Emergency (EO# 01.01.2025.12) — WHEREAS Having been advised and informed by the Maryland Department of Emergency Management that, as a result of the severe weather that impacted Allegany and Garrett Counties on May 13, 2025, which included flash flooding, evacuations, sheltering, and search and rescue operations, actions are needed to support damage assessment and recovery activities;",2025-05-15,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2025-02,Wes Moore,01.01.2025.02,Declaration of a State of Emergency - Winter Storm (EO# 01.01.2025.02),2025-01-05,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2025-01,Wes Moore,01.01.2025.01,Declaration of a State of Preparedness - Winter Storm (EO# 01.01.2025.01),2025-01-04,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2024-26,Wes Moore,01.01.2024.26,Declaring a State of Preparedness - Severe Weather Impact of Hurricane Debby (EO# 01.01.2024.26),2024-08-06,https://governor.maryland.gov/official-actions/executive-orders?page=1
MD-EO-01-01-2024-03,Wes Moore,01.01.2024.03,"Declaration of a State of Preparedness (EO# 01.01.2024.03) — WHEREAS, Having been advised and informed by the Maryland Department of Emergency Management that, as a result of the severe weather expected to impact the State, there is a significant risk of: tidal and aerial flooding resulting from ground saturation;",2024-01-09,https://governor.maryland.gov/official-actions/executive-orders?page=1
MD-EO-01-01-2023-13,Wes Moore,01.01.2023.13,Declaration of a State of Emergency (EO# 01.01.2023.13) — Tropical Storm Ophelia,2023-09-22,https://governor.maryland.gov/official-actions/executive-orders?page=1
