declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
MD-EO-01-01-2026-15,MD,Wes Moore,01.01.2026.15,executive_order,administrative,EO 01.01.2026.15 State of Maryland Workplace Substance Misuse Policy,2026-09-04,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/1071,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-14,MD,Wes Moore,01.01.2026.14,executive_order,administrative,"EO 01.01.2026.14 – Proclamation Convening the General Assembly of Maryland in Extraordinary Session at Annapolis, Maryland Commencing August 3, 2026",2026-07-17,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/1009,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-13,MD,Wes Moore,01.01.2026.13,emergency_declaration,termination,EO 01.01.2026.13 – Rescission of Executive Order 01.01.2026.12,2026-07-07,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/1000,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-12,MD,Wes Moore,01.01.2026.12,emergency_declaration,declaration,EO 01.01.2026.12 – Declaration of a State of Preparedness - Extreme Heat Event,2026-06-30,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/989,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-11,MD,Wes Moore,01.01.2026.11,executive_order,administrative,EO 01.01.2026.11 – Creation of the Maryland Immigrant Rights Protection Task Force,2026-06-05,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/936,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-10,MD,Wes Moore,01.01.2026.10,executive_order,administrative,EO 01.01.2026.10 – Use of In-State Wood for Publicly Funded State Construction (EO 01.01.2026.10),2026-06-01,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/920,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-09,MD,Wes Moore,01.01.2026.09,executive_order,administrative,Use of Confidential Information and Prediction Markets (EO# 01.01.2026.09),2026-04-24,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/373,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-08,MD,Wes Moore,01.01.2026.08,emergency_declaration,termination,Rescission of Executive Order 01.01.2026.07 Declaration of a State of Preparedness (EO# 01.01.2026.08),2026-03-17,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/374,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-07,MD,Wes Moore,01.01.2026.07,emergency_declaration,declaration,Declaration of a State of Preparedness - Severe Weather (EO# 01.01.2026.07),2026-03-15,,true,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/19,https://governor.maryland.gov/official-actions/executive-orders?page=0
MD-EO-01-01-2026-06,MD,Wes Moore,01.01.2026.06,emergency_declaration,termination,"Rescission of Executive Orders 01.01.2026.01, 01.01.2026.04 and 01.01.2026.05 (EO# 01.01.2026.06)",2026-02-26,,false,moore_executive_order_archive,pdf,https://governor.maryland.gov/media/20,https://governor.maryland.gov/official-actions/executive-orders?page=0
