source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
MD-EO-01-01-2026-13,MD-EO-01-01-2026-12,terminates,01.01.2026.12,official_archive_title,high
MD-EO-01-01-2026-08,MD-EO-01-01-2026-07,terminates,01.01.2026.07,official_archive_title,high
MD-EO-01-01-2026-06,MD-EO-01-01-2026-01,terminates,01.01.2026.01,official_archive_title,high
MD-EO-01-01-2026-06,MD-EO-01-01-2026-04,terminates,01.01.2026.04,official_archive_title,high
MD-EO-01-01-2026-06,MD-EO-01-01-2026-05,terminates,01.01.2026.05,official_archive_title,high
MD-EO-01-01-2026-03,MD-EO-01-01-2026-02,terminates,01.01.2026.02,official_archive_title,high
MD-EO-01-01-2025-03,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-37,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-36,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-35,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-32,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-28,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-27,MD-EO-01-01-2024-26,terminates,01.01.2024.26,official_archive_title,high
MD-EO-01-01-2024-24,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-23,MD-EO-01-01-2024-21,terminates,01.01.2024.21,official_archive_title,high
MD-EO-01-01-2024-22,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-17,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-16,MD-EO-01-01-2024-09,extends,01.01.2024.09,official_archive_title,high
MD-EO-01-01-2024-07,MD-EO-01-01-2024-03,terminates,01.01.2024.03,official_archive_title,high
MD-EO-01-01-2023-15,MD-EO-01-01-2023-13,terminates,01.01.2023.13,official_archive_title,high
MD-EO-01-01-2023-15,MD-EO-01-01-2023-14,terminates,01.01.2023.14,official_archive_title,high
