declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,18,WESTERN PLYMOUTH,1,0,45000.0,0.0,High Wind,1,45000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,12,SOUTHERN WORCESTER,0,2,40000.0,0.0,High Wind,1,40000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,14,SOUTHEAST MIDDLESEX,0,0,75000.0,0.0,High Wind,1,75000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,20,SOUTHERN BRISTOL,0,0,60000.0,0.0,High Wind,1,60000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,19,EASTERN PLYMOUTH,0,0,42000.0,0.0,"High Wind, Strong Wind",2,42000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,22,BARNSTABLE,0,0,42000.0,0.0,"High Wind, Strong Wind",2,42000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,7,EASTERN ESSEX,0,0,40000.0,0.0,High Wind,1,40000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,13,WESTERN NORFOLK,0,0,35000.0,0.0,High Wind,1,35000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,16,EASTERN NORFOLK,0,0,35000.0,0.0,High Wind,1,35000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,17,NORTHERN BRISTOL,0,0,15000.0,0.0,High Wind,1,15000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,21,SOUTHERN PLYMOUTH,0,0,10000.0,0.0,High Wind,2,10000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,5,WESTERN MIDDLESEX,0,0,8000.0,0.0,High Wind,1,8000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,6,WESTERN ESSEX,0,0,5000.0,0.0,High Wind,1,5000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,15,SUFFOLK,0,0,1000.0,0.0,High Wind,1,1000.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,1,NORTHERN BERKSHIRE,0,0,0.0,0.0,Winter Storm,1,0.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,8,WESTERN HAMPSHIRE,0,0,0.0,0.0,Winter Storm,1,0.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,23,DUKES,0,0,0.0,0.0,High Wind,1,0.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,24,NANTUCKET,0,0,0.0,0.0,High Wind,2,0.0
MA-PROC-2018-03-03-7107885f,,Charlie Baker,Governor Baker Declares State of Emergency for Winter Storm Riley,2018-03-03,https://archives.lib.state.ma.us/entities/journalfile/7107885f-b681-4d08-9f60-7d73c3a882b5,Z,NWS forecast zone,25,SOUTHERN BERKSHIRE,0,0,0.0,0.0,Winter Storm,1,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,23,PLYMOUTH,0,0,5000.0,0.0,"Flash Flood, Flood",2,5000.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,1,BARNSTABLE,0,0,0.0,0.0,Flash Flood,1,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,5,BRISTOL,0,0,0.0,0.0,"Flash Flood, Flood",8,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,13,HAMPDEN,0,0,0.0,0.0,Flash Flood,4,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,15,HAMPSHIRE,0,0,0.0,0.0,Flood,1,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,17,MIDDLESEX,0,0,0.0,0.0,Flood,5,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,21,NORFOLK,0,0,0.0,0.0,Flood,2,0.0
MA-PROC-2023-09-12-5a06b71f,,Maura Healey,Governor Healey Declares State of Emergency Over Catastrophic Flood Damage,2023-09-12,https://archives.lib.state.ma.us/entities/journalfile/5a06b71f-697e-4740-a072-d326b71be441,C,county/county-equivalent,27,WORCESTER,0,0,0.0,0.0,"Flash Flood, Flood",11,0.0
MA-PROC-2023-09-15-1f694eff,,Maura Healey,"Governor Healey Issues Emergency Declaration, Activates National Guard Ahead of Hurricane Lee",2023-09-15,https://archives.lib.state.ma.us/entities/journalfile/1f694eff-422f-4bd4-a520-4e2bb8c69662,Z,NWS forecast zone,22,BARNSTABLE,0,0,11700.0,0.0,Tropical Storm,10,11700.0
MA-PROC-2023-09-15-1f694eff,,Maura Healey,"Governor Healey Issues Emergency Declaration, Activates National Guard Ahead of Hurricane Lee",2023-09-15,https://archives.lib.state.ma.us/entities/journalfile/1f694eff-422f-4bd4-a520-4e2bb8c69662,C,county/county-equivalent,5,BRISTOL,0,0,5000.0,0.0,Tornado,1,5000.0
