source_order_id,target_order_id,relationship_type,relationship_text,relationship_source,confidence
MA-EO-655,MA-EO-650,amends,Amending Executive Order No. 650,official_metadata_or_text,medium
MA-EO-653,MA-EO-652,amends,Amending Executive Order No. 652,official_metadata_or_text,medium
MA-EO-653,MA-EO-652,extends_duration,EXTEND THE TEMPORARY BAN ON MOTOR VEHICLE TRAVEL TO DUKES COUNTY Executive Order No. 652,official_metadata_or_text,medium
MA-EO-636,MA-EO-598,terminates,revoke and rescind Executive Order No. 598,official_metadata_or_text,medium
MA-EO-635,MA-EO-368,terminates,revoke Executive Order 368,official_metadata_or_text,medium
MA-EO-634,MA-EO-631,amends,Amendment to Executive Order 631,official_metadata_or_text,medium
MA-EO-613,MA-EO-573,terminates,revoke Executive Order No. 573,official_metadata_or_text,medium
MA-EO-607,MA-EO-595,terminates,Rescinding Executive Order No. 595,official_metadata_or_text,medium
MA-EO-601,MA-EO-600,terminates,Rescinding Executive Order No. 600,official_metadata_or_text,medium
MA-EO-598,MA-EO-374,supersedes,Superseding Executive Order No. 374,official_metadata_or_text,medium
MA-EO-598,MA-EO-374,terminates,revoke and rescind Executive Order No. 374,official_metadata_or_text,medium
MA-EO-603,MA-EO-593,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-592,MA-EO-526,supersedes,Superseding Executive Order No. 526,official_metadata_or_text,medium
MA-EO-592,MA-EO-526,terminates,revoke Executive Order No. 526,official_metadata_or_text,medium
MA-EO-603,MA-EO-591,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-587,MA-EO-564,supersedes,Superseding Executive Order no. 564,official_metadata_or_text,medium
MA-EO-586,MA-EO-563,supersedes,Superseding Executive Order No. 563,official_metadata_or_text,medium
MA-EO-586,MA-EO-563,terminates,revoke Executive Order No. 563,official_metadata_or_text,medium
MA-EO-585,MA-EO-574,supersedes,Superseding Executive Order No. 574,official_metadata_or_text,medium
MA-EO-584,MA-EO-582,amends,Amending Executive Order No. 582,official_metadata_or_text,medium
MA-EO-603,MA-EO-582,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-580,MA-EO-579,amends,Amended by Executive Order No. 580,official_metadata,high
MA-EO-603,MA-EO-579,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-578,MA-EO-401,supersedes,Superseding Executive Order No. 401,official_metadata_or_text,medium
MA-EO-578,MA-EO-401,terminates,revoke Executive Order No. 401,official_metadata_or_text,medium
MA-EO-603,MA-EO-578,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-603,MA-EO-576,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-575,MA-EO-362,supersedes,Superseding Executive Order No. 362,official_metadata_or_text,medium
MA-EO-575,MA-EO-362,terminates,revoke Executive Order No. 362,official_metadata_or_text,medium
MA-EO-603,MA-EO-572,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-603,MA-EO-566,terminates,Rescinded by Executive Order No. 603,official_metadata,high
MA-EO-562,MA-EO-485,supersedes,Superseding Executive Order No. 485,official_metadata_or_text,medium
MA-EO-562,MA-EO-485,terminates,revoke Executive Order No. 485,official_metadata_or_text,medium
MA-EO-559,MA-EO-527,supersedes,Superseding Executive Order No. 527,official_metadata_or_text,medium
MA-EO-556,MA-EO-555,terminates,rescinded by Executive Order 556,official_metadata,high
