declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
MI-EO-2019-1,Gretchen Whitmer,2019-1,"Executive Order 2019-1: Declaration of State of Emergency — January 28, 2019 The National Weather Service has issued multiple winter weather warnings across the State of Michigan beginning Tuesday, January 29, 2019.",2019-01-28,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/01/28/executive-order-2019-1-declaration-of-state-of-emergency
MI-EO-2019-4,Gretchen Whitmer,2019-4,Executive Order 2019-04 - Declaration of State of Emergency — 2019-04 Declaration of State of Emergency This past week several parts of Michigan have experienced severe winter weather.,2019-02-09,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/02/09/executive-order-2019-4
MI-EO-2019-8,Gretchen Whitmer,2019-8,"Executive Order 2019-08: Declaration of State of Emergency — March 19, 2019 Beginning on March 14, 2019, Newaygo County experienced heavy rainfall and significant snowmelt, which resulted in widespread flooding, damaged homes, displaced residents, and washed out roadways.",2019-03-19,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/03/19/executive-order-2019-8
MI-EO-2019-11,Gretchen Whitmer,2019-11,"Executive Order 2019-11 - Declaration of State of Emergency — This event created dangerous flooding throughout many areas of Wayne County and caused power outages, hazardous driving conditions, and increased emergency vehicle response time due to inaccessible roadways and bridges.",2019-05-03,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/05/03/executive-order-2019-11
MI-EO-2019-12,Gretchen Whitmer,2019-12,"Executive Order 2019-12: Declaration of State of Emergency — June 04, 2019 Beginning on May 25, 2019, Tuscola County experienced heavy and damaging rainfall resulting in widespread flooding, washed out roadways, culvert failures, hazardous driving conditions, and increased emergency vehicle response times due to inaccessible roadways and bridges.",2019-06-04,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/06/04/executive-order-2019-12
MI-EO-2019-17,Gretchen Whitmer,2019-17,"Executive Order 2019-17 - Declaration of State of Emergency — 2019-17 Declaration of State of Emergency On July 20, 2019 Lake County experienced heavy rainfall which resulted in widespread flooding, washed-out roadways and bridges, and damage to homes.",2019-07-30,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/07/30/executive-order-2019-17
MI-EO-2020-94,Gretchen Whitmer,2020-94,"Executive Order 2020-94: Declaration of State of Emergency — Despite these measures, local resources are insufficient to respond to the extreme flooding under the current conditions.",2020-05-19,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/05/19/executive-order-2020-94
MI-EO-2021-7,Gretchen Whitmer,2021-7,"Executive Order 2021-7: Declaration of State of Emergency — June 29, 2021 Beginning on June 25, 2021, Southeast Michigan experienced heavy rainfall, which resulted in widespread flooding, power outages, flooded roadways, stranded motorists, flooding of homes, and displaced residents.",2021-06-29,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2021/06/29/executive-order-2021-7-declaration-of-state-of-emergency
MI-EO-2021-9,Gretchen Whitmer,2021-9,"Executive Order 2021-9: Declaration of State of Emergency — August 02, 2021 On July 7, 2021, an intense line of thunderstorms with high winds struck the southwest area of Oakland County and traveled through southern Macomb County.",2021-08-02,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2021/08/02/executive-order-2021-9-declaration-of-state-of-emergency
MI-EO-2021-10,Gretchen Whitmer,2021-10,"Executive Order 2021-10: Declaration of State of Emergency — August 05, 2021 On July 24, 2021, severe thunderstorms developed across the state, producing high winds, heavy rains, and in some areas, tornadoes.",2021-08-05,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2021/08/05/executive-order-2021-10-declaration-of-state-of-emergency
MI-EO-2021-12,Gretchen Whitmer,2021-12,"Executive Order 2021-12: Declaration of State of Emergency — 2021-12 Declaration of State of Emergency On August 11, 2021, two fast-moving storm systems swept through the lower peninsula of Michigan, bringing heavy rain and damaging winds that exceeded 60 miles an hour.",2021-08-24,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2021/08/24/executive-order-2021-12-declaration-of-state-of-emergency
MI-EO-2022-2,Gretchen Whitmer,2022-2,"Executive Order 2022-2: Declaration of State of Emergency — May 20, 2022 At roughly 3:50pm on May 20, 2022, a tornado struck Gaylord, Michigan, causing at least one fatality, dozens of serious injuries to residents, and widespread damage to businesses, roads, and homes.",2022-05-20,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2022/05/20/executive-order-2022-2--declaration-of-state-of-emergency
MI-EO-2022-3,Gretchen Whitmer,2022-3,"Executive Order 2022-3: Declaration of State of Emergency — The City of Big Rapids, located in Mecosta County, was inundated with four-and-a-half inches of rain within a two-hour period, causing localized flooding and damage to roads, bridges, and the campus of Ferris State University.",2022-06-24,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2022/06/24/executive-order-2022-3-declaration-of-state-of-emergency
MI-EO-2022-6,Gretchen Whitmer,2022-6,"Executive Order 2022-6: Declaration of State of Emergency — July 18, 2022 On May 12, 2022, a significant weather system moved through parts of northern Michigan, bringing thunderstorms and heavy rains that set the one-day rainfall record for the local National Weather Service office.",2022-07-18,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2022/07/18/executive-order-2022-6--declaration-of-state-of-emergency
MI-EO-2023-2,Gretchen Whitmer,2023-2,"Executive Order 2023-2: Declaration of State of Emergency — As a result of this accelerated thaw, the counties of Gogebic and Houghton have faced dangerous conditions and sustained damages caused by widespread flooding, as fast-moving melt waters have overwhelmed storm water and sewer systems, burst earthen dams, caused culverts and embankments to fail, caused road washouts and closures, caused sinkholes to appear, and deposited debris and silt on roadways.",2023-04-14,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2023/04/14/executive-order-20232-declaration-of-state-of-emergency
MI-EO-2023-7,Gretchen Whitmer,2023-7,"Executive Order 2023-7: Declaration of State of Emergency — August 25, 2023 Beginning on August 24, 2023, areas in lower Michigan experienced several stormfronts that brought heavy rain and spawned tornadoes.",2023-08-25,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2023/08/25/executive-order-20237-declaration-of-state-of-emergency
MI-EO-2024-3,Gretchen Whitmer,2024-3,"Executive Order 2024-3: Declaration of State of Emergency — May 07, 2024 On May 7, 2024, severe weather that included straight-line winds struck the counties of Kalamazoo, St.",2024-05-07,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2024/05/07/executive-order-2024-3-declaration-of-state-of-emergency
MI-EO-2025-2,Gretchen Whitmer,2025-2,"Executive Order 2025-2: Declaration of State of Emergency — March 31, 2025 Beginning on March 28, 2025, and, in some areas, lasting through March 30, 2025, northern Michigan experienced impactful winter weather that resulted in extreme and severe ice accumulation that had significant impacts to critical services throughout the region.",2025-03-31,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2025/03/31/executive-order-2025-2-declaration-of-state-of-emergency
MI-EO-2025-7,Gretchen Whitmer,2025-7,"Executive Order 2025-7: Declaration of State of Emergency — June 03, 2025 On May 15, 2025, a strong system of severe storms brought tornadoes, straight-line winds, heavy rains and flash flooding, which impacted many areas of the state.",2025-06-03,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2025/06/03/executive-order-2025-7-declaration-of-state-of-emergency
MI-EO-2025-8,Gretchen Whitmer,2025-8,"Executive Order 2025-8: Declaration of State of Emergency — August 26, 2025 On July 23, 2025, a strong system of severe storms produced heavy rainfall of up to four inches over a four-hour period.",2025-08-26,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2025/08/26/executive-order-2025-8-declaration-of-state-of-emergency
MI-EO-2026-1,Gretchen Whitmer,2026-1,"EXECUTIVE ORDER No. 2026-1 Declaration of State of Emergency — March 08, 2026 On March 6, 2026, severe weather struck the counties of Branch, Cass, and St.",2026-03-08,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2026/03/08/executive-order--2026-1
MI-EO-2026-2,Gretchen Whitmer,2026-2,"Executive Order 2026-2: Declaration of State of Emergency and Energy Emergency — March 17, 2026 Starting on March 15, 2026, a severe winter storm system hit multiple counties in the Upper Peninsula and the Northern Lower Peninsula, producing heavy snowfall, high winds, and icing.",2026-03-17,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2026/03/17/executive-order-2026-2-declaration-of-state-of-emergency-and-energy-emergency
MI-EO-2026-5,Gretchen Whitmer,2026-5,"Executive Order 2026-5: Declaration of State of Emergency — April 10, 2026 In recent weeks, the Cheboygan River Basin region has seen significant snowfall, heavy rain, and rapid snowmelt from warm temperatures.",2026-04-10,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2026/04/10/executive-order-2026-5-declaration-of-state-of-emergency
