declaration_id,eo_number,title,date_signed,action_type,related_order,hazard_category,archive_record_url
MI-EO-2019-1,2019-1,Executive Order 2019-1: Declaration of State of Emergency,2019-01-28,declaration,,winter,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/01/28/executive-order-2019-1-declaration-of-state-of-emergency
MI-EO-2019-2,2019-2,Executive Order 2019-02: Executive Reorganization,2019-02-04,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/02/04/executive-order-2019-2
MI-EO-2019-3,2019-3,Executive Order 2019-03: Michigan PFAS Action Response Team,2019-02-04,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/02/04/executive-order-2019-3
MI-EO-2019-4,2019-4,Executive Order 2019-04 - Declaration of State of Emergency,2019-02-09,declaration,,winter,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/02/09/executive-order-2019-4
MI-EO-2019-5,2019-5,Executive Order 2019-05,2019-02-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/02/20/executive-order-2019-5
MI-EO-2019-6,2019-6,Executive Order 2019-06: Executive Reorganization,2019-02-20,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/02/20/executive-order-2019-6
MI-EO-2019-7,2019-7,Executive Order 2019-07,2019-03-01,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/03/01/executive-order-2019-7
MI-EO-2019-8,2019-8,Executive Order 2019-08: Declaration of State of Emergency,2019-03-19,declaration,,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/03/19/executive-order-2019-8
MI-EO-2019-9,2019-9,Executive Order 2019-09: The Governor's Educator Advisory Council,2019-04-11,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/04/11/executive-order-2019-9
MI-EO-2019-10,2019-10,Executive Order 2019-10: Michigan Joint Task Force on Jail and Pretrial Incarceration,2019-04-17,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/04/17/executive-order-2019-10
MI-EO-2019-11,2019-11,Executive Order 2019-11 - Declaration of State of Emergency,2019-05-03,declaration,,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/05/03/executive-order-2019-11
MI-EO-2019-12,2019-12,Executive Order 2019-12: Declaration of State of Emergency,2019-06-04,declaration,,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/06/04/executive-order-2019-12
MI-EO-2019-13,2019-13,Executive Order 2019-13,2019-06-06,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/06/06/executive-order-2019-13
MI-EO-2019-14,2019-14,Executive Order 2019-14,2019-06-07,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/06/07/executive-order-2019-14
MI-EO-2019-15,2019-15,Executive Order 2019-15,2019-07-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/07/30/executive-order-2019-15
MI-EO-2019-16,2019-16,Executive Order 2019-16,2019-07-30,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/07/30/executive-order-2019-16
MI-EO-2019-17,2019-17,Executive Order 2019-17 - Declaration of State of Emergency,2019-07-30,declaration,,flood,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/07/30/executive-order-2019-17
MI-EO-2019-18,2019-18,Executive Order 2019-18,2019-08-21,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/08/21/executive-order-2019-18
MI-EO-2019-19,2019-19,Executive Order 2019-19: Michigan Poverty Task Force,2019-12-18,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2019/12/18/executive-order-2019-19
MI-EO-2020-1,2020-1,Executive Order 2020-01: Prescription Drug Task Force,2020-02-21,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/02/21/executive-order-2020-1
MI-EO-2020-5,2020-5,"Executive Order 2020-05: Temporary prohibition on large assemblages and events, temporary school closures - RESCINDED",2020-03-13,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/13/executive-order-2020-5
MI-EO-2020-7,2020-7,"Executive Order 2020-07: Temporary restrictions on entry into health care facilities, residential care facilities, congregate care facilities, and juvenile justice facilities - RESCINDED",2020-03-14,other,,,https://www.michigan.gov/whitmer/news/state-orders-and-directives/2020/03/14/executive-order-2020-7
