source_declaration_id,relationship_type,target_declaration_id
MI-EO-2020-33,amendment,MI-EO-2020-4
MI-EO-2020-38,amendment,MI-EO-2020-4
MI-EO-2020-39,amendment,MI-EO-2020-4
MI-EO-2020-66,termination,MI-EO-2020-4
MI-EO-2020-67,amendment,MI-EO-2020-4
MI-EO-2020-68,amendment,MI-EO-2020-4
MI-EO-2020-86,amendment,MI-EO-2020-4
MI-EO-2020-98,amendment,MI-EO-2020-94
MI-EO-2020-105,amendment,MI-EO-2020-94
MI-EO-2020-99,amendment,MI-EO-2020-4
MI-EO-2020-127,termination,MI-EO-2020-99
MI-EO-2020-138,termination,MI-EO-2020-86
MI-EO-2020-151,amendment,MI-EO-2020-4
MI-EO-2020-165,termination,MI-EO-2020-151
MI-EO-2020-177,amendment,MI-EO-2020-4
MI-EO-2020-186,amendment,MI-EO-2020-4
MI-EO-2021-8,amendment,MI-EO-2021-7
MI-EO-2023-3,amendment,MI-EO-2023-2
MI-EO-2023-8,amendment,MI-EO-2023-7
MI-EO-2023-9,amendment,MI-EO-2023-7
MI-EO-2023-10,amendment,MI-EO-2023-7
MI-EO-2025-3,amendment,MI-EO-2025-2
MI-EO-2025-5,amendment,MI-EO-2025-2
MI-EO-2025-4,amendment,MI-EO-2025-2
MI-EO-2026-3,amendment,MI-EO-2026-2
MI-EO-2026-6,amendment,MI-EO-2026-5
MI-EO-2026-7,amendment,MI-EO-2026-5
MI-EO-2026-8,amendment,MI-EO-2026-5
MI-EO-2026-9,amendment,MI-EO-2026-5
MI-EO-2026-10,amendment,MI-EO-2026-5
