declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
MN-EO-19-30,Tim Walz,19-30,Declaring a Peacetime Emergency after rapid snowmelt flooding and Winter Storm Wesley,2019-04-11,https://mn.gov/governor/newsroom/executive-orders/?id=1055-379655
MN-EO-20-108,Tim Walz,20-108,Declaring a Peacetime Emergency and Providing Assistance to Stranded Motorists after a powerful winter storm,2020-12-24,https://mn.gov/governor/newsroom/executive-orders/?id=1055-461851
MN-EO-22-08,Tim Walz,22-08,Declaring a Peacetime Emergency and Providing National Guard Assistance to Local Emergency Flood Operations in Minnesota,2022-04-24,https://mn.gov/governor/newsroom/executive-orders/?id=1055-526262
MN-EO-22-13,Tim Walz,22-13,Declaring a Peacetime Emergency and Providing National Guard Assistance to Local Emergency Flood Operations in Minnesota,2022-05-19,https://mn.gov/governor/newsroom/executive-orders/?id=1055-528553
MN-EO-22-23,Tim Walz,22-23,Declaring a Peacetime Emergency and Providing National Guard Assistance to Stranded Motorists during a winter storm,2022-12-23,https://mn.gov/governor/newsroom/executive-orders/?id=1055-554236
MN-EO-23-01,Tim Walz,23-01,Declaring a Peacetime Emergency and Providing National Guard Assistance to Stranded Motorists during a winter storm,2023-02-15,https://mn.gov/governor/newsroom/executive-orders/?id=1055-567896
MN-EO-23-02,Tim Walz,23-02,Declaring a Peacetime Emergency and Providing National Guard Assistance in Preparation for a Severe Winter Storm,2023-02-21,https://mn.gov/governor/newsroom/executive-orders/?id=1055-566061
MN-EO-24-05,Tim Walz,24-05,Declaring a Peacetime Emergency and Providing National Guard Assistance to Local Emergency Flood Operations in Minnesota,2024-06-22,https://mn.gov/governor/newsroom/executive-orders/?id=1055-628512
MN-EO-25-03,Tim Walz,25-03,Declaring a Peacetime Emergency and Providing National Guard Assistance in Response to a Severe Winter Storm,2025-03-05,https://mn.gov/governor/newsroom/executive-orders/?id=1055-671424
MN-EO-25-05,Tim Walz,25-05,Declaring a Peacetime Emergency and Continuing Assistance to Communities Impacted by Wildfires,2025-05-20,https://mn.gov/governor/newsroom/executive-orders/?id=1055-685283
MN-EO-25-06,Tim Walz,25-06,Declaring a Peacetime Emergency and Providing Storm Recovery Assistance in Beltrami County after severe storms and hurricane-force winds,2025-06-27,https://mn.gov/governor/newsroom/executive-orders/?id=1055-694978
MN-EO-25-15,Tim Walz,25-15,Declaring a Peacetime Emergency and Providing National Guard Assistance in Response to a Severe Winter Storm,2025-12-28,https://mn.gov/governor/newsroom/executive-orders/?id=1055-717540
MN-EO-26-04,Tim Walz,26-04,Declaring a Peacetime Emergency and Providing National Guard Assistance in Response to a Severe Winter Storm,2026-03-13,https://mn.gov/governor/newsroom/executive-orders/?id=1055-731745
MN-EO-26-07,Tim Walz,26-07,Declaring a Peacetime Emergency and Continuing Assistance to Communities Impacted by Wildfires,2026-05-17,https://mn.gov/governor/newsroom/executive-orders/?id=1055-749152
MN-EO-26-08,Tim Walz,26-08,Declaring a Peacetime Emergency and Continuing Assistance to Communities Impacted by Wildfires,2026-07-12,https://mn.gov/governor/newsroom/press-releases/?id=1055-759754
