declaration_id,eo_number,title,date_signed,action_type,related_order,hazard_category,archive_record_url
MN-EO-19-06,19-06,Providing relief from regulations for septic-system service during extreme winter conditions,2019-03-14,operational,,winter,https://mn.gov/governor/assets/2019_03_14_EO_19-06_tcm1055-375914.pdf
MN-EO-19-08,19-08,Providing motor-carrier relief for emergency flooding preparations,2019-03-22,operational,,flood,https://mn.gov/governor/assets/2019_03_22_EO_19-08_tcm1055-376865.pdf
MN-EO-19-30,19-30,Declaring a Peacetime Emergency after rapid snowmelt flooding and Winter Storm Wesley,2019-04-11,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-379655
MN-EO-19-36,19-36,Declaring an emergency and providing motor-carrier relief after wet weather delayed the harvest and increased propane demand,2019-10-30,operational,,severe_storm,https://mn.gov/governor/assets/2019_10_30_EO_19-36_tcm1055-408860.pdf
MN-EO-20-108,20-108,Declaring a Peacetime Emergency and Providing Assistance to Stranded Motorists after a powerful winter storm,2020-12-24,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-461851
MN-EO-21-26,21-26,Providing emergency motor-carrier relief for forage during drought conditions,2021-07-28,operational,,drought,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-21-27,21-27,Providing emergency motor-carrier relief for fuel during drought and wildfire response,2021-08-05,operational,,fire,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-21-29,21-29,Providing National Guard assistance to the Minnesota Interagency Fire Center during drought-driven wildfires,2021-08-15,operational,,fire,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-21-30,21-30,Extending drought-related motor-carrier relief,2021-08-27,amendment,21-26,drought,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-22-04,22-04,Providing motor-carrier relief for septic-system service after extreme winter conditions,2022-03-11,operational,,winter,https://mn.gov/governor/assets/EO%2022-04_tcm1055-521319.pdf
MN-EO-22-08,22-08,Declaring a Peacetime Emergency and Providing National Guard Assistance to Local Emergency Flood Operations in Minnesota,2022-04-24,declaration,,flood,https://mn.gov/governor/newsroom/executive-orders/?id=1055-526262
MN-EO-22-10,22-10,Providing National Guard assistance to North Dakota flood response under EMAC,2022-05-06,operational,,flood,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-22-13,22-13,Declaring a Peacetime Emergency and Providing National Guard Assistance to Local Emergency Flood Operations in Minnesota,2022-05-19,declaration,,flood,https://mn.gov/governor/newsroom/executive-orders/?id=1055-528553
MN-EO-22-23,22-23,Declaring a Peacetime Emergency and Providing National Guard Assistance to Stranded Motorists during a winter storm,2022-12-23,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-554236
MN-EO-23-01,23-01,Declaring a Peacetime Emergency and Providing National Guard Assistance to Stranded Motorists during a winter storm,2023-02-15,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-567896
MN-EO-23-02,23-02,Declaring a Peacetime Emergency and Providing National Guard Assistance in Preparation for a Severe Winter Storm,2023-02-21,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-566061
MN-EO-24-05,24-05,Declaring a Peacetime Emergency and Providing National Guard Assistance to Local Emergency Flood Operations in Minnesota,2024-06-22,declaration,,flood,https://mn.gov/governor/newsroom/executive-orders/?id=1055-628512
MN-EO-24-09,24-09,Amending Executive Order 24-05 and authorizing disaster relief financial assistance to veterans,2024-07-25,amendment,24-05,flood,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-25-03,25-03,Declaring a Peacetime Emergency and Providing National Guard Assistance in Response to a Severe Winter Storm,2025-03-05,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-671424
MN-EO-25-04,25-04,Providing National Guard assistance to fight northern Minnesota wildfires,2025-05-12,operational,,fire,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-25-05,25-05,Declaring a Peacetime Emergency and Continuing Assistance to Communities Impacted by Wildfires,2025-05-20,declaration,25-04,fire,https://mn.gov/governor/newsroom/executive-orders/?id=1055-685283
MN-EO-25-06,25-06,Declaring a Peacetime Emergency and Providing Storm Recovery Assistance in Beltrami County,2025-06-27,declaration,,severe_storm,https://mn.gov/governor/newsroom/executive-orders/?id=1055-694978
MN-EO-25-07,25-07,Amending Executive Order 25-06 and authorizing disaster relief financial assistance to veterans,2025-07-08,amendment,25-06,severe_storm,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-25-14,25-14,Providing emergency motor-carrier relief for propane and diesel transportation,2025-12-23,operational,,winter,https://mn.gov/governor/newsroom/executive-orders/
MN-EO-25-15,25-15,Declaring a Peacetime Emergency and Providing National Guard Assistance in Response to a Severe Winter Storm,2025-12-28,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-717540
MN-EO-26-04,26-04,Declaring a Peacetime Emergency and Providing National Guard Assistance in Response to a Severe Winter Storm,2026-03-13,declaration,,winter,https://mn.gov/governor/newsroom/executive-orders/?id=1055-731745
MN-EO-26-07,26-07,Declaring a Peacetime Emergency and Continuing Assistance to Communities Impacted by Wildfires,2026-05-17,declaration,,fire,https://mn.gov/governor/newsroom/executive-orders/?id=1055-749152
MN-EO-26-08,26-08,Declaring a Peacetime Emergency and Continuing Assistance to Communities Impacted by Wildfires,2026-07-12,declaration,,fire,https://mn.gov/governor/newsroom/press-releases/?id=1055-759754
