declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,deaths_direct,injuries_direct,damage_property_usd,damage_crops_usd,event_types,event_count,total_damage_usd
MS-ACTION-2020-02-15-governor-tate-reeves-declares-state-of-emergency-for-pearl,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Pearl River Flooding,2020-02-15,https://governorreeves.ms.gov/wp-json/wp/v2/posts/891,C,county/county-equivalent,105,OKTIBBEHA,0,0,41000.0,0.0,Flash Flood,2,41000.0
MS-ACTION-2020-02-15-governor-tate-reeves-declares-state-of-emergency-for-pearl,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Pearl River Flooding,2020-02-15,https://governorreeves.ms.gov/wp-json/wp/v2/posts/891,C,county/county-equivalent,25,CLAY,0,0,12000.0,0.0,Flash Flood,2,12000.0
MS-ACTION-2020-02-15-governor-tate-reeves-declares-state-of-emergency-for-pearl,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Pearl River Flooding,2020-02-15,https://governorreeves.ms.gov/wp-json/wp/v2/posts/891,C,county/county-equivalent,53,HUMPHREYS,0,0,5000.0,0.0,Flash Flood,1,5000.0
MS-ACTION-2020-02-15-governor-tate-reeves-declares-state-of-emergency-for-pearl,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Pearl River Flooding,2020-02-15,https://governorreeves.ms.gov/wp-json/wp/v2/posts/891,C,county/county-equivalent,87,LOWNDES,0,0,5000.0,0.0,Flash Flood,1,5000.0
MS-ACTION-2020-02-15-governor-tate-reeves-declares-state-of-emergency-for-pearl,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Pearl River Flooding,2020-02-15,https://governorreeves.ms.gov/wp-json/wp/v2/posts/891,C,county/county-equivalent,97,MONTGOMERY,0,0,5000.0,0.0,Flash Flood,1,5000.0
MS-ACTION-2020-02-15-governor-tate-reeves-declares-state-of-emergency-for-pearl,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Pearl River Flooding,2020-02-15,https://governorreeves.ms.gov/wp-json/wp/v2/posts/891,C,county/county-equivalent,19,CHOCTAW,0,0,1000.0,0.0,Flash Flood,1,1000.0
MS-ACTION-2020-08-22-governor-tate-reeves-declares-state-of-emergency-for-impen,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Impending Gulf Storms,2020-08-22,https://governorreeves.ms.gov/wp-json/wp/v2/posts/876,C,county/county-equivalent,65,JEFFERSON DAVIS,0,0,110000.0,0.0,Flash Flood,5,110000.0
MS-ACTION-2020-08-22-governor-tate-reeves-declares-state-of-emergency-for-impen,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Impending Gulf Storms,2020-08-22,https://governorreeves.ms.gov/wp-json/wp/v2/posts/876,C,county/county-equivalent,31,COVINGTON,0,0,9000.0,0.0,Flash Flood,3,9000.0
MS-ACTION-2020-08-22-governor-tate-reeves-declares-state-of-emergency-for-impen,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Impending Gulf Storms,2020-08-22,https://governorreeves.ms.gov/wp-json/wp/v2/posts/876,C,county/county-equivalent,127,SIMPSON,0,0,4000.0,0.0,"Flash Flood, Thunderstorm Wind",2,4000.0
MS-ACTION-2020-08-22-governor-tate-reeves-declares-state-of-emergency-for-impen,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Impending Gulf Storms,2020-08-22,https://governorreeves.ms.gov/wp-json/wp/v2/posts/876,C,county/county-equivalent,129,SMITH,0,0,4000.0,0.0,Flash Flood,1,4000.0
MS-ACTION-2020-08-22-governor-tate-reeves-declares-state-of-emergency-for-impen,,Tate Reeves,Governor Tate Reeves Declares State of Emergency for Impending Gulf Storms,2020-08-22,https://governorreeves.ms.gov/wp-json/wp/v2/posts/876,C,county/county-equivalent,73,LAMAR,0,0,2000.0,0.0,Flash Flood,1,2000.0
MS-ACTION-2020-09-13-governor-tate-reeves-declares-state-of-emergency-in-prepar,,Tate Reeves,Governor Tate Reeves Declares State of Emergency in Preparation for Tropical Storm Sally,2020-09-13,https://governorreeves.ms.gov/wp-json/wp/v2/posts/875,C,county/county-equivalent,117,PRENTISS,0,0,2000.0,0.0,Flash Flood,1,2000.0
MS-ACTION-2020-09-13-governor-tate-reeves-declares-state-of-emergency-in-prepar,,Tate Reeves,Governor Tate Reeves Declares State of Emergency in Preparation for Tropical Storm Sally,2020-09-13,https://governorreeves.ms.gov/wp-json/wp/v2/posts/875,C,county/county-equivalent,3,ALCORN,0,0,1000.0,0.0,Flash Flood,1,1000.0
MS-ACTION-2020-09-13-governor-tate-reeves-declares-state-of-emergency-in-prepar,,Tate Reeves,Governor Tate Reeves Declares State of Emergency in Preparation for Tropical Storm Sally,2020-09-13,https://governorreeves.ms.gov/wp-json/wp/v2/posts/875,Z,NWS forecast zone,80,HANCOCK,0,0,0.0,0.0,Storm Surge/Tide,1,0.0
MS-ACTION-2020-09-13-governor-tate-reeves-declares-state-of-emergency-in-prepar,,Tate Reeves,Governor Tate Reeves Declares State of Emergency in Preparation for Tropical Storm Sally,2020-09-13,https://governorreeves.ms.gov/wp-json/wp/v2/posts/875,Z,NWS forecast zone,81,HARRISON,0,0,0.0,0.0,Storm Surge/Tide,1,0.0
