declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
MS-EO-1595,MS,Tate Reeves,1595,executive_order,administrative,Executive Order – 1595 – Lower Flags in Memory of Michael Leroy Jimerson 4-8-26,2026-04-10,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1595-Lower-Flags-in-Memory-of-Michael-Leroy-Jimerson-4-8-26.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/1601
MS-ACTION-2026-01-22-governor-reeves-issues-state-of-emergency-ahead-of-severe-,MS,Tate Reeves,,emergency_declaration,declaration,Governor Reeves Issues State of Emergency Ahead of Severe Winter Weather,2026-01-22,,true,mississippi_governor_2020_present,html,https://governorreeves.ms.gov/governor-reeves-issues-state-of-emergency-ahead-of-severe-winter-weather/,https://governorreeves.ms.gov/wp-json/wp/v2/posts/1589
MS-EO-1581,MS,Tate Reeves,1581,executive_order,administrative,Executive Order 1581 – EO Officer Floyd 8-11-24,2024-08-13,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1581-EO-Officer-Floyd-8-11-24.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/1415
MS-ACTION-2024-01-14-governor-reeves-issues-state-of-emergency-ahead-of-winter-,MS,Tate Reeves,,emergency_declaration,declaration,Governor Reeves Issues State of Emergency Ahead of Winter Weather,2024-01-14,,true,mississippi_governor_2020_present,html,https://mailchi.mp/808817362c59/governor-tate-reeves-winter-weather?e=1c51692119,https://governorreeves.ms.gov/wp-json/wp/v2/posts/1339
MS-ACTION-2023-04-04-governor-reeves-issues-state-of-emergency-following-severe,MS,Tate Reeves,,emergency_declaration,declaration,Governor Reeves Issues State of Emergency Following Severe Storms,2023-04-04,,true,mississippi_governor_2020_present,html,https://mailchi.mp/ff1ae52465bf/governor-tate-reeves-severe-weather?e=ae3824fee2,https://governorreeves.ms.gov/wp-json/wp/v2/posts/1211
MS-ACTION-2023-03-25-governor-reeves-issues-state-of-emergency-following-severe,MS,Tate Reeves,,emergency_declaration,declaration,Governor Reeves Issues State of Emergency Following Severe Storms,2023-03-25,,true,mississippi_governor_2020_present,html,http://bit.ly/3ZlJ9tg,https://governorreeves.ms.gov/wp-json/wp/v2/posts/1204
MS-EO-1567,MS,Tate Reeves,1567,executive_order,administrative,Executive Order 1567 – EO Flags lowered for Dick Hall,2022-11-07,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1567-EO-Flags-lowered-for-Dick-Hall.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/1138
MS-ACTION-2022-08-30-governor-reeves-issues-state-of-emergency-activates-nation,MS,Tate Reeves,,emergency_declaration,declaration,"Governor Reeves Issues State of Emergency, Activates National Guard in Response to Jackson Water Crisis",2022-08-30,,false,mississippi_governor_2020_present,html,https://mailchi.mp/d40a5de87b87/governor-tate-reeves-jackson-water-crisis?e=ae3824fee2,https://governorreeves.ms.gov/wp-json/wp/v2/posts/1078
MS-ACTION-2022-08-27-governor-reeves-issues-state-of-emergency-ahead-of-floodin,MS,Tate Reeves,,emergency_declaration,declaration,Governor Reeves Issues State of Emergency Ahead of Flooding,2022-08-27,,true,mississippi_governor_2020_present,html,https://mailchi.mp/f73ce71b472d/governor-tate-reeves-pearl-river-flooding?e=325c80ab76,https://governorreeves.ms.gov/wp-json/wp/v2/posts/1079
MS-EO-1562,MS,Tate Reeves,1562,executive_order,administrative,Executive Order 1562 – Military Communities Council,2022-02-23,,false,mississippi_governor_2020_present,pdf,https://governorreeves.ms.gov/wp-content/uploads/Executive-Order-1562-Military-Communities-Council.pdf,https://governorreeves.ms.gov/wp-json/wp/v2/media/1011
