declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
MO-EO-00-05,Mel Carnahan,00-05,Gov. Mel Carnahan declares a State of Emergency in the South Central Region of Missouri in response to wildfires and directs the Missouri State Emergency Operations Plan be activated. (Mar. 10),2000-03-10,https://www.sos.mo.gov/library/reference/orders/2000/eo00_005
MO-EO-00-12,Mel Carnahan,00-12,Gov. Mel Carnahan declares a State of Emergency in Jefferson and Franklin counties due to flooding and directs the Missouri State Emergency Operations Plan be activated. The Adjutant General is ordered and directed to call into active service any state militia deemed necessary to support civilian authorities. (May 8),2000-05-08,https://www.sos.mo.gov/library/reference/orders/2000/eo00_012
MO-EO-00-22,Roger B. Wilson,00-22,Gov. Roger Wilson implements the Emergency Mutual Assistance Compact to provide Arkansas assistance. (Dec. 28),2000-12-28,https://www.sos.mo.gov/library/reference/orders/2000/eo00_022
MO-EO-02-02,Bob Holden,02-02,Gov. Bob Holden declares a State of Emergency due to severe winter weather and directs the Missouri State Emergency Operations Plan be activated. (Jan. 31),2002-01-31,https://www.sos.mo.gov/library/reference/orders/2002/eo02_002
MO-EO-02-09,Bob Holden,02-09,Gov. Bob Holden declares a State of Emergency in Pulaski and Phelps Counties due to flooding and directs the Missouri State Emergency Operation Plan be activated. (Apr. 23),2002-04-23,https://www.sos.mo.gov/library/reference/orders/2002/eo02_009
MO-EO-02-13,Bob Holden,02-13,"Gov. Bob Holden declares a State of Emergency as a result of the severe weather beginning May 6, 2002, and directs the Missouri State Emergency Management Operations Plan be activated. (May 16)",2002-05-16,https://www.sos.mo.gov/library/reference/orders/2002/eo02_013
MO-EO-03-12,Bob Holden,03-12,"Gov. Bob Holden declares a State of Emergency due to severe weather beginning on May 4, 2003, and directs the Missouri State Emergency Operations Plan be activated. (May 5)",2003-05-05,https://www.sos.mo.gov/library/reference/orders/2003/eo03_012
MO-EO-04-17,Bob Holden,04-17,Gov. Bob Holden implements the Emergency Mutual Aid Compact (EMAC) agreement with the State of Florida to provide assistance in response to Hurricane Charley. (Aug. 18),2004-08-18,https://www.sos.mo.gov/library/reference/orders/2004/eo04_017
MO-EO-04-19,Bob Holden,04-19,"Gov. Bob Holden implements the Emergency Mutual Aid Compact (EMAC) with the State of Florida, activates the EMAC plan, and authorizes the use of the Missouri National Guard in response to Hurricanes Frances and Ivan. (Sep. 10)",2004-09-10,https://www.sos.mo.gov/library/reference/orders/2004/eo04_019
MO-EO-05-17,Matt Blunt,05-17,Gov. Matt Blunt declares a DROUGHT ALERT for 23 Missouri counties and orders the Director of the Department of Natural Resources to activate and designate a chairperson for the Drought Assessment Committee. (July 5) - Rescinded by Executive Order 24-11,2005-07-05,https://www.sos.mo.gov/library/reference/orders/2005/eo05_017
MO-EO-05-24,Matt Blunt,05-24,"Gov. Matt Blunt implements the Emergency Mutual Assistance Compact (EMAC) with the State of Mississippi, directs the State Emergency Management Agency to activate the EMAC plan, and authorizes the use of the Missouri National Guard in response to Hurricane Katrina. (Aug. 30)",2005-08-30,https://www.sos.mo.gov/library/reference/orders/2005/eo05_024
MO-EO-05-25,Matt Blunt,05-25,"Gov. Matt Blunt implements the Emergency Mutual Assistance Compact (EMAC) with the State of Louisiana, directs the State Emergency Management Agency to activate the EMAC plan, and authorizes the use of the Missouri National Guard in response to Hurricane Katrina. (Aug. 30)",2005-08-30,https://www.sos.mo.gov/library/reference/orders/2005/eo05_025
MO-EO-05-26,Matt Blunt,05-26,"Gov. Matt Blunt declares a state of emergency in Missouri and temporarily suspends rules and regulations regarding licensing of healthcare providers while providing direct care to Hurricane Katrina evacuees from Louisiana, Mississippi, Florida, and Alabama. (Sep. 2)",2005-09-02,https://www.sos.mo.gov/library/reference/orders/2005/eo05_026
MO-EO-05-28,Matt Blunt,05-28,"Gov. Matt Blunt declares a State of Emergency in Missouri, directs the Missouri State Emergency Operations Plan to be activated, and authorizes the use of state agencies to provide support to the relocation of Hurricane Katrina disaster victims. (Sep. 4)",2005-09-04,https://www.sos.mo.gov/library/reference/orders/2005/eo05_028
MO-EO-05-29,Matt Blunt,05-29,Gov. Matt Blunt orders and directs the Adjutant General to call into active service any state militia deemed necessary to support civilian authorities as a result of the influx of Hurricane Katrina disaster victims. (Sep. 4),2005-09-04,https://www.sos.mo.gov/library/reference/orders/2005/eo05_029
MO-EO-05-32,Matt Blunt,05-32,Gov. Matt Blunt declares a State of Emergency and orders an additional twenty-five full time equivalent employees may be granted leave to participate in disaster relief services in assisting Hurricane Katrina evacuees. (Sep. 16),2005-09-16,https://www.sos.mo.gov/library/reference/orders/2005/eo05_032
MO-EO-05-34,Matt Blunt,05-34,Gov. Matt Blunt orders and directs the Adjutant General to call into active service any state militia deemed necessary to support civilian authorities as a result of the influx of Hurricane Rita disaster victims. (Sep. 23),2005-09-23,https://www.sos.mo.gov/library/reference/orders/2005/eo05_034
MO-EO-05-35,Matt Blunt,05-35,"Gov. Matt Blunt declares a State of Emergency exists in Missouri, directs the Missouri State Emergency Operations Plan to be activated, and authorizes the use of state agencies to provide support to the relocation of Hurricane Rita disaster victims. (Sep. 23)",2005-09-23,https://www.sos.mo.gov/library/reference/orders/2005/eo05_035
MO-EO-05-38,Matt Blunt,05-38,"Gov. Matt Blunt implements the Emergency Mutual Assistance Compact (EMAC) with the State of Florida, directs the State Emergency Management Agency to activate the EMAC plan, and authorizes the use of the Missouri National Guard in response to Hurricane Wilma. (Oct. 21)",2005-10-21,https://www.sos.mo.gov/library/reference/orders/2005/eo05_038
MO-EO-06-12,Matt Blunt,06-12,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to the severe weather that began on March 11, 2006. (Mar. 13)",2006-03-13,https://www.sos.mo.gov/library/reference/orders/2006/eo06_012
MO-EO-06-14,Matt Blunt,06-14,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on April 2, 2006. (Apr. 3)",2006-04-03,https://www.sos.mo.gov/library/reference/orders/2006/eo06_014
MO-EO-06-16,Matt Blunt,06-16,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began March 29, 2006. (Apr. 3)",2006-04-03,https://www.sos.mo.gov/library/reference/orders/2006/eo06_016
MO-EO-06-17,Matt Blunt,06-17,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on March 8, 2006. (Apr. 3)",2006-04-03,https://www.sos.mo.gov/library/reference/orders/2006/eo06_017
MO-EO-06-25,Matt Blunt,06-25,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on July 19, 2006. (July 20)",2006-07-20,https://www.sos.mo.gov/library/reference/orders/2006/eo06_025
MO-EO-06-31,Matt Blunt,06-31,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe storms that began September 22, 2006. (Sep. 23)",2006-09-23,https://www.sos.mo.gov/library/reference/orders/2006/eo06_031
MO-EO-06-46,Matt Blunt,06-46,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe storms that began November 30, 2006. (Dec. 1)",2006-12-01,https://www.sos.mo.gov/library/reference/orders/2006/eo06_046
MO-EO-07-02,Matt Blunt,07-02,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on January 12, 2007. (Jan. 12)",2007-01-12,https://www.sos.mo.gov/library/reference/orders/2007/eo07_002
MO-EO-07-18,Matt Blunt,07-18,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on May 5, 2007. (May 7)",2007-05-07,https://www.sos.mo.gov/library/reference/orders/2007/eo07_018
MO-EO-07-22,Matt Blunt,07-22,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on June 4, 2007. (July 3)",2007-07-03,https://www.sos.mo.gov/library/reference/orders/2007/eo07_022
MO-EO-07-25,Matt Blunt,07-25,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on August 19, 2007. (Aug. 24)",2007-08-24,https://www.sos.mo.gov/library/reference/orders/2007/eo07_025
MO-EO-07-27,Matt Blunt,07-27,Gov. Matt Blunt declares a drought alert for 23 Missouri counties and directs the Director of the Department of Natural Resources to designate a chairperson for the Drought Assessment Committee. All state and federal agencies are to participate as needed. (Sep. 7) - Rescinded by Executive Order 24-11,2007-09-07,https://www.sos.mo.gov/library/reference/orders/2007/eo07_027
MO-EO-07-34,Matt Blunt,07-34,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on December 8, 2007. (Dec. 9)",2007-12-09,https://www.sos.mo.gov/library/reference/orders/2007/eo07_034
MO-EO-08-02,Matt Blunt,08-02,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on January 7, 2008. (Jan. 11)",2008-01-11,https://www.sos.mo.gov/library/reference/orders/2008/eo08_002
MO-EO-08-07,Matt Blunt,08-07,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe winter weather that began on February 10, 2008. (Feb. 12)",2008-02-12,https://www.sos.mo.gov/library/reference/orders/2008/eo08_007
MO-EO-08-10,Matt Blunt,08-10,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on March 17, 2008. (Mar. 18)",2008-03-18,https://www.sos.mo.gov/library/reference/orders/2008/eo08_010
MO-EO-08-14,Matt Blunt,08-14,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on March 31, 2008. (Apr. 1)",2008-04-01,https://www.sos.mo.gov/library/reference/orders/2008/eo08_014
MO-EO-08-20,Matt Blunt,08-20,"Gov. Matt Blunt declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on June 1, 2008. (June 11)",2008-06-11,https://www.sos.mo.gov/library/reference/orders/2008/eo08_020
MO-EO-08-27,Matt Blunt,08-27,Gov. Matt Blunt directs the Missouri State Emergency Management Agency to activate the Emergency Management Assistance Compact plan and the applicable sections of the Missouri State Emergency Operations Plan with the state of Louisiana to provide assistance with the evacuation of disaster victims associated with Hurricane Gustav. (Aug. 30),2008-08-30,https://www.sos.mo.gov/library/reference/orders/2008/eo08_027
MO-EO-08-31,,08-31,"Lt. Gov. Peter Kinder, upon express delegation of Gov. Matt Blunt, declares a State of Emergency and directs the Missouri State Emergency Operations Plan to be activated due to severe weather that began on September 11, 2008. (Sep. 15)",2008-09-15,https://www.sos.mo.gov/library/reference/orders/2008/eo08_031
MO-EO-09-04,Jay Nixon,09-04,"Gov. Jay Nixon declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe storms that started on January 26, 2009. (Jan. 26)",2009-01-26,https://www.sos.mo.gov/library/reference/orders/2009/eo09_004
MO-EO-09-19,Jay Nixon,09-19,"Gov. Jay Nixon declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on May 8, 2009. (May 8)",2009-05-08,https://www.sos.mo.gov/library/reference/orders/2009/eo09_019
MO-EO-09-21,Jay Nixon,09-21,"Gov. Jay Nixon declares a State of Emergency and directs the Missouri State Emergency Operations Plan to remain activated due to severe weather that began on May 8, 2009. (May 14)",2009-05-14,https://www.sos.mo.gov/library/reference/orders/2009/eo09_021
MO-EO-10-21,Jay Nixon,10-21,"Gov. Jay Nixon orders the Missouri State Emergency Operations Center be activated due to severe weather and flooding that began on June 12, 2010. (June 15) - Rescinded by Executive Order 24-11",2010-06-15,https://www.sos.mo.gov/library/reference/orders/2010/eo10_021
MO-EO-10-22,Jay Nixon,10-22,"Gov. Jay Nixon declares a State of Emergency and directs the Missouri State Emergency Operations Plan be activated in response to severe weather that began on June 12, 2010. (June 21)",2010-06-21,https://www.sos.mo.gov/library/reference/orders/2010/eo10_022
