declaration_id,date_signed,event_description,decision,reason,date_evidence,archive_record_url,listing_url,fetch_error
MO-EO-09-11,,"Gov. Jay Nixon orders the Department of Health and Senior Services and the Department of Social Services to transfer the Blindness Education, Screening and Treatment (BEST) Program to the Department of Social Services. (Feb.4)",exclude,No event-specific weather declaration confirmed from title,SOS year-index signing date: unconfirmed,https://www.sos.mo.gov/library/reference/orders/2009/eo09_011,https://www.sos.mo.gov/library/reference/orders/2009/eo2009,
MO-EO-21-08,,"Gov. Michael Parson designates members of his staff to have supervisory authority over departments, divisions, and agencies of state government. (Aug.10)",exclude,No event-specific weather declaration confirmed from title,SOS year-index signing date: unconfirmed,https://www.sos.mo.gov/library/reference/orders/2021/eo8,https://www.sos.mo.gov/library/reference/orders/2021,
MO-EO-00-01,2000-01-20,Gov. Mel Carnahan amends Executive Order 98-16 and Executive Order 99-11 regarding the operations of the Advisory Committee on Chip Mills. (Jan. 20),companion,"Amendment, extension, continuation, or supplementary action; not a separate event","SOS year-index signing date: ('Jan', '20') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_001,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-02,2000-01-28,Gov. Mel Carnahan establishes the Governor's Farm Crisis Response Task Force. (Jan. 28) - Rescinded by Executive Order 24-11,exclude,"Administrative, public-health, preparedness, or ceremonial action","SOS year-index signing date: ('Jan', '28') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_002,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-03,2000-01-28,Gov. Mel Carnahan suspends the requirements of Section 307.400 RSMo and the rules under 11 C.S.R. 30-6.010 and directs agencies to suspend enforcement of 49 C.F.R. Section 395.3 in certain situations for drivers of commercial motor vehicles transporting propane and heating oils within the state. (Jan. 28),companion,Narrow operational relief; general declaration must be checked separately,"SOS year-index signing date: ('Jan', '28') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_003,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-04,2000-01-31,Gov. Mel Carnahan establishes the Caregivers Workforce Task Force. (Jan. 31),exclude,"Administrative, public-health, preparedness, or ceremonial action","SOS year-index signing date: ('Jan', '31') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_004,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-15,2000-01-31,Gov. Mel Carnahan establishes the Gasoline Price Task Force. (Jan. 31) - Rescinded by Executive Order 24-11,exclude,"Administrative, public-health, preparedness, or ceremonial action","SOS year-index signing date: ('Jan', '31') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_015,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-06,2000-03-10,Gov. Mel Carnahan establishes the Governor's Task Force on Fetal Tissue Research and Transplantation. (Mar. 10) - Rescinded by Executive Order 24-11,exclude,"Administrative, public-health, preparedness, or ceremonial action","SOS year-index signing date: ('Mar', '10') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_006,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-07,2000-03-24,Gov. Mel Carnahan designates the life sciences industry as one of Missouri's Lead Industries. (Mar. 24) - Rescinded by Executive Order 24-11,exclude,No event-specific weather declaration confirmed from title,"SOS year-index signing date: ('Mar', '24') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_007,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-08,2000-04-05,Gov. Mel Carnahan orders state agencies to prepare for the banning of Methyl Tertiary-Butyl Ether (MTBE) from gasoline statewide pending certain requirements. (Apr. 5) - Rescinded by Executive Order 24-11,exclude,No event-specific weather declaration confirmed from title,"SOS year-index signing date: ('Apr', '5') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_008,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-09,2000-04-18,Gov. Mel Carnahan establishes the Home and Community-Based Services and Consumer-Directed Care Commission. (Apr. 18) - Rescinded by Executive Order 24-11,exclude,"Administrative, public-health, preparedness, or ceremonial action","SOS year-index signing date: ('Apr', '18') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_009,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-10,2000-04-25,Gov. Mel Carnahan amends Executive Order 00-09 . (Apr. 25),companion,"Amendment, extension, continuation, or supplementary action; not a separate event","SOS year-index signing date: ('Apr', '25') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_010,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
MO-EO-00-11,2000-04-28,Gov. Mel Carnahan establishes the State Retirement Advisory Commission. (Apr. 28),exclude,"Administrative, public-health, preparedness, or ceremonial action","SOS year-index signing date: ('Apr', '28') 2000",https://www.sos.mo.gov/library/reference/orders/2000/eo00_011,https://www.sos.mo.gov/library/reference/orders/2000/eo2000,
