declaration_id,hazard_category_override,review_note,source_url
MO-EO-00-22,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2000/eo00_022
MO-EO-04-17,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_017
MO-EO-04-19,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_019
MO-EO-05-24,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_024
MO-EO-05-25,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_025
MO-EO-05-26,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_026
MO-EO-05-28,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_028
MO-EO-05-29,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_029
MO-EO-05-32,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_032
MO-EO-05-34,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_034
MO-EO-05-35,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_035
MO-EO-05-38,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_038
MO-EO-08-27,exclude,SOS description explicitly activates interstate assistance compact for another state; no corresponding Missouri weather event.,https://www.sos.mo.gov/library/reference/orders/2008/eo08_027
MO-EO-17-22,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2017/eo22
MO-EO-24-03,exclude,Out-of-state disaster assistance/evacuee support explicitly identified by source; no matching in-state weather event.,https://www.sos.mo.gov/library/reference/orders/2024/eo3
