source_order_id,target_order_id,relationship_type,relationship_text,source_url,target_status
MO-EO-00-01,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.sos.mo.gov/library/reference/orders/2000/eo00_001,unresolved_no_fabricated_target
MO-EO-00-03,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2000/eo00_003,unresolved_no_fabricated_target
MO-EO-00-10,MO-EO-00-09,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2000/eo00_010,present
MO-EO-00-13,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2000/eo00_013,unresolved_no_fabricated_target
MO-EO-00-16,MO-EO-00-15,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2000/eo00_016,present
MO-EO-00-21,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2000/eo00_021,unresolved_no_fabricated_target
MO-EO-00-23,MO-EO-01-19,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2000/eo00_023,present
MO-EO-01-01,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2001/eo01_001,unresolved_no_fabricated_target
MO-EO-01-03,,companion_unresolved,"Amendment, extension, continuation, or supplementary action; not a separate event",https://www.sos.mo.gov/library/reference/orders/2001/eo01_003,unresolved_no_fabricated_target
MO-EO-01-06,MO-EO-24-11,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2001/eo01_006,present
MO-EO-02-03,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2002/eo02_003,unresolved_no_fabricated_target
MO-EO-02-16,MO-EO-02-15,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2002/eo02_016,present
MO-EO-02-16,MO-EO-05-20,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2002/eo02_016,present
MO-EO-03-05,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2003/eo03_005,unresolved_no_fabricated_target
MO-EO-03-10,MO-EO-01-04,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2003/eo03_010,present
MO-EO-03-10,MO-EO-10-04,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2003/eo03_010,present
MO-EO-03-14,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2003/eo03_014,unresolved_no_fabricated_target
MO-EO-03-15,MO-EO-04-24,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2003/eo03_015,present
MO-EO-04-10,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2004/eo04_010,unresolved_no_fabricated_target
MO-EO-04-11,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2004/eo04_011,unresolved_no_fabricated_target
MO-EO-04-12,MO-EO-04-10,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_012,present
MO-EO-04-15,,companion_unresolved,Narrow operational relief; general declaration must be checked separately,https://www.sos.mo.gov/library/reference/orders/2004/eo04_015,unresolved_no_fabricated_target
MO-EO-04-23,MO-EO-04-21,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_023,present
MO-EO-04-23,MO-EO-24-11,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_023,present
MO-EO-04-24,MO-EO-03-15,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_024,present
MO-EO-04-25,MO-EO-03-27,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2004/eo04_025,present
MO-EO-05-01,MO-EO-01-09,explicit_order_citation,Companion source explicitly cites this order number; citation does not by itself establish the primary declaration.,https://www.sos.mo.gov/library/reference/orders/2005/eo05_001,present
