declaration_id,governor,eo_number,event_description,date_signed,archive_record_url
MT-EO-4-2021,Gianforte,4-2021,Energy Emergency,2021-02-12,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/
MT-EO-11-2021,Gianforte,11-2021,Declaring Statewide Drought Emergency,2021-07-01,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/View?doc=EO-11-2021.pdf
MT-EO-12-2021,Gianforte,12-2021,Declaring a Statewide Wildland Fire Emergency,2021-07-14,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/
MT-EO-13-2021,Gianforte,13-2021,Adding Measures to Mitigate the Impacts of the Drought,2021-09-01,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/
MT-EO-1-2023,Gianforte,1-2023,Declaring a Disaster to Exist in the State of Montana,2023-05-16,https://news.mt.gov/Governors-Office/Gov_Gianforte_Issues_Executive_Order_Declaring_Flooding_Disaster
MT-EO-2-2023,Gianforte,2-2023,Declaring a Disaster to Exist in the State of Montana,2023-06-07,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/
MT-EO-2-2024,Gianforte,2-2024,Winter Energy Emergency,2024-01-19,https://www.fmcsa.dot.gov/emergency/montana-executive-order-2-2024
MT-EO-8-2024,Gianforte,8-2024,Declaring a Disaster to Exist in the State of Montana,2024-05-24,https://news.mt.gov/Governors-Office/Gov_Gianforte_Issues_Executive_Order_Declaring_Flooding_Disaster1
MT-EO-9-2025,Gianforte,9-2025,Declaring a Disaster to Exist in the State of Montana,2025-12-11,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/View?doc=241211EODisasterDeclarationFlooding.pdf
MT-EO-11-2025,Gianforte,11-2025,Declaring a Disaster to Exist Within the State of Montana (severe statewide wind event),2025-12-18,https://gov.mt.gov/Documents/GovernorsOffice/executiveorders/View?doc=EO112025DisasterDeclarationStatewideSevereWindEvent002.pdf
