declaration_id,hazard_category_override,review_note,source_url
NE-EO-05-05,exclude,"Nebraska EO providing emergency relief (evacuee/licensing waivers) for Hurricane Katrina damage that occurred in Louisiana/Mississippi, not Nebraska. No matching Nebraska storm event exists in NOAA data for this declaration; excluded so it is not mis-joined against Nebraska county storm records.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/05-05.pdf
NE-EO-05-06,exclude,"Supplemental Hurricane Katrina relief order; same out-of-state rationale as NE-EO-05-05.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/05-06.pdf
NE-EO-05-07,exclude,"Hurricane Katrina disaster emergency declaration; same out-of-state rationale as NE-EO-05-05.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/05-07.pdf
NE-EO-17-01,exclude,"Nebraska EO providing mutual-aid emergency relief for wildfire damage in Kansas, not Nebraska. No matching Nebraska storm event exists in NOAA data for this declaration.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/17-01.pdf
NE-EO-17-02,exclude,"Second Nebraska mutual-aid order for the same Kansas wildfires; same out-of-state rationale as NE-EO-17-01.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/17-02.pdf
NE-EO-17-05,exclude,"Nebraska EO providing mutual-aid emergency relief for drought damage in North Dakota and South Dakota, not Nebraska.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/17-05.pdf
NE-EO-17-06,exclude,"Continuation of the same North Dakota/South Dakota/Montana drought mutual-aid relief as NE-EO-17-05; not a Nebraska event.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/17-06.pdf
NE-EO-17-08,exclude,"Nebraska EO providing mutual-aid emergency relief for Hurricane Harvey damage in Texas, not Nebraska.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/17-08.pdf
NE-EO-17-09,exclude,"Nebraska EO providing mutual-aid emergency relief for Hurricane Harvey and Irma impacts in Texas/Florida, not Nebraska.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/17-09.pdf
NE-EO-19-02,winter,"Description text alone ('Weather Events') gives no specific hazard keyword. FEMA's major disaster declaration for this event (FEMA-4420-DR-NE, issued March 21 2019) is titled 'Severe Winter Storm, Straight-Line Winds, and Flooding' for the incident period beginning March 9 2019 - this is the historic Nebraska bomb-cyclone flood. Classified winter as the lead hazard per FEMA's own title; flooding was the larger damage driver and could equally be argued as primary.",https://www.fema.gov/disaster-federal-register-notice/initial-notice-1293
NE-EO-19-03,winter,"Operational rider extending EO 19-02 (livestock-operations relief) for the same March 2019 event; same FEMA citation as NE-EO-19-02.",https://www.fema.gov/disaster-federal-register-notice/initial-notice-1293
NE-EO-19-04,winter,"Operational rider extending EO 19-02 (registrations & permits relief) for the same March 2019 event; same FEMA citation as NE-EO-19-02.",https://www.fema.gov/disaster-federal-register-notice/initial-notice-1293
NE-EO-19-05,winter,"Operational rider extending EO 19-02 (utility locate-request relief) for the same March 2019 event; same FEMA citation as NE-EO-19-02.",https://www.fema.gov/disaster-federal-register-notice/initial-notice-1293
NE-EO-19-06,winter,"Operational rider extending EO 19-02 (landfill disposal fee relief) for the same March 2019 event; same FEMA citation as NE-EO-19-02.",https://www.fema.gov/disaster-federal-register-notice/initial-notice-1293
NE-EO-19-07,winter,"Operational rider extending prior weather-event EOs for the same March 2019 event; same FEMA citation as NE-EO-19-02.",https://www.fema.gov/disaster-federal-register-notice/initial-notice-1293
NE-EO-20-01,exclude,"Emergency Relief Due to COVID-19 - a public-health emergency, not a weather/storm event. No corresponding NOAA storm-events record exists or would be expected.",https://govdocs.nebraska.gov/docs/pilot/pubs/eofiles/20-01.pdf
