declaration_id,state,governor,eo_number,action_kind,action_type,event_description,date_signed,end_date,weather_related,source_scope,document_format,detail_url,archive_record_url
NV-2026-004,NV,Joe Lombardo,2026-004,executive_order,administrative,Order Directing the Nevada Housing Division to Make Temporary Assistance Funds for Short-Term Rental and Housing Available,2026-08-27,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/eo-2026-004/,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/eo-2026-004/
NV-2026-003,NV,Joe Lombardo,2026-003,executive_order,administrative,"Order Requiring a Review of Existing Regulations by All Executive Branch Agencies, Departments, Boards, and Commissions",2026-08-17,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/eo-2026-003/,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/eo-2026-003/
NV-2026-002,NV,Joe Lombardo,2026-002,executive_order,extension,"Order Extending Executive Order 2026-001 Which Extended Executive Order 2025-002 Which Extended Executive Order 2025-001 Which Partially Extended Executive Order 2024-007 Which Extended Executive Order 2024-006 Which Extended Executive Order 2023-011 Which Extended Executive Order 2023-010 Which Removed Certain Hiring Criteria Regarding Minimum Qualifications, The Usage of Certain Selective Criterion in Hiring, and Employee Classification-Related Minimum Qualifications for Auto-Progression",2026-07-01,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/EO-2026-002/,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/EO-2026-002/
NV-2026-001,NV,Joe Lombardo,2026-001,executive_order,extension,Order Extending Executive Order 2025-002 Which Extended Executive Order 2025-001 Which Partially Extended Executive Order 2024-007 Which Extended Executive Order 2024-006 Which Extended Executive Order 2023-011 Which Extended Executive Order,2026-01-27,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/eo-2026-001---order-extending-executive-order-2025-002-which-extended-executive-order-2025-001-which-partially-extended-executive-order-2024-007-which-extended-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order/,https://www.gov.nv.gov/executive-actions/executive-orders/2026-executive-orders/eo-2026-001---order-extending-executive-order-2025-002-which-extended-executive-order-2025-001-which-partially-extended-executive-order-2024-007-which-extended-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order/
NV-2025-003,NV,Joe Lombardo,2025-003,executive_order,administrative,Providing for the Immediate Organization of the Nevada Education Service Center,2025-10-17,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2025-executive-orders/eo-2025-003---providing-for-the-immediate-organization-of-the-nevada-education-service-center/,https://www.gov.nv.gov/executive-actions/executive-orders/2025-executive-orders/eo-2025-003---providing-for-the-immediate-organization-of-the-nevada-education-service-center/
NV-2025-002,NV,Joe Lombardo,2025-002,executive_order,extension,Order Extending Executive Order 2025-001 Which Partially Extended Executive Order 2024-007 Which Extended Executive Order 2024-006 Which Extended Executive Order 2023-011 Which Extended Executive Order 2023-010 Which Removed Certain Hiring C,2025-07-14,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2025-executive-orders/eo-2025-002---order-extending-executive-order-2025-001-which-partially-extended-executive-order-2024-007-which-extended-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order-2023-010-which-removed-certain-hiring-c/,https://www.gov.nv.gov/executive-actions/executive-orders/2025-executive-orders/eo-2025-002---order-extending-executive-order-2025-001-which-partially-extended-executive-order-2024-007-which-extended-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order-2023-010-which-removed-certain-hiring-c/
NV-2025-001,NV,Joe Lombardo,2025-001,executive_order,extension,"Order, Partially Extending Executive Order 2024-007 Which Extended Executive Order 2024-006 Which Extended Executive Order 2023-011 Which Extended Executive Order 2023-010 Which Removed Certain Hiring Criteria Regarding Minimum Qualifications",2025-04-02,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2025-executive-orders/eo-2025-001--order-partially-extending-executive-order-2024-007-which-extended-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order-2023-010-which-removed-certain-hiring-criteria-regarding-minimum-qualifications/,https://www.gov.nv.gov/executive-actions/executive-orders/2025-executive-orders/eo-2025-001--order-partially-extending-executive-order-2024-007-which-extended-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order-2023-010-which-removed-certain-hiring-criteria-regarding-minimum-qualifications/
NV-2024-007,NV,Joe Lombardo,2024-007,executive_order,extension,"Order Extending Executive Order 2024-006 Which Extended Executive Order 2023-011 Which Extended Executive Order 2023-010 Which Removed Certain Hiring Criteria Regarding Minimum Qualifications, The Usage of Certain Selective Criterion in Hiring, and Employee Classification-Related Minimum Qualifications for Auto-Progression",2024-11-27,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/executive-orders/2024-executive-orders/eo-2024-007---order-extending-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order-2023-010-which-removed-certain-hiring-criteria-regarding-minimum-qualifications-the-usage-of-certain-selective-criterion-in-hiri/,https://www.gov.nv.gov/executive-actions/executive-orders/2024-executive-orders/eo-2024-007---order-extending-executive-order-2024-006-which-extended-executive-order-2023-011-which-extended-executive-order-2023-010-which-removed-certain-hiring-criteria-regarding-minimum-qualifications-the-usage-of-certain-selective-criterion-in-hiri/
NV-EMERGENCY-EO-TEMPLATE2,NV,Joe Lombardo,EMERGENCY-EO-TEMPLATE2,emergency_order,extension,Proclamation Extending the Emergency for the Davis Wildfire,2024-09-08,,false,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/emergency-orders/2024-emergency-orders/eo-template2/,https://www.gov.nv.gov/executive-actions/emergency-orders/2024-emergency-orders/eo-template2/
NV-EMERGENCY-EO-TEMPLATE,NV,Joe Lombardo,EMERGENCY-EO-TEMPLATE,emergency_order,declaration,Declaration of Emergency The Davis Fire,2024-09-07,,true,nevada_governor_executive_actions_2023_present,html,https://www.gov.nv.gov/executive-actions/emergency-orders/2024-emergency-orders/eo-template/,https://www.gov.nv.gov/executive-actions/emergency-orders/2024-emergency-orders/eo-template/
