declaration_id,eo_number,governor,event_description,date_signed,archive_record_url,EVENT_ID,EPISODE_ID,BEGIN_DATE_TIME,END_DATE_TIME,CZ_TYPE,area_type,CZ_FIPS,CZ_NAME,EVENT_TYPE,MAGNITUDE,MAGNITUDE_TYPE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,EPISODE_NARRATIVE,EVENT_NARRATIVE
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,5333461,1161748,2003-08-13 13:00:00,2003-08-13 13:00:00,C,county/county-equivalent,1,BELKNAP,Lightning,,,0,4,,,NEWSPAPER,"Lightning struck a utility pole in the parking lot of a greyhound race track in Belmont.  The lightning followed power and phone lines into the building and shocked four employees that were working with telephones and computers, or touching the metal door of the kennels.  In addition, some patrons of the race track that were in contact with metal also got a small jolt from the nearby lightning strike.  Also, falling debris from the pole damaged two cars in the parking lot.",
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,5333456,1161744,2003-08-13 12:34:00,2003-08-13 12:34:00,C,county/county-equivalent,3,CARROLL,Thunderstorm Wind,50.0,EG,0,0,,,GENERAL PUBLIC,A severe thunderstorm moving through Carroll County knocked over trees in Ossipee and East Wakefield.,
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,5333457,1161744,2003-08-13 12:46:00,2003-08-13 12:46:00,C,county/county-equivalent,3,CARROLL,Thunderstorm Wind,50.0,EG,0,0,,,GENERAL PUBLIC,A severe thunderstorm moving through Carroll County knocked over trees in Ossipee and East Wakefield.,
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,5374751,1161689,2003-08-10 15:00:00,2003-08-10 16:30:00,C,county/county-equivalent,5,CHESHIRE,Flash Flood,,,0,1,500K,,AMATEUR RADIO,"For the second time in five days, roads in Westmoreland and surrounding towns were devastated by flash flooding after a series of torrential downpours.  Up to five inches of rain fell in a three hour period, forcing the evacuation of several homes and undermining roadways already in the midst of repairs from the flooding that occurred on August 6th.  A 14-year old boy was found clinging to branches in Mill Brook after he was sucked under Route 63, but only suffered from minor injuries.  The boy was out looking at storm damage when he came too close to a whirlpool near the road.",
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,5375134,1161695,2003-08-13 14:30:00,2003-08-13 14:30:00,C,county/county-equivalent,11,HILLSBOROUGH,Lightning,,,0,9,,,EMERGENCY MANAGER,Five campers and four staff members taking shelter in a building at a summer day camp in Pelham were taken to areas hospitals with minor injuries when lightning struck near them at Veterans Memorial Park.,
NH-2003-09,2003-09,Craig R. Benson,An order declaring a limited state of emergency,2003-08-11,https://www.sos.nh.gov/executive-orders,5333540,1161751,2003-08-12 01:30:00,2003-08-12 03:00:00,C,county/county-equivalent,13,MERRIMACK,Flash Flood,,,0,0,,,EMERGENCY MANAGER,Thunderstorms produced 2 to 4 inches of rain in an hour and caused roads and streets to flood.  Emergency Management Agency officials reported 3 ft of water over Route 4 in Chichester during the event.,
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,148504,25436,2008-12-11 01:00:00,2008-12-12 11:00:00,Z,NWS forecast zone,9,BELKNAP,Ice Storm,,,0,0,359.00K,0.00K,Trained Spotter,"A major winter storm brought a mixture of snow, sleet, and freezing rain to New Hampshire from the morning of December 11th to the morning of December 12th.  The greatest impact in the state was in southern and central New Hampshire where a significant ice storm occurred.  Following the ice storm, recovery and restoration efforts were negatively impacted by additional winter weather events that passed through the state.  ||The ice storm was caused by an area of low pressure that moved northeastward along a stalled frontal boundary off the East Coast.  Near ground level, cold air from eastern Canada funneled southward into the region on northerly winds.  Southerly winds at higher levels of the atmosphere brought warmer (above freezing) air in aloft.  Across southern and central New Hampshire, the thermal structure of the atmosphere was conducive to produce freezing rain and sleet.   A mixture of snow, sleet, freezing rain and rain began Thursday morning across the state. However, as the northerly winds strengthened at the surface and southerly winds strengthened aloft, the precipitation changed to mostly a mix of sleet and freezing rain in southern and central New Hampshire.  The freezing rain and sleet continued overnight and into Friday morning before ending.  While ���melted��� precipitation amounts across the southern and central part of the state ranged from 1 to 3 inches, ice accretion to trees and wires in these areas generally ranged from about a half inch to about an inch.  The weight of the ice caused branches to snap, and trees to either snap or uproot, and brought down power lines and poles across the region.  About 400 thousand utility customers lost power during the event, with some customers without power for two weeks.  Property damage across northern, central and southeastern New Hampshire was estimated at over $5 million.",
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,146823,25173,2008-12-11 05:59:00,2008-12-12 07:59:00,Z,NWS forecast zone,11,CHESHIRE,Ice Storm,,,0,0,9.00M,0.00K,Amateur Radio,"A cold frontal boundary dropped south of New England on the evening of the 10th. Low pressure developed along the frontal boundary across the southeastern states late on the night of the 10th into the 11th.  The low then tracked rapidly to the northeast, spreading a significant amount of precipitation into New England. A deep layer of warm air aloft and sub-freezing air at the surface resulted in a major ice storm across interior Massachusetts and southern New Hampshire as well as much of northern New England. ||The hardest hit areas in southern New England were the Monadnock region of southwest New Hampshire, the Worcester Hills in central Massachusetts, and the east slopes of the Berkshires in western Massachusetts. Anywhere from half an inch to an inch of ice accreted on many exposed surfaces. Especially when combined with breezy conditions, the ice downed numerous trees, branches, and power lines which resulted in widespread power outages. More than 300,000 customers were reportedly without power in Massachusetts and an additional 300,000 were without power in the state of New Hampshire. Because of the breadth of this storm (from Pennsylvania to Maine), extra crews to reinstate power were harder to come by.  Power crews from states as far away as South Carolina, as well as local National Guard teams, were called out to help with power restoration and clean up.  While most people had their power restored within a week, others were still without power at Christmas (nearly 2 weeks later). During this period, temperatures were mostly below normal and at least one major snowstorm affected the same area.  At the time of the December 19th snowstorm, over 100,000 customers were still without power in the two states combined.  Most communities had opened shelters to provide a warm, safe place for residents.  According to the numbers reported in local newspapers, most did not take advantage of this opportunity and chose to remain in their homes, using wood stoves or generators for heat.  Many schools, a week and a half from the winter holiday break at the time of the storm, cancelled school for the remainder of the month because of a lack of electricity and clear routes for transporting students.  ||A public works employee, supervising storm clean up in Marlborough, went missing during his shift and was found dead two days later in a reservoir.  Because this occurred as a part of his job, following the storm, it was considered an indirect fatality.  Damage to the infrastructure in Massachusetts and New Hampshire amounted to roughly eighty million dollars.  This amount does not include damage to private property, which was unavailable at the time of this report.  The extent of the damage and number of people affected prompted the governors of both Massachusetts and New Hampshire to request federal assistance.  FEMA approved both requests.  President Bush issued a Major Disaster Declaration for Public Assistance for seven Massachusetts counties and all of New Hampshire.","Numerous trees and wires were downed in Rindge, Dublin, Jaffrey, Troy, and Swanzey."
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,148505,25436,2008-12-11 01:00:00,2008-12-12 11:00:00,Z,NWS forecast zone,14,COASTAL ROCKINGHAM,Ice Storm,,,0,0,326.00K,0.00K,Trained Spotter,"A major winter storm brought a mixture of snow, sleet, and freezing rain to New Hampshire from the morning of December 11th to the morning of December 12th.  The greatest impact in the state was in southern and central New Hampshire where a significant ice storm occurred.  Following the ice storm, recovery and restoration efforts were negatively impacted by additional winter weather events that passed through the state.  ||The ice storm was caused by an area of low pressure that moved northeastward along a stalled frontal boundary off the East Coast.  Near ground level, cold air from eastern Canada funneled southward into the region on northerly winds.  Southerly winds at higher levels of the atmosphere brought warmer (above freezing) air in aloft.  Across southern and central New Hampshire, the thermal structure of the atmosphere was conducive to produce freezing rain and sleet.   A mixture of snow, sleet, freezing rain and rain began Thursday morning across the state. However, as the northerly winds strengthened at the surface and southerly winds strengthened aloft, the precipitation changed to mostly a mix of sleet and freezing rain in southern and central New Hampshire.  The freezing rain and sleet continued overnight and into Friday morning before ending.  While ���melted��� precipitation amounts across the southern and central part of the state ranged from 1 to 3 inches, ice accretion to trees and wires in these areas generally ranged from about a half inch to about an inch.  The weight of the ice caused branches to snap, and trees to either snap or uproot, and brought down power lines and poles across the region.  About 400 thousand utility customers lost power during the event, with some customers without power for two weeks.  Property damage across northern, central and southeastern New Hampshire was estimated at over $5 million.",
NH-2008-12,2008-12,John H. Lynch,An Order Declaring a State of Emergency Due to Severe Weather and Ice Storm,2008-12-11,https://www.sos.nh.gov/executive-orders,146824,25173,2008-12-11 04:12:00,2008-12-12 09:53:00,Z,NWS forecast zone,12,EASTERN HILLSBOROUGH,Ice Storm,,,0,0,15.00M,0.00K,Amateur Radio,"A cold frontal boundary dropped south of New England on the evening of the 10th. Low pressure developed along the frontal boundary across the southeastern states late on the night of the 10th into the 11th.  The low then tracked rapidly to the northeast, spreading a significant amount of precipitation into New England. A deep layer of warm air aloft and sub-freezing air at the surface resulted in a major ice storm across interior Massachusetts and southern New Hampshire as well as much of northern New England. ||The hardest hit areas in southern New England were the Monadnock region of southwest New Hampshire, the Worcester Hills in central Massachusetts, and the east slopes of the Berkshires in western Massachusetts. Anywhere from half an inch to an inch of ice accreted on many exposed surfaces. Especially when combined with breezy conditions, the ice downed numerous trees, branches, and power lines which resulted in widespread power outages. More than 300,000 customers were reportedly without power in Massachusetts and an additional 300,000 were without power in the state of New Hampshire. Because of the breadth of this storm (from Pennsylvania to Maine), extra crews to reinstate power were harder to come by.  Power crews from states as far away as South Carolina, as well as local National Guard teams, were called out to help with power restoration and clean up.  While most people had their power restored within a week, others were still without power at Christmas (nearly 2 weeks later). During this period, temperatures were mostly below normal and at least one major snowstorm affected the same area.  At the time of the December 19th snowstorm, over 100,000 customers were still without power in the two states combined.  Most communities had opened shelters to provide a warm, safe place for residents.  According to the numbers reported in local newspapers, most did not take advantage of this opportunity and chose to remain in their homes, using wood stoves or generators for heat.  Many schools, a week and a half from the winter holiday break at the time of the storm, cancelled school for the remainder of the month because of a lack of electricity and clear routes for transporting students.  ||A public works employee, supervising storm clean up in Marlborough, went missing during his shift and was found dead two days later in a reservoir.  Because this occurred as a part of his job, following the storm, it was considered an indirect fatality.  Damage to the infrastructure in Massachusetts and New Hampshire amounted to roughly eighty million dollars.  This amount does not include damage to private property, which was unavailable at the time of this report.  The extent of the damage and number of people affected prompted the governors of both Massachusetts and New Hampshire to request federal assistance.  FEMA approved both requests.  President Bush issued a Major Disaster Declaration for Public Assistance for seven Massachusetts counties and all of New Hampshire.","Half an inch of ice accumulated on exposed surfaces across eastern Hillsborough County.  Numerous wires down in Merrimack and Manchester.  Trees, wires, and utility poles downed in Pelham."
